method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,00000,00011,00011,00000,-2.0,1.78,1.0,-0.89,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,0,default_noise
plain_vqa,1,20,00000,00011,00011,00000,-2.0,0.94,1.0,-0.47,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,0,default_noise
plain_vqa,2,30,00000,00011,00011,00000,-2.0,-0.08,1.0,0.04,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,0,default_noise
plain_vqa,3,40,00000,00001,00001,00000,-2.0,-1.02,1.0,0.51,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,0,default_noise
plain_vqa,4,50,00000,00001,00001,00000,-2.0,-1.6,1.0,0.8,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,0,default_noise
ndar_vqa,0,10,00000,00011,00011,00000,-2.0,1.18,1.0,-0.59,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,0,default_noise
ndar_vqa,1,20,00011,00010,00001,00011,-2.0,-1.42,1.0,0.71,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,0,default_noise
ndar_vqa,2,30,00001,00010,00011,00001,-2.0,-1.68,1.0,0.84,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,0,default_noise
ndar_vqa,3,40,00011,00010,00001,00011,-2.0,-1.66,1.0,0.83,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,0,default_noise
ndar_vqa,4,50,00001,00000,00001,00001,-2.0,-1.8,1.0,0.9,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,0,default_noise
random_search,0,10,00000,11110,11110,00000,-2.0,-1.64,1.0,0.82,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,0,default_noise
random_search,1,20,00000,10110,10110,00000,-2.0,-1.6,1.0,0.8,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,0,default_noise
random_search,2,30,00000,10110,10110,00000,-2.0,-1.58,1.0,0.79,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,0,default_noise
random_search,3,40,00000,11110,11110,00000,-2.0,-1.46,1.0,0.73,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,0,default_noise
random_search,4,50,00000,11110,11110,00000,-2.0,-1.66,1.0,0.83,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,0,default_noise
ndar_no_opt,0,10,00000,00011,00011,00000,-2.0,1.52,1.0,-0.76,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-2.0,1.0,0,default_noise
ndar_no_opt,1,20,00011,00010,00001,00011,-2.0,-1.14,1.0,0.57,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-2.0,1.0,0,default_noise
ndar_no_opt,2,30,00001,00010,00011,00001,-2.0,-0.48,1.0,0.24,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-2.0,1.0,0,default_noise
ndar_no_opt,3,40,00011,00010,00001,00011,-2.0,-1.02,1.0,0.51,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-2.0,1.0,0,default_noise
ndar_no_opt,4,50,00001,00010,00011,00001,-2.0,-0.16,1.0,0.08,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-2.0,1.0,0,default_noise
