label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_3,0,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,1,01101,10110,2.0,-2.0,-1.0,10110
PLAIN_VQA_step_3,2,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,3,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,4,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,5,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,6,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,7,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,8,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,9,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,10,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,11,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,12,00111,11100,0.0,0.0,-0.0,11100
PLAIN_VQA_step_3,13,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,14,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,15,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,16,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,17,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,18,01110,01110,-2.0,2.0,1.0,01110
PLAIN_VQA_step_3,19,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_3,20,01101,10110,2.0,-2.0,-1.0,10110
PLAIN_VQA_step_3,21,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,22,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,23,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,24,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,25,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,26,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,27,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,28,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,29,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,30,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,31,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,32,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,33,01110,01110,-2.0,2.0,1.0,01110
PLAIN_VQA_step_3,34,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,35,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,36,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,37,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,38,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,39,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_3,40,01110,01110,-2.0,2.0,1.0,01110
PLAIN_VQA_step_3,41,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,42,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_3,43,01101,10110,2.0,-2.0,-1.0,10110
PLAIN_VQA_step_3,44,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,45,00111,11100,0.0,0.0,-0.0,11100
PLAIN_VQA_step_3,46,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,47,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,48,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,49,01110,01110,-2.0,2.0,1.0,01110
PLAIN_VQA_step_3,50,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,51,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,52,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,53,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,54,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,55,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,56,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,57,11101,10111,2.0,-2.0,-1.0,10111
PLAIN_VQA_step_3,58,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,59,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,60,01101,10110,2.0,-2.0,-1.0,10110
PLAIN_VQA_step_3,61,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,62,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,63,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,64,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_3,65,01101,10110,2.0,-2.0,-1.0,10110
PLAIN_VQA_step_3,66,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,67,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,68,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,69,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,70,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,71,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,72,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,73,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,74,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,75,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,76,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,77,01101,10110,2.0,-2.0,-1.0,10110
PLAIN_VQA_step_3,78,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,79,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,80,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,81,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,82,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,83,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,84,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,85,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,86,10111,11101,0.0,0.0,-0.0,11101
PLAIN_VQA_step_3,87,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,88,01011,11010,-2.0,2.0,1.0,11010
PLAIN_VQA_step_3,89,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_3,90,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,91,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,92,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,93,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,94,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,95,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,96,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,97,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,98,01111,11110,-2.0,2.0,1.0,11110
PLAIN_VQA_step_3,99,01111,11110,-2.0,2.0,1.0,11110
