label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_2,0,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,1,1101111,1111011,-6.0,4.0,0.75,0010011
NDAR_VQA_step_2,2,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,3,0001110,0111000,-4.0,2.0,0.5,1010000
NDAR_VQA_step_2,4,0010111,1110100,-2.0,2.0,0.25,0011100
NDAR_VQA_step_2,5,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,6,0011000,0001100,-4.0,2.0,0.5,1100100
NDAR_VQA_step_2,7,1001000,0001001,-6.0,0.0,0.75,1100001
NDAR_VQA_step_2,8,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,9,0011111,1111100,-6.0,2.0,0.75,0010100
NDAR_VQA_step_2,10,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,11,0111101,1011110,-2.0,4.0,0.25,0110110
NDAR_VQA_step_2,12,0001011,1101000,0.0,8.0,-0.0,0000000
NDAR_VQA_step_2,13,1001000,0001001,-6.0,0.0,0.75,1100001
NDAR_VQA_step_2,14,1001000,0001001,-6.0,0.0,0.75,1100001
NDAR_VQA_step_2,15,0101100,0011010,0.0,4.0,-0.0,1110010
NDAR_VQA_step_2,16,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,17,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,18,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,19,1011000,0001101,-4.0,0.0,0.5,1100101
NDAR_VQA_step_2,20,0101101,1011010,0.0,4.0,-0.0,0110010
NDAR_VQA_step_2,21,0011111,1111100,-6.0,2.0,0.75,0010100
NDAR_VQA_step_2,22,0011111,1111100,-6.0,2.0,0.75,0010100
NDAR_VQA_step_2,23,0011100,0011100,-2.0,2.0,0.25,1110100
NDAR_VQA_step_2,24,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,25,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,26,1011000,0001101,-4.0,0.0,0.5,1100101
NDAR_VQA_step_2,27,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,28,1011111,1111101,-4.0,-2.0,0.5,0010101
NDAR_VQA_step_2,29,1011110,0111101,0.0,-2.0,-0.0,1010101
NDAR_VQA_step_2,30,0001100,0011000,-4.0,2.0,0.5,1110000
NDAR_VQA_step_2,31,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,32,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,33,0011000,0001100,-4.0,2.0,0.5,1100100
NDAR_VQA_step_2,34,1010000,0000101,-4.0,4.0,0.5,1101101
NDAR_VQA_step_2,35,0101100,0011010,0.0,4.0,-0.0,1110010
NDAR_VQA_step_2,36,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,37,1011111,1111101,-4.0,-2.0,0.5,0010101
NDAR_VQA_step_2,38,0101000,0001010,2.0,0.0,-0.25,1100010
NDAR_VQA_step_2,39,1011110,0111101,0.0,-2.0,-0.0,1010101
NDAR_VQA_step_2,40,0011011,1101100,-4.0,6.0,0.5,0000100
NDAR_VQA_step_2,41,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,42,1100011,1100011,-2.0,2.0,0.25,0001011
NDAR_VQA_step_2,43,1001000,0001001,-6.0,0.0,0.75,1100001
NDAR_VQA_step_2,44,1101111,1111011,-6.0,4.0,0.75,0010011
NDAR_VQA_step_2,45,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,46,1011010,0101101,-2.0,2.0,0.25,1000101
NDAR_VQA_step_2,47,0011000,0001100,-4.0,2.0,0.5,1100100
NDAR_VQA_step_2,48,1101000,0001011,-2.0,2.0,0.25,1100011
NDAR_VQA_step_2,49,0011100,0011100,-2.0,2.0,0.25,1110100
NDAR_VQA_step_2,50,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,51,1011000,0001101,-4.0,0.0,0.5,1100101
NDAR_VQA_step_2,52,0011011,1101100,-4.0,6.0,0.5,0000100
NDAR_VQA_step_2,53,1011101,1011101,-2.0,-4.0,0.25,0110101
NDAR_VQA_step_2,54,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,55,1111000,0001111,-2.0,4.0,0.25,1100111
NDAR_VQA_step_2,56,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,57,0011001,1001100,-2.0,4.0,0.25,0100100
NDAR_VQA_step_2,58,0011111,1111100,-6.0,2.0,0.75,0010100
NDAR_VQA_step_2,59,0101111,1111010,-4.0,4.0,0.5,0010010
NDAR_VQA_step_2,60,0101111,1111010,-4.0,4.0,0.5,0010010
NDAR_VQA_step_2,61,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,62,0111000,0001110,0.0,4.0,-0.0,1100110
NDAR_VQA_step_2,63,0001011,1101000,0.0,8.0,-0.0,0000000
NDAR_VQA_step_2,64,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,65,0011111,1111100,-6.0,2.0,0.75,0010100
NDAR_VQA_step_2,66,0011111,1111100,-6.0,2.0,0.75,0010100
NDAR_VQA_step_2,67,0101111,1111010,-4.0,4.0,0.5,0010010
NDAR_VQA_step_2,68,0011111,1111100,-6.0,2.0,0.75,0010100
NDAR_VQA_step_2,69,0010111,1110100,-2.0,2.0,0.25,0011100
NDAR_VQA_step_2,70,0011111,1111100,-6.0,2.0,0.75,0010100
NDAR_VQA_step_2,71,1011000,0001101,-4.0,0.0,0.5,1100101
NDAR_VQA_step_2,72,0010111,1110100,-2.0,2.0,0.25,0011100
NDAR_VQA_step_2,73,0011111,1111100,-6.0,2.0,0.75,0010100
NDAR_VQA_step_2,74,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,75,0001001,1001000,0.0,4.0,-0.0,0100000
NDAR_VQA_step_2,76,0011010,0101100,-4.0,2.0,0.5,1000100
NDAR_VQA_step_2,77,0011111,1111100,-6.0,2.0,0.75,0010100
NDAR_VQA_step_2,78,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,79,0101000,0001010,2.0,0.0,-0.25,1100010
NDAR_VQA_step_2,80,0110000,0000110,-4.0,4.0,0.5,1101110
NDAR_VQA_step_2,81,1001111,1111001,-4.0,4.0,0.5,0010001
NDAR_VQA_step_2,82,1101011,1101011,-2.0,6.0,0.25,0000011
NDAR_VQA_step_2,83,0101111,1111010,-4.0,4.0,0.5,0010010
NDAR_VQA_step_2,84,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,85,0011011,1101100,-4.0,6.0,0.5,0000100
NDAR_VQA_step_2,86,0001100,0011000,-4.0,2.0,0.5,1110000
NDAR_VQA_step_2,87,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_2,88,0111100,0011110,0.0,6.0,-0.0,1110110
NDAR_VQA_step_2,89,1111011,1101111,-6.0,4.0,0.75,0000111
NDAR_VQA_step_2,90,1011111,1111101,-4.0,-2.0,0.5,0010101
NDAR_VQA_step_2,91,1000000,0000001,-8.0,2.0,1.0,1101001
NDAR_VQA_step_2,92,0011000,0001100,-4.0,2.0,0.5,1100100
NDAR_VQA_step_2,93,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,94,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_2,95,0111100,0011110,0.0,6.0,-0.0,1110110
NDAR_VQA_step_2,96,1111000,0001111,-2.0,4.0,0.25,1100111
NDAR_VQA_step_2,97,0101000,0001010,2.0,0.0,-0.25,1100010
NDAR_VQA_step_2,98,0101011,1101010,2.0,4.0,-0.25,0000010
NDAR_VQA_step_2,99,0011000,0001100,-4.0,2.0,0.5,1100100
