label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
RANDOM_SEARCH_step_2,0,1100101,1010011,-2.0,2.0,0.25,1010011
RANDOM_SEARCH_step_2,1,1100101,1010011,-2.0,2.0,0.25,1010011
RANDOM_SEARCH_step_2,2,1100100,0010011,-6.0,6.0,0.75,0010011
RANDOM_SEARCH_step_2,3,1100101,1010011,-2.0,2.0,0.25,1010011
RANDOM_SEARCH_step_2,4,1100101,1010011,-2.0,2.0,0.25,1010011
RANDOM_SEARCH_step_2,5,1110100,0010111,-8.0,8.0,1.0,0010111
RANDOM_SEARCH_step_2,6,1100100,0010011,-6.0,6.0,0.75,0010011
RANDOM_SEARCH_step_2,7,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,8,1001001,1001001,-2.0,2.0,0.25,1001001
RANDOM_SEARCH_step_2,9,0010100,0010100,-6.0,6.0,0.75,0010100
RANDOM_SEARCH_step_2,10,0011001,1001100,-4.0,4.0,0.5,1001100
RANDOM_SEARCH_step_2,11,0010101,1010100,-4.0,4.0,0.5,1010100
RANDOM_SEARCH_step_2,12,1100100,0010011,-6.0,6.0,0.75,0010011
RANDOM_SEARCH_step_2,13,0001100,0011000,-2.0,2.0,0.25,0011000
RANDOM_SEARCH_step_2,14,1100100,0010011,-6.0,6.0,0.75,0010011
RANDOM_SEARCH_step_2,15,1111111,1111111,0.0,0.0,-0.0,1111111
RANDOM_SEARCH_step_2,16,1110100,0010111,-8.0,8.0,1.0,0010111
RANDOM_SEARCH_step_2,17,1100001,1000011,0.0,0.0,-0.0,1000011
RANDOM_SEARCH_step_2,18,0001001,1001000,-4.0,4.0,0.5,1001000
RANDOM_SEARCH_step_2,19,1100100,0010011,-6.0,6.0,0.75,0010011
RANDOM_SEARCH_step_2,20,1011001,1001101,0.0,0.0,-0.0,1001101
RANDOM_SEARCH_step_2,21,1100100,0010011,-6.0,6.0,0.75,0010011
RANDOM_SEARCH_step_2,22,1110100,0010111,-8.0,8.0,1.0,0010111
RANDOM_SEARCH_step_2,23,0110100,0010110,-8.0,8.0,1.0,0010110
RANDOM_SEARCH_step_2,24,1000000,0000001,-2.0,2.0,0.25,0000001
RANDOM_SEARCH_step_2,25,0100100,0010010,-4.0,4.0,0.5,0010010
RANDOM_SEARCH_step_2,26,0010101,1010100,-4.0,4.0,0.5,1010100
