label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_NO_OPT_step_3,0,1110000,0000111,4.0,-2.0,-2.0,0000110
NDAR_NO_OPT_step_3,1,0001110,0111000,2.0,-2.0,-1.0,0111001
NDAR_NO_OPT_step_3,2,0100100,0010010,2.0,-4.0,-1.0,0010011
NDAR_NO_OPT_step_3,3,1000000,0000001,0.0,2.0,-0.0,0000000
NDAR_NO_OPT_step_3,4,0000111,1110000,2.0,-2.0,-1.0,1110001
NDAR_NO_OPT_step_3,5,0100100,0010010,2.0,-4.0,-1.0,0010011
NDAR_NO_OPT_step_3,6,0010110,0110100,0.0,0.0,-0.0,0110101
NDAR_NO_OPT_step_3,7,0000000,0000000,-2.0,0.0,1.0,0000001
NDAR_NO_OPT_step_3,8,1000100,0010001,0.0,0.0,-0.0,0010000
NDAR_NO_OPT_step_3,9,1111010,0101111,6.0,-4.0,-3.0,0101110
NDAR_NO_OPT_step_3,10,0101000,0001010,0.0,-2.0,-0.0,0001011
NDAR_NO_OPT_step_3,11,0001000,0001000,-2.0,2.0,1.0,0001001
NDAR_NO_OPT_step_3,12,0000110,0110000,-2.0,0.0,1.0,0110001
NDAR_NO_OPT_step_3,13,1110110,0110111,0.0,2.0,-0.0,0110110
NDAR_NO_OPT_step_3,14,0100000,0000010,2.0,-6.0,-1.0,0000011
NDAR_NO_OPT_step_3,15,0110000,0000110,2.0,-4.0,-1.0,0000111
NDAR_NO_OPT_step_3,16,1000111,1110001,2.0,-2.0,-1.0,1110000
NDAR_NO_OPT_step_3,17,0111100,0011110,2.0,0.0,-1.0,0011111
NDAR_NO_OPT_step_3,18,0000100,0010000,0.0,0.0,-0.0,0010001
NDAR_NO_OPT_step_3,19,1000100,0010001,0.0,0.0,-0.0,0010000
NDAR_NO_OPT_step_3,20,0110100,0010110,0.0,0.0,-0.0,0010111
NDAR_NO_OPT_step_3,21,0011000,0001100,2.0,0.0,-1.0,0001101
NDAR_NO_OPT_step_3,22,1011000,0001101,0.0,-2.0,-0.0,0001100
NDAR_NO_OPT_step_3,23,0100000,0000010,2.0,-6.0,-1.0,0000011
NDAR_NO_OPT_step_3,24,0111010,0101110,4.0,-6.0,-2.0,0101111
NDAR_NO_OPT_step_3,25,0101000,0001010,0.0,-2.0,-0.0,0001011
NDAR_NO_OPT_step_3,26,0110100,0010110,0.0,0.0,-0.0,0010111
NDAR_NO_OPT_step_3,27,0010011,1100100,2.0,-2.0,-1.0,1100101
NDAR_NO_OPT_step_3,28,0100000,0000010,2.0,-6.0,-1.0,0000011
NDAR_NO_OPT_step_3,29,0100000,0000010,2.0,-6.0,-1.0,0000011
NDAR_NO_OPT_step_3,30,1011000,0001101,0.0,-2.0,-0.0,0001100
NDAR_NO_OPT_step_3,31,1111011,1101111,0.0,0.0,-0.0,1101110
NDAR_NO_OPT_step_3,32,1000010,0100001,2.0,2.0,-1.0,0100000
NDAR_NO_OPT_step_3,33,1011100,0011101,0.0,-4.0,-0.0,0011100
NDAR_NO_OPT_step_3,34,0110000,0000110,2.0,-4.0,-1.0,0000111
NDAR_NO_OPT_step_3,35,0000000,0000000,-2.0,0.0,1.0,0000001
NDAR_NO_OPT_step_3,36,0000100,0010000,0.0,0.0,-0.0,0010001
NDAR_NO_OPT_step_3,37,0100000,0000010,2.0,-6.0,-1.0,0000011
NDAR_NO_OPT_step_3,38,1001010,0101001,2.0,0.0,-1.0,0101000
NDAR_NO_OPT_step_3,39,0110010,0100110,2.0,-6.0,-1.0,0100111
NDAR_NO_OPT_step_3,40,0100110,0110010,-2.0,-2.0,1.0,0110011
NDAR_NO_OPT_step_3,41,0000001,1000000,2.0,-2.0,-1.0,1000001
NDAR_NO_OPT_step_3,42,0101000,0001010,0.0,-2.0,-0.0,0001011
NDAR_NO_OPT_step_3,43,1110110,0110111,0.0,2.0,-0.0,0110110
NDAR_NO_OPT_step_3,44,0100000,0000010,2.0,-6.0,-1.0,0000011
NDAR_NO_OPT_step_3,45,0111110,0111110,2.0,-2.0,-1.0,0111111
NDAR_NO_OPT_step_3,46,0100110,0110010,-2.0,-2.0,1.0,0110011
NDAR_NO_OPT_step_3,47,0100000,0000010,2.0,-6.0,-1.0,0000011
NDAR_NO_OPT_step_3,48,1100001,1000011,6.0,-4.0,-3.0,1000010
NDAR_NO_OPT_step_3,49,1000111,1110001,2.0,-2.0,-1.0,1110000
NDAR_NO_OPT_step_3,50,0110010,0100110,2.0,-6.0,-1.0,0100111
NDAR_NO_OPT_step_3,51,1011100,0011101,0.0,-4.0,-0.0,0011100
NDAR_NO_OPT_step_3,52,0101100,0011010,2.0,-2.0,-1.0,0011011
NDAR_NO_OPT_step_3,53,1100010,0100011,6.0,0.0,-3.0,0100010
NDAR_NO_OPT_step_3,54,1011100,0011101,0.0,-4.0,-0.0,0011100
NDAR_NO_OPT_step_3,55,0000100,0010000,0.0,0.0,-0.0,0010001
NDAR_NO_OPT_step_3,56,0111100,0011110,2.0,0.0,-1.0,0011111
NDAR_NO_OPT_step_3,57,0011010,0101100,6.0,-6.0,-3.0,0101101
NDAR_NO_OPT_step_3,58,0010100,0010100,0.0,2.0,-0.0,0010101
NDAR_NO_OPT_step_3,59,0011100,0011100,4.0,0.0,-2.0,0011101
NDAR_NO_OPT_step_3,60,1100111,1110011,2.0,0.0,-1.0,1110010
NDAR_NO_OPT_step_3,61,0111001,1001110,0.0,2.0,-0.0,1001111
NDAR_NO_OPT_step_3,62,1101000,0001011,2.0,0.0,-1.0,0001010
NDAR_NO_OPT_step_3,63,1001011,1101001,0.0,0.0,-0.0,1101000
NDAR_NO_OPT_step_3,64,1000000,0000001,0.0,2.0,-0.0,0000000
NDAR_NO_OPT_step_3,65,0111000,0001110,2.0,-2.0,-1.0,0001111
NDAR_NO_OPT_step_3,66,0100110,0110010,-2.0,-2.0,1.0,0110011
NDAR_NO_OPT_step_3,67,0100110,0110010,-2.0,-2.0,1.0,0110011
NDAR_NO_OPT_step_3,68,0110100,0010110,0.0,0.0,-0.0,0010111
