label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_0,0,0100011,1100010,2.0,-2.0,-1.0,1100010
NDAR_VQA_step_0,1,1101011,1101011,4.0,-4.0,-2.0,1101011
NDAR_VQA_step_0,2,0100010,0100010,2.0,-2.0,-1.0,0100010
NDAR_VQA_step_0,3,0000010,0100000,-2.0,2.0,1.0,0100000
NDAR_VQA_step_0,4,1010101,1010101,8.0,-8.0,-4.0,1010101
NDAR_VQA_step_0,5,0100011,1100010,2.0,-2.0,-1.0,1100010
NDAR_VQA_step_0,6,0111010,0101110,8.0,-8.0,-4.0,0101110
NDAR_VQA_step_0,7,0100000,0000010,2.0,-2.0,-1.0,0000010
NDAR_VQA_step_0,8,0000110,0110000,0.0,0.0,-0.0,0110000
NDAR_VQA_step_0,9,0100110,0110010,2.0,-2.0,-1.0,0110010
NDAR_VQA_step_0,10,0100010,0100010,2.0,-2.0,-1.0,0100010
NDAR_VQA_step_0,11,0000101,1010000,6.0,-6.0,-3.0,1010000
NDAR_VQA_step_0,12,0001010,0101000,2.0,-2.0,-1.0,0101000
NDAR_VQA_step_0,13,0101111,1111010,6.0,-6.0,-3.0,1111010
NDAR_VQA_step_0,14,0110101,1010110,4.0,-4.0,-2.0,1010110
NDAR_VQA_step_0,15,0000101,1010000,6.0,-6.0,-3.0,1010000
NDAR_VQA_step_0,16,1010010,0100101,4.0,-4.0,-2.0,0100101
NDAR_VQA_step_0,17,0100101,1010010,4.0,-4.0,-2.0,1010010
NDAR_VQA_step_0,18,0000101,1010000,6.0,-6.0,-3.0,1010000
NDAR_VQA_step_0,19,0110101,1010110,4.0,-4.0,-2.0,1010110
NDAR_VQA_step_0,20,0010010,0100100,2.0,-2.0,-1.0,0100100
NDAR_VQA_step_0,21,0000010,0100000,-2.0,2.0,1.0,0100000
NDAR_VQA_step_0,22,0100000,0000010,2.0,-2.0,-1.0,0000010
NDAR_VQA_step_0,23,1000010,0100001,2.0,-2.0,-1.0,0100001
NDAR_VQA_step_0,24,1001000,0001001,6.0,-6.0,-3.0,0001001
NDAR_VQA_step_0,25,0100010,0100010,2.0,-2.0,-1.0,0100010
NDAR_VQA_step_0,26,0010011,1100100,2.0,-2.0,-1.0,1100100
NDAR_VQA_step_0,27,0100110,0110010,2.0,-2.0,-1.0,0110010
NDAR_VQA_step_0,28,0111011,1101110,4.0,-4.0,-2.0,1101110
NDAR_VQA_step_0,29,1110010,0100111,4.0,-4.0,-2.0,0100111
NDAR_VQA_step_0,30,0110110,0110110,6.0,-6.0,-3.0,0110110
NDAR_VQA_step_0,31,0111101,1011110,2.0,-2.0,-1.0,1011110
NDAR_VQA_step_0,32,1011011,1101101,0.0,0.0,-0.0,1101101
NDAR_VQA_step_0,33,1000001,1000001,8.0,-8.0,-4.0,1000001
NDAR_VQA_step_0,34,0111110,0111110,8.0,-8.0,-4.0,0111110
NDAR_VQA_step_0,35,1010010,0100101,4.0,-4.0,-2.0,0100101
NDAR_VQA_step_0,36,0110110,0110110,6.0,-6.0,-3.0,0110110
NDAR_VQA_step_0,37,0110010,0100110,4.0,-4.0,-2.0,0100110
NDAR_VQA_step_0,38,1010010,0100101,4.0,-4.0,-2.0,0100101
NDAR_VQA_step_0,39,0110010,0100110,4.0,-4.0,-2.0,0100110
NDAR_VQA_step_0,40,0111111,1111110,6.0,-6.0,-3.0,1111110
NDAR_VQA_step_0,41,0100001,1000010,4.0,-4.0,-2.0,1000010
NDAR_VQA_step_0,42,1011101,1011101,2.0,-2.0,-1.0,1011101
NDAR_VQA_step_0,43,0000101,1010000,6.0,-6.0,-3.0,1010000
NDAR_VQA_step_0,44,0010110,0110100,6.0,-6.0,-3.0,0110100
NDAR_VQA_step_0,45,0010110,0110100,6.0,-6.0,-3.0,0110100
NDAR_VQA_step_0,46,0110010,0100110,4.0,-4.0,-2.0,0100110
NDAR_VQA_step_0,47,0100010,0100010,2.0,-2.0,-1.0,0100010
NDAR_VQA_step_0,48,1111010,0101111,6.0,-6.0,-3.0,0101111
NDAR_VQA_step_0,49,0101010,0101010,8.0,-8.0,-4.0,0101010
NDAR_VQA_step_0,50,0100010,0100010,2.0,-2.0,-1.0,0100010
NDAR_VQA_step_0,51,0111101,1011110,2.0,-2.0,-1.0,1011110
NDAR_VQA_step_0,52,1010010,0100101,4.0,-4.0,-2.0,0100101
NDAR_VQA_step_0,53,1011110,0111101,4.0,-4.0,-2.0,0111101
NDAR_VQA_step_0,54,0000010,0100000,-2.0,2.0,1.0,0100000
NDAR_VQA_step_0,55,0010101,1010100,8.0,-8.0,-4.0,1010100
NDAR_VQA_step_0,56,0100101,1010010,4.0,-4.0,-2.0,1010010
NDAR_VQA_step_0,57,0111111,1111110,6.0,-6.0,-3.0,1111110
NDAR_VQA_step_0,58,1010110,0110101,6.0,-6.0,-3.0,0110101
NDAR_VQA_step_0,59,1001010,0101001,4.0,-4.0,-2.0,0101001
NDAR_VQA_step_0,60,0100110,0110010,2.0,-2.0,-1.0,0110010
NDAR_VQA_step_0,61,1011010,0101101,4.0,-4.0,-2.0,0101101
NDAR_VQA_step_0,62,1110011,1100111,0.0,0.0,-0.0,1100111
NDAR_VQA_step_0,63,0100001,1000010,4.0,-4.0,-2.0,1000010
NDAR_VQA_step_0,64,0000011,1100000,0.0,0.0,-0.0,1100000
NDAR_VQA_step_0,65,1000001,1000001,8.0,-8.0,-4.0,1000001
NDAR_VQA_step_0,66,0110010,0100110,4.0,-4.0,-2.0,0100110
NDAR_VQA_step_0,67,1000001,1000001,8.0,-8.0,-4.0,1000001
NDAR_VQA_step_0,68,0110101,1010110,4.0,-4.0,-2.0,1010110
NDAR_VQA_step_0,69,1000010,0100001,2.0,-2.0,-1.0,0100001
NDAR_VQA_step_0,70,0100111,1110010,4.0,-4.0,-2.0,1110010
NDAR_VQA_step_0,71,1000101,1010001,8.0,-8.0,-4.0,1010001
NDAR_VQA_step_0,72,0100010,0100010,2.0,-2.0,-1.0,0100010
NDAR_VQA_step_0,73,0100110,0110010,2.0,-2.0,-1.0,0110010
NDAR_VQA_step_0,74,0111001,1001110,2.0,-2.0,-1.0,1001110
NDAR_VQA_step_0,75,0111011,1101110,4.0,-4.0,-2.0,1101110
NDAR_VQA_step_0,76,0100110,0110010,2.0,-2.0,-1.0,0110010
NDAR_VQA_step_0,77,1100011,1100011,2.0,-2.0,-1.0,1100011
NDAR_VQA_step_0,78,0010110,0110100,6.0,-6.0,-3.0,0110100
NDAR_VQA_step_0,79,1101010,0101011,8.0,-8.0,-4.0,0101011
NDAR_VQA_step_0,80,0100010,0100010,2.0,-2.0,-1.0,0100010
NDAR_VQA_step_0,81,0101010,0101010,8.0,-8.0,-4.0,0101010
NDAR_VQA_step_0,82,0111100,0011110,2.0,-2.0,-1.0,0011110
NDAR_VQA_step_0,83,1110111,1110111,2.0,-2.0,-1.0,1110111
NDAR_VQA_step_0,84,1010010,0100101,4.0,-4.0,-2.0,0100101
NDAR_VQA_step_0,85,0110010,0100110,4.0,-4.0,-2.0,0100110
NDAR_VQA_step_0,86,1111010,0101111,6.0,-6.0,-3.0,0101111
NDAR_VQA_step_0,87,0000001,1000000,4.0,-4.0,-2.0,1000000
