label,epoch,loss,loss_plus,loss_minus,grad_norm,ck,best_loss_so_far,best_epoch_so_far
NDAR_VQA_step_1,1,3.32,3.16,3.4,4.233202097703341,0.15,3.32,1
NDAR_VQA_step_1,2,3.16,3.32,2.96,6.810269388203112,0.13985797296552485,3.16,2
NDAR_VQA_step_1,3,3.0,2.92,3.3,7.4891168071440894,0.13424620340351448,3.0,3
NDAR_VQA_step_1,4,2.96,3.2,2.82,7.709911921846318,0.13040168401350324,2.96,4
NDAR_VQA_step_1,5,2.94,3.06,3.06,0.0,0.12749562686859503,2.94,5
NDAR_VQA_step_1,6,2.9,2.86,2.94,1.6909899412531741,0.1251693459088872,2.9,6
NDAR_VQA_step_1,7,2.84,2.68,2.88,4.293808374123416,0.12323564912720256,2.84,7
NDAR_VQA_step_1,8,2.94,2.98,3.12,3.046476871193713,0.12158476798279637,2.84,7
NDAR_VQA_step_1,9,2.8,2.76,2.46,6.606288096782294,0.12014695418838521,2.8,9
NDAR_VQA_step_1,10,2.7,2.78,2.6,4.006178224776795,0.11887519957207077,2.7,10
