label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_2,0,0000010,0100000,-2.0,2.0,1.0,0100000
PLAIN_VQA_step_2,1,0110100,0010110,2.0,-2.0,-1.0,0010110
PLAIN_VQA_step_2,2,0100010,0100010,2.0,-2.0,-1.0,0100010
PLAIN_VQA_step_2,3,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_2,4,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_2,5,0100110,0110010,2.0,-2.0,-1.0,0110010
PLAIN_VQA_step_2,6,0000010,0100000,-2.0,2.0,1.0,0100000
PLAIN_VQA_step_2,7,0100010,0100010,2.0,-2.0,-1.0,0100010
PLAIN_VQA_step_2,8,0000010,0100000,-2.0,2.0,1.0,0100000
PLAIN_VQA_step_2,9,0100010,0100010,2.0,-2.0,-1.0,0100010
PLAIN_VQA_step_2,10,0111100,0011110,2.0,-2.0,-1.0,0011110
PLAIN_VQA_step_2,11,0100110,0110010,2.0,-2.0,-1.0,0110010
PLAIN_VQA_step_2,12,0100001,1000010,4.0,-4.0,-2.0,1000010
PLAIN_VQA_step_2,13,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_2,14,0100000,0000010,2.0,-2.0,-1.0,0000010
PLAIN_VQA_step_2,15,0100000,0000010,2.0,-2.0,-1.0,0000010
PLAIN_VQA_step_2,16,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_2,17,0110000,0000110,2.0,-2.0,-1.0,0000110
PLAIN_VQA_step_2,18,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_2,19,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_2,20,0100110,0110010,2.0,-2.0,-1.0,0110010
PLAIN_VQA_step_2,21,0100010,0100010,2.0,-2.0,-1.0,0100010
PLAIN_VQA_step_2,22,0100110,0110010,2.0,-2.0,-1.0,0110010
PLAIN_VQA_step_2,23,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_2,24,1100000,0000011,6.0,-6.0,-3.0,0000011
PLAIN_VQA_step_2,25,1111100,0011111,0.0,0.0,-0.0,0011111
PLAIN_VQA_step_2,26,0100110,0110010,2.0,-2.0,-1.0,0110010
PLAIN_VQA_step_2,27,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_2,28,0100000,0000010,2.0,-2.0,-1.0,0000010
