label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_NO_OPT_step_3,0,1011011,1101101,-4.0,2.0,0.4,0001001
NDAR_NO_OPT_step_3,1,0001101,1011000,0.0,2.0,-0.0,0111100
NDAR_NO_OPT_step_3,2,1000101,1010001,-2.0,4.0,0.2,0110101
NDAR_NO_OPT_step_3,3,1000001,1000001,-4.0,0.0,0.4,0100101
NDAR_NO_OPT_step_3,4,0111101,1011110,-2.0,2.0,0.2,0111010
NDAR_NO_OPT_step_3,5,1001001,1001001,-2.0,0.0,0.2,0101101
NDAR_NO_OPT_step_3,6,1000111,1110001,-2.0,4.0,0.2,0010101
NDAR_NO_OPT_step_3,7,0111101,1011110,-2.0,2.0,0.2,0111010
NDAR_NO_OPT_step_3,8,0000001,1000000,-6.0,0.0,0.6,0100100
NDAR_NO_OPT_step_3,9,0000001,1000000,-6.0,0.0,0.6,0100100
NDAR_NO_OPT_step_3,10,0010001,1000100,-2.0,4.0,0.2,0100000
NDAR_NO_OPT_step_3,11,1010101,1010101,-2.0,4.0,0.2,0110001
NDAR_NO_OPT_step_3,12,1000001,1000001,-4.0,0.0,0.4,0100101
NDAR_NO_OPT_step_3,13,1000001,1000001,-4.0,0.0,0.4,0100101
NDAR_NO_OPT_step_3,14,0011001,1001100,-4.0,4.0,0.4,0101000
NDAR_NO_OPT_step_3,15,0000000,0000000,-10.0,0.0,1.0,1100100
NDAR_NO_OPT_step_3,16,1011001,1001101,-2.0,0.0,0.2,0101001
NDAR_NO_OPT_step_3,17,0011001,1001100,-4.0,4.0,0.4,0101000
NDAR_NO_OPT_step_3,18,0010011,1100100,0.0,10.0,-0.0,0000000
NDAR_NO_OPT_step_3,19,1000000,0000001,-6.0,2.0,0.6,1100101
NDAR_NO_OPT_step_3,20,1011001,1001101,-2.0,0.0,0.2,0101001
NDAR_NO_OPT_step_3,21,0101001,1001010,-4.0,2.0,0.4,0101110
NDAR_NO_OPT_step_3,22,1011000,0001101,0.0,2.0,-0.0,1101001
NDAR_NO_OPT_step_3,23,0000001,1000000,-6.0,0.0,0.6,0100100
NDAR_NO_OPT_step_3,24,0011000,0001100,-4.0,4.0,0.4,1101000
NDAR_NO_OPT_step_3,25,0111111,1111110,-6.0,2.0,0.6,0011010
NDAR_NO_OPT_step_3,26,1011000,0001101,0.0,2.0,-0.0,1101001
NDAR_NO_OPT_step_3,27,1100001,1000011,-2.0,0.0,0.2,0100111
NDAR_NO_OPT_step_3,28,1100111,1110011,-4.0,4.0,0.4,0010111
NDAR_NO_OPT_step_3,29,0011111,1111100,-2.0,4.0,0.2,0011000
NDAR_NO_OPT_step_3,30,1111001,1001111,-4.0,0.0,0.4,0101011
NDAR_NO_OPT_step_3,31,0101001,1001010,-4.0,2.0,0.4,0101110
NDAR_NO_OPT_step_3,32,0011000,0001100,-4.0,4.0,0.4,1101000
NDAR_NO_OPT_step_3,33,1011100,0011101,0.0,0.0,-0.0,1111001
NDAR_NO_OPT_step_3,34,0000001,1000000,-6.0,0.0,0.6,0100100
NDAR_NO_OPT_step_3,35,1111001,1001111,-4.0,0.0,0.4,0101011
NDAR_NO_OPT_step_3,36,1111001,1001111,-4.0,0.0,0.4,0101011
NDAR_NO_OPT_step_3,37,0000101,1010000,-2.0,2.0,0.2,0110100
NDAR_NO_OPT_step_3,38,1011001,1001101,-2.0,0.0,0.2,0101001
NDAR_NO_OPT_step_3,39,1111101,1011111,-4.0,2.0,0.4,0111011
NDAR_NO_OPT_step_3,40,1000001,1000001,-4.0,0.0,0.4,0100101
NDAR_NO_OPT_step_3,41,0000001,1000000,-6.0,0.0,0.6,0100100
NDAR_NO_OPT_step_3,42,0000001,1000000,-6.0,0.0,0.6,0100100
NDAR_NO_OPT_step_3,43,1010001,1000101,-2.0,2.0,0.2,0100001
NDAR_NO_OPT_step_3,44,0100001,1000010,-2.0,-2.0,0.2,0100110
NDAR_NO_OPT_step_3,45,0011001,1001100,-4.0,4.0,0.4,0101000
NDAR_NO_OPT_step_3,46,0011101,1011100,0.0,2.0,-0.0,0111000
NDAR_NO_OPT_step_3,47,1000001,1000001,-4.0,0.0,0.4,0100101
NDAR_NO_OPT_step_3,48,0101101,1011010,0.0,4.0,-0.0,0111110
NDAR_NO_OPT_step_3,49,0011001,1001100,-4.0,4.0,0.4,0101000
NDAR_NO_OPT_step_3,50,1111001,1001111,-4.0,0.0,0.4,0101011
NDAR_NO_OPT_step_3,51,0000000,0000000,-10.0,0.0,1.0,1100100
NDAR_NO_OPT_step_3,52,0100001,1000010,-2.0,-2.0,0.2,0100110
NDAR_NO_OPT_step_3,53,1011101,1011101,0.0,0.0,-0.0,0111001
NDAR_NO_OPT_step_3,54,1100001,1000011,-2.0,0.0,0.2,0100111
NDAR_NO_OPT_step_3,55,1100001,1000011,-2.0,0.0,0.2,0100111
NDAR_NO_OPT_step_3,56,1010111,1110101,-4.0,6.0,0.4,0010001
NDAR_NO_OPT_step_3,57,0011001,1001100,-4.0,4.0,0.4,0101000
NDAR_NO_OPT_step_3,58,0100001,1000010,-2.0,-2.0,0.2,0100110
NDAR_NO_OPT_step_3,59,1111001,1001111,-4.0,0.0,0.4,0101011
NDAR_NO_OPT_step_3,60,0000001,1000000,-6.0,0.0,0.6,0100100
NDAR_NO_OPT_step_3,61,1111111,1111111,-10.0,0.0,1.0,0011011
NDAR_NO_OPT_step_3,62,0101001,1001010,-4.0,2.0,0.4,0101110
NDAR_NO_OPT_step_3,63,0101001,1001010,-4.0,2.0,0.4,0101110
NDAR_NO_OPT_step_3,64,0000001,1000000,-6.0,0.0,0.6,0100100
NDAR_NO_OPT_step_3,65,1010001,1000101,-2.0,2.0,0.2,0100001
NDAR_NO_OPT_step_3,66,0011011,1101100,-4.0,8.0,0.4,0001000
NDAR_NO_OPT_step_3,67,1111001,1001111,-4.0,0.0,0.4,0101011
NDAR_NO_OPT_step_3,68,0011111,1111100,-2.0,4.0,0.2,0011000
NDAR_NO_OPT_step_3,69,0011101,1011100,0.0,2.0,-0.0,0111000
NDAR_NO_OPT_step_3,70,1011001,1001101,-2.0,0.0,0.2,0101001
NDAR_NO_OPT_step_3,71,1000001,1000001,-4.0,0.0,0.4,0100101
