method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,0000000,0001001,0001001,0000000,-2.0,0.42,1.0,-0.21,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,4,moderate_damping
plain_vqa,1,20,0000000,1001000,1001000,0000000,-2.0,-0.08,1.0,0.04,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,4,moderate_damping
plain_vqa,2,30,0000000,0001001,0001001,0000000,-2.0,-0.46,1.0,0.23,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,4,moderate_damping
plain_vqa,3,40,0000000,0001001,0001001,0000000,-2.0,-0.46,1.0,0.23,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,4,moderate_damping
plain_vqa,4,50,0000000,0001001,0001001,0000000,-2.0,-0.5,1.0,0.25,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,4,moderate_damping
ndar_vqa,0,10,0000000,0001001,0001001,0000000,-2.0,0.46,1.0,-0.23,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,4,moderate_damping
ndar_vqa,1,20,0001001,1000101,1001100,0001001,-2.0,1.08,1.0,-0.54,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,4,moderate_damping
ndar_vqa,2,30,1001100,0000100,1001000,1001100,-2.0,0.06,1.0,-0.03,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,4,moderate_damping
ndar_vqa,3,40,1001000,0010110,1011110,1001000,-2.0,0.54,1.0,-0.27,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,4,moderate_damping
ndar_vqa,4,50,1011110,0010110,1001000,1011110,-2.0,1.0,1.0,-0.5,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,4,moderate_damping
random_search,0,10,0000000,1001000,1001000,0000000,-2.0,1.14,1.0,-0.57,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,4,moderate_damping
random_search,1,20,0000000,1001000,1001000,0000000,-2.0,1.14,1.0,-0.57,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,4,moderate_damping
random_search,2,30,0000000,1110111,1110111,0000000,-2.0,0.6,1.0,-0.3,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,4,moderate_damping
random_search,3,40,0000000,1110111,1110111,0000000,-2.0,0.58,1.0,-0.29,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,4,moderate_damping
random_search,4,50,0000000,1110111,1110111,0000000,-2.0,0.6,1.0,-0.3,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,4,moderate_damping
ndar_no_opt,0,10,0000000,0010100,0010100,0000000,-2.0,0.74,1.0,-0.37,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-2.0,1.0,4,moderate_damping
ndar_no_opt,1,20,0010100,0000000,0010100,0010100,-2.0,1.12,1.0,-0.56,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-2.0,1.0,4,moderate_damping
ndar_no_opt,2,30,0010100,0000000,0010100,0010100,-2.0,1.16,1.0,-0.58,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-2.0,1.0,4,moderate_damping
ndar_no_opt,3,40,0010100,0000000,0010100,0010100,-2.0,1.14,1.0,-0.57,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-2.0,1.0,4,moderate_damping
ndar_no_opt,4,50,0010100,0000000,0010100,0010100,-2.0,1.2,1.0,-0.6,1.0,-2.0,1.0,2.0,-2.0,1.0,2.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-2.0,1.0,4,moderate_damping
