label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
RANDOM_SEARCH_step_4,0,1000111,1110001,2.0,-2.0,-1.0,1110001
RANDOM_SEARCH_step_4,1,1110011,1100111,0.0,0.0,-0.0,1100111
RANDOM_SEARCH_step_4,2,1000111,1110001,2.0,-2.0,-1.0,1110001
RANDOM_SEARCH_step_4,3,1110000,0000111,2.0,-2.0,-1.0,0000111
RANDOM_SEARCH_step_4,4,0010110,0110100,0.0,0.0,-0.0,0110100
RANDOM_SEARCH_step_4,5,0010111,1110100,0.0,0.0,-0.0,1110100
RANDOM_SEARCH_step_4,6,0000000,0000000,0.0,0.0,-0.0,0000000
RANDOM_SEARCH_step_4,7,1110111,1110111,-2.0,2.0,1.0,1110111
RANDOM_SEARCH_step_4,8,0010001,1000100,0.0,0.0,-0.0,1000100
RANDOM_SEARCH_step_4,9,1100000,0000011,2.0,-2.0,-1.0,0000011
RANDOM_SEARCH_step_4,10,0000000,0000000,0.0,0.0,-0.0,0000000
RANDOM_SEARCH_step_4,11,0010111,1110100,0.0,0.0,-0.0,1110100
RANDOM_SEARCH_step_4,12,1100011,1100011,0.0,0.0,-0.0,1100011
RANDOM_SEARCH_step_4,13,0100011,1100010,4.0,-4.0,-2.0,1100010
RANDOM_SEARCH_step_4,14,0011101,1011100,0.0,0.0,-0.0,1011100
RANDOM_SEARCH_step_4,15,1110111,1110111,-2.0,2.0,1.0,1110111
RANDOM_SEARCH_step_4,16,1110111,1110111,-2.0,2.0,1.0,1110111
RANDOM_SEARCH_step_4,17,1010111,1110101,2.0,-2.0,-1.0,1110101
RANDOM_SEARCH_step_4,18,0110111,1110110,-2.0,2.0,1.0,1110110
RANDOM_SEARCH_step_4,19,1000110,0110001,-2.0,2.0,1.0,0110001
RANDOM_SEARCH_step_4,20,0110111,1110110,-2.0,2.0,1.0,1110110
RANDOM_SEARCH_step_4,21,0000111,1110000,2.0,-2.0,-1.0,1110000
RANDOM_SEARCH_step_4,22,0000111,1110000,2.0,-2.0,-1.0,1110000
RANDOM_SEARCH_step_4,23,0100111,1110010,2.0,-2.0,-1.0,1110010
RANDOM_SEARCH_step_4,24,0000000,0000000,0.0,0.0,-0.0,0000000
RANDOM_SEARCH_step_4,25,1110111,1110111,-2.0,2.0,1.0,1110111
RANDOM_SEARCH_step_4,26,0000111,1110000,2.0,-2.0,-1.0,1110000
RANDOM_SEARCH_step_4,27,0001111,1111000,2.0,-2.0,-1.0,1111000
RANDOM_SEARCH_step_4,28,0010101,1010100,0.0,0.0,-0.0,1010100
RANDOM_SEARCH_step_4,29,0010101,1010100,0.0,0.0,-0.0,1010100
RANDOM_SEARCH_step_4,30,1110111,1110111,-2.0,2.0,1.0,1110111
RANDOM_SEARCH_step_4,31,0010000,0000100,0.0,0.0,-0.0,0000100
RANDOM_SEARCH_step_4,32,0110111,1110110,-2.0,2.0,1.0,1110110
RANDOM_SEARCH_step_4,33,0000111,1110000,2.0,-2.0,-1.0,1110000
RANDOM_SEARCH_step_4,34,1110111,1110111,-2.0,2.0,1.0,1110111
RANDOM_SEARCH_step_4,35,0010111,1110100,0.0,0.0,-0.0,1110100
RANDOM_SEARCH_step_4,36,1010111,1110101,2.0,-2.0,-1.0,1110101
RANDOM_SEARCH_step_4,37,0010001,1000100,0.0,0.0,-0.0,1000100
RANDOM_SEARCH_step_4,38,1110111,1110111,-2.0,2.0,1.0,1110111
RANDOM_SEARCH_step_4,39,1010110,0110101,0.0,0.0,-0.0,0110101
RANDOM_SEARCH_step_4,40,1111000,0001111,2.0,-2.0,-1.0,0001111
RANDOM_SEARCH_step_4,41,0010011,1100100,2.0,-2.0,-1.0,1100100
