method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,0000000000,0110101000,0110101000,0000000000,-8.0,0.06640625,0.7272727272727273,-0.006036931818181818,-0.0,-8.0,0.7272727272727273,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,0.7272727272727273,0,noiseless
plain_vqa,1,20,0000000000,0110101000,0110101000,0000000000,-8.0,-2.2109375,0.7272727272727273,0.20099431818181818,-0.0,-8.0,0.7272727272727273,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,0.7272727272727273,0,noiseless
plain_vqa,2,30,0000000000,0100101000,0100101000,0000000000,-9.0,-3.84375,0.8181818181818182,0.3494318181818182,-0.0,-9.0,0.8181818181818182,9.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-9.0,0.8181818181818182,0,noiseless
plain_vqa,3,40,0000000000,0110101000,0110101000,0000000000,-8.0,-5.43359375,0.7272727272727273,0.4939630681818182,-0.0,-8.0,0.7272727272727273,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-9.0,0.8181818181818182,0,noiseless
plain_vqa,4,50,0000000000,0110101000,0110101000,0000000000,-8.0,-7.0234375,0.7272727272727273,0.6384943181818182,-0.0,-8.0,0.7272727272727273,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-9.0,0.8181818181818182,0,noiseless
plain_vqa,5,60,0000000000,0110101000,0110101000,0000000000,-8.0,-7.5625,0.7272727272727273,0.6875,-0.0,-8.0,0.7272727272727273,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-9.0,0.8181818181818182,0,noiseless
ndar_vqa,0,10,0000000000,0110101000,0110101000,0000000000,-8.0,-0.578125,0.7272727272727273,0.052556818181818184,-0.0,-8.0,0.7272727272727273,8.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-8.0,0.7272727272727273,0,noiseless
ndar_vqa,1,20,0110101000,0010100101,0100001101,0110101000,-8.0,-1.45703125,0.7272727272727273,0.13245738636363635,0.7272727272727273,-8.0,0.7272727272727273,8.0,-8.0,0.7272727272727273,8.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-8.0,0.7272727272727273,0,noiseless
ndar_vqa,2,30,0100001101,0101110000,0001111101,0100001101,-8.0,1.1484375,0.7272727272727273,-0.10440340909090909,0.7272727272727273,-8.0,0.7272727272727273,8.0,-8.0,0.7272727272727273,8.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-8.0,0.7272727272727273,0,noiseless
ndar_vqa,3,40,0001111101,0101110010,0100001111,0001111101,-7.0,-0.85546875,0.6363636363636364,0.07776988636363637,0.7272727272727273,-7.0,0.6363636363636364,7.0,-8.0,0.7272727272727273,8.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-8.0,0.7272727272727273,0,noiseless
