label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_NO_OPT_step_2,0,11000,00011,0.0,2.0,-0.0,01011
NDAR_NO_OPT_step_2,1,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,2,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,3,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,4,00100,00100,-2.0,-2.0,1.0,01100
NDAR_NO_OPT_step_2,5,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,6,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,7,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,8,00110,01100,2.0,2.0,-1.0,00100
NDAR_NO_OPT_step_2,9,11000,00011,0.0,2.0,-0.0,01011
NDAR_NO_OPT_step_2,10,11000,00011,0.0,2.0,-0.0,01011
NDAR_NO_OPT_step_2,11,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,12,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,13,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,14,11000,00011,0.0,2.0,-0.0,01011
NDAR_NO_OPT_step_2,15,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,16,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,17,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,18,10110,01101,2.0,0.0,-1.0,00101
NDAR_NO_OPT_step_2,19,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,20,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,21,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,22,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,23,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,24,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,25,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,26,10110,01101,2.0,0.0,-1.0,00101
NDAR_NO_OPT_step_2,27,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,28,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,29,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,30,11000,00011,0.0,2.0,-0.0,01011
NDAR_NO_OPT_step_2,31,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,32,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,33,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,34,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,35,10110,01101,2.0,0.0,-1.0,00101
NDAR_NO_OPT_step_2,36,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,37,11000,00011,0.0,2.0,-0.0,01011
NDAR_NO_OPT_step_2,38,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,39,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,40,11010,01011,-2.0,0.0,1.0,00011
NDAR_NO_OPT_step_2,41,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,42,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,43,11100,00111,0.0,0.0,-0.0,01111
NDAR_NO_OPT_step_2,44,11010,01011,-2.0,0.0,1.0,00011
NDAR_NO_OPT_step_2,45,10110,01101,2.0,0.0,-1.0,00101
NDAR_NO_OPT_step_2,46,10110,01101,2.0,0.0,-1.0,00101
NDAR_NO_OPT_step_2,47,10110,01101,2.0,0.0,-1.0,00101
NDAR_NO_OPT_step_2,48,00100,00100,-2.0,-2.0,1.0,01100
NDAR_NO_OPT_step_2,49,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,50,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,51,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,52,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,53,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,54,10110,01101,2.0,0.0,-1.0,00101
NDAR_NO_OPT_step_2,55,11000,00011,0.0,2.0,-0.0,01011
NDAR_NO_OPT_step_2,56,00100,00100,-2.0,-2.0,1.0,01100
NDAR_NO_OPT_step_2,57,00100,00100,-2.0,-2.0,1.0,01100
NDAR_NO_OPT_step_2,58,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,59,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,60,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,61,10110,01101,2.0,0.0,-1.0,00101
NDAR_NO_OPT_step_2,62,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,63,10110,01101,2.0,0.0,-1.0,00101
NDAR_NO_OPT_step_2,64,10110,01101,2.0,0.0,-1.0,00101
NDAR_NO_OPT_step_2,65,11000,00011,0.0,2.0,-0.0,01011
NDAR_NO_OPT_step_2,66,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,67,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,68,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,69,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,70,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,71,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,72,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,73,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,74,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,75,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,76,00100,00100,-2.0,-2.0,1.0,01100
NDAR_NO_OPT_step_2,77,01000,00010,2.0,-2.0,-1.0,01010
NDAR_NO_OPT_step_2,78,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,79,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,80,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,81,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,82,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,83,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,84,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,85,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,86,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,87,11010,01011,-2.0,0.0,1.0,00011
NDAR_NO_OPT_step_2,88,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,89,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,90,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,91,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,92,10100,00101,0.0,-2.0,-0.0,01101
NDAR_NO_OPT_step_2,93,10110,01101,2.0,0.0,-1.0,00101
