method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,0000000,1100111,1100111,0000000,0.0,3.34,-0.0,-1.67,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,0.0,-0.0,1,noiseless
plain_vqa,1,20,0000000,1100111,1100111,0000000,0.0,1.64,-0.0,-0.82,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,0.0,-0.0,1,noiseless
plain_vqa,2,30,0000000,0100000,0100000,0000000,-2.0,1.12,1.0,-0.56,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,1,noiseless
plain_vqa,3,40,0000000,1100000,1100000,0000000,0.0,0.48,-0.0,-0.24,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,1,noiseless
plain_vqa,4,50,0000000,0100000,0100000,0000000,-2.0,0.8,1.0,-0.4,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-2.0,1.0,1,noiseless
ndar_vqa,0,10,0000000,1100000,1100000,0000000,0.0,2.42,-0.0,-1.21,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",0.0,-0.0,1,noiseless
ndar_vqa,1,20,1100000,1111111,0011111,1100000,0.0,3.44,-0.0,-1.72,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",0.0,-0.0,1,noiseless
ndar_vqa,2,30,0011111,1110010,1101101,0011111,0.0,3.2,-0.0,-1.6,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",0.0,-0.0,1,noiseless
ndar_vqa,3,40,1101101,0110010,1011111,1101101,-2.0,3.32,1.0,-1.66,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,1,noiseless
ndar_vqa,4,50,1011111,0010000,1001111,1011111,0.0,3.74,-0.0,-1.87,1.0,0.0,-0.0,0.0,-2.0,1.0,2.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,1.0,1,noiseless
random_search,0,10,0000000,1011111,1011111,0000000,-2.0,2.8,1.0,-1.4,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,1,noiseless
random_search,1,20,0000000,0011111,0011111,0000000,0.0,3.14,-0.0,-1.57,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,1,noiseless
random_search,2,30,0000000,0100000,0100000,0000000,-2.0,1.62,1.0,-0.81,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,1,noiseless
random_search,3,40,0000000,0100000,0100000,0000000,-2.0,0.96,1.0,-0.48,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,1,noiseless
random_search,4,50,0000000,0100000,0100000,0000000,-2.0,0.88,1.0,-0.44,-0.0,-2.0,1.0,2.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-2.0,1.0,1,noiseless
ndar_no_opt,0,10,0000000,1100000,1100000,0000000,0.0,3.54,-0.0,-1.77,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,0.0,-0.0,1,noiseless
ndar_no_opt,1,20,1100000,1100000,0000000,1100000,0.0,3.9,-0.0,-1.95,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,0.0,-0.0,1,noiseless
ndar_no_opt,2,30,0000000,1001111,1001111,0000000,0.0,3.52,-0.0,-1.76,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,0.0,-0.0,1,noiseless
ndar_no_opt,3,40,1001111,1001111,0000000,1001111,0.0,4.72,-0.0,-2.36,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,0.0,-0.0,1,noiseless
ndar_no_opt,4,50,0000000,1100111,1100111,0000000,0.0,3.44,-0.0,-1.72,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,0.0,-0.0,1,noiseless
