label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_4,0,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,1,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,2,00111,11100,-2.0,2.0,0.5,11011
NDAR_VQA_step_4,3,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,4,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,5,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,6,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,7,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,8,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,9,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,10,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,11,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,12,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,13,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,14,10011,11001,-4.0,4.0,1.0,11110
NDAR_VQA_step_4,15,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,16,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,17,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,18,10111,11101,-4.0,0.0,1.0,11010
NDAR_VQA_step_4,19,10111,11101,-4.0,0.0,1.0,11010
NDAR_VQA_step_4,20,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,21,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,22,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,23,10111,11101,-4.0,0.0,1.0,11010
NDAR_VQA_step_4,24,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,25,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,26,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,27,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,28,10111,11101,-4.0,0.0,1.0,11010
NDAR_VQA_step_4,29,01111,11110,-4.0,4.0,1.0,11001
NDAR_VQA_step_4,30,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,31,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,32,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,33,11111,11111,-4.0,0.0,1.0,11000
NDAR_VQA_step_4,34,11111,11111,-4.0,0.0,1.0,11000
