label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_2,0,00011,11000,-4.0,4.0,1.0,11000
PLAIN_VQA_step_2,1,00011,11000,-4.0,4.0,1.0,11000
PLAIN_VQA_step_2,2,01111,11110,-4.0,4.0,1.0,11110
PLAIN_VQA_step_2,3,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,4,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_2,5,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_2,6,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,7,00011,11000,-4.0,4.0,1.0,11000
PLAIN_VQA_step_2,8,00011,11000,-4.0,4.0,1.0,11000
PLAIN_VQA_step_2,9,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,10,01111,11110,-4.0,4.0,1.0,11110
PLAIN_VQA_step_2,11,01111,11110,-4.0,4.0,1.0,11110
PLAIN_VQA_step_2,12,01111,11110,-4.0,4.0,1.0,11110
PLAIN_VQA_step_2,13,00011,11000,-4.0,4.0,1.0,11000
PLAIN_VQA_step_2,14,10000,00001,-4.0,4.0,1.0,00001
PLAIN_VQA_step_2,15,11011,11011,-2.0,2.0,0.5,11011
PLAIN_VQA_step_2,16,00011,11000,-4.0,4.0,1.0,11000
PLAIN_VQA_step_2,17,11101,10111,-2.0,2.0,0.5,10111
PLAIN_VQA_step_2,18,01101,10110,-4.0,4.0,1.0,10110
PLAIN_VQA_step_2,19,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,20,01111,11110,-4.0,4.0,1.0,11110
PLAIN_VQA_step_2,21,10001,10001,-2.0,2.0,0.5,10001
PLAIN_VQA_step_2,22,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_2,23,11101,10111,-2.0,2.0,0.5,10111
PLAIN_VQA_step_2,24,01101,10110,-4.0,4.0,1.0,10110
PLAIN_VQA_step_2,25,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,26,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_2,27,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,28,11101,10111,-2.0,2.0,0.5,10111
PLAIN_VQA_step_2,29,01011,11010,-4.0,4.0,1.0,11010
PLAIN_VQA_step_2,30,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_2,31,00011,11000,-4.0,4.0,1.0,11000
PLAIN_VQA_step_2,32,00111,11100,-2.0,2.0,0.5,11100
PLAIN_VQA_step_2,33,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_2,34,01101,10110,-4.0,4.0,1.0,10110
PLAIN_VQA_step_2,35,00111,11100,-2.0,2.0,0.5,11100
PLAIN_VQA_step_2,36,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,37,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,38,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_2,39,00011,11000,-4.0,4.0,1.0,11000
PLAIN_VQA_step_2,40,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,41,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,42,10000,00001,-4.0,4.0,1.0,00001
PLAIN_VQA_step_2,43,10001,10001,-2.0,2.0,0.5,10001
PLAIN_VQA_step_2,44,10001,10001,-2.0,2.0,0.5,10001
PLAIN_VQA_step_2,45,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,46,10001,10001,-2.0,2.0,0.5,10001
PLAIN_VQA_step_2,47,10011,11001,-4.0,4.0,1.0,11001
PLAIN_VQA_step_2,48,00001,10000,0.0,0.0,-0.0,10000
PLAIN_VQA_step_2,49,00011,11000,-4.0,4.0,1.0,11000
PLAIN_VQA_step_2,50,10111,11101,0.0,0.0,-0.0,11101
PLAIN_VQA_step_2,51,11101,10111,-2.0,2.0,0.5,10111
PLAIN_VQA_step_2,52,10010,01001,-4.0,4.0,1.0,01001
PLAIN_VQA_step_2,53,11111,11111,0.0,0.0,-0.0,11111
PLAIN_VQA_step_2,54,01111,11110,-4.0,4.0,1.0,11110
PLAIN_VQA_step_2,55,11101,10111,-2.0,2.0,0.5,10111
PLAIN_VQA_step_2,56,00011,11000,-4.0,4.0,1.0,11000
PLAIN_VQA_step_2,57,00011,11000,-4.0,4.0,1.0,11000
