label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
RANDOM_SEARCH_step_3,0,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,1,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,2,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,3,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,4,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,5,10100,00101,2.0,-2.0,-1.0,00101
RANDOM_SEARCH_step_3,6,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,7,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,8,00110,01100,-2.0,2.0,1.0,01100
RANDOM_SEARCH_step_3,9,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,10,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,11,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,12,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,13,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,14,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,15,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,16,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,17,00110,01100,-2.0,2.0,1.0,01100
RANDOM_SEARCH_step_3,18,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,19,01100,00110,0.0,0.0,-0.0,00110
RANDOM_SEARCH_step_3,20,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,21,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,22,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,23,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,24,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,25,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,26,00110,01100,-2.0,2.0,1.0,01100
RANDOM_SEARCH_step_3,27,00110,01100,-2.0,2.0,1.0,01100
RANDOM_SEARCH_step_3,28,00101,10100,2.0,-2.0,-1.0,10100
RANDOM_SEARCH_step_3,29,00110,01100,-2.0,2.0,1.0,01100
RANDOM_SEARCH_step_3,30,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,31,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,32,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,33,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,34,00110,01100,-2.0,2.0,1.0,01100
RANDOM_SEARCH_step_3,35,00110,01100,-2.0,2.0,1.0,01100
RANDOM_SEARCH_step_3,36,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,37,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,38,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,39,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,40,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,41,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,42,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,43,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,44,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,45,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,46,00101,10100,2.0,-2.0,-1.0,10100
RANDOM_SEARCH_step_3,47,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,48,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,49,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,50,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,51,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,52,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,53,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,54,00110,01100,-2.0,2.0,1.0,01100
RANDOM_SEARCH_step_3,55,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,56,00101,10100,2.0,-2.0,-1.0,10100
RANDOM_SEARCH_step_3,57,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,58,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,59,01111,11110,2.0,-2.0,-1.0,11110
RANDOM_SEARCH_step_3,60,00101,10100,2.0,-2.0,-1.0,10100
RANDOM_SEARCH_step_3,61,00101,10100,2.0,-2.0,-1.0,10100
RANDOM_SEARCH_step_3,62,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,63,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,64,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,65,00110,01100,-2.0,2.0,1.0,01100
RANDOM_SEARCH_step_3,66,00101,10100,2.0,-2.0,-1.0,10100
RANDOM_SEARCH_step_3,67,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,68,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,69,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,70,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,71,01100,00110,0.0,0.0,-0.0,00110
RANDOM_SEARCH_step_3,72,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,73,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,74,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,75,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,76,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,77,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,78,00110,01100,-2.0,2.0,1.0,01100
RANDOM_SEARCH_step_3,79,00101,10100,2.0,-2.0,-1.0,10100
RANDOM_SEARCH_step_3,80,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,81,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,82,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,83,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,84,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,85,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,86,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,87,00110,01100,-2.0,2.0,1.0,01100
RANDOM_SEARCH_step_3,88,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,89,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,90,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,91,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,92,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,93,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,94,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,95,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,96,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,97,00111,11100,0.0,0.0,-0.0,11100
RANDOM_SEARCH_step_3,98,00100,00100,-2.0,2.0,1.0,00100
RANDOM_SEARCH_step_3,99,00110,01100,-2.0,2.0,1.0,01100
