label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_NO_OPT_step_4,0,0001010,0101000,2.0,-2.0,-1.0,1110111
NDAR_NO_OPT_step_4,1,0001100,0011000,2.0,0.0,-1.0,1000111
NDAR_NO_OPT_step_4,2,0010101,1010100,8.0,-8.0,-4.0,0001011
NDAR_NO_OPT_step_4,3,0000000,0000000,-2.0,0.0,1.0,1011111
NDAR_NO_OPT_step_4,4,1100010,0100011,6.0,-4.0,-3.0,1111100
NDAR_NO_OPT_step_4,5,1001110,0111001,2.0,-2.0,-1.0,1100110
NDAR_NO_OPT_step_4,6,0001010,0101000,2.0,-2.0,-1.0,1110111
NDAR_NO_OPT_step_4,7,0010011,1100100,4.0,-2.0,-2.0,0111011
NDAR_NO_OPT_step_4,8,0001110,0111000,0.0,-2.0,-0.0,1100111
NDAR_NO_OPT_step_4,9,1111101,1011111,0.0,2.0,-0.0,0000000
NDAR_NO_OPT_step_4,10,0001010,0101000,2.0,-2.0,-1.0,1110111
NDAR_NO_OPT_step_4,11,1011000,0001101,4.0,-4.0,-2.0,1010010
NDAR_NO_OPT_step_4,12,1011010,0101101,4.0,-4.0,-2.0,1110010
NDAR_NO_OPT_step_4,13,0100100,0010010,2.0,0.0,-1.0,1001101
NDAR_NO_OPT_step_4,14,0000010,0100000,0.0,2.0,-0.0,1111111
NDAR_NO_OPT_step_4,15,1111101,1011111,0.0,2.0,-0.0,0000000
NDAR_NO_OPT_step_4,16,1100101,1010011,2.0,-4.0,-1.0,0001100
NDAR_NO_OPT_step_4,17,1011110,0111101,2.0,-4.0,-1.0,1100010
NDAR_NO_OPT_step_4,18,0100001,1000010,2.0,-4.0,-1.0,0011101
NDAR_NO_OPT_step_4,19,0010101,1010100,8.0,-8.0,-4.0,0001011
NDAR_NO_OPT_step_4,20,0010100,0010100,6.0,-4.0,-3.0,1001011
NDAR_NO_OPT_step_4,21,0010110,0110100,4.0,-6.0,-2.0,1101011
NDAR_NO_OPT_step_4,22,0001000,0001000,2.0,-2.0,-1.0,1010111
NDAR_NO_OPT_step_4,23,0001010,0101000,2.0,-2.0,-1.0,1110111
NDAR_NO_OPT_step_4,24,1010010,0100101,6.0,-4.0,-3.0,1111010
NDAR_NO_OPT_step_4,25,0011101,1011100,6.0,-4.0,-3.0,0000011
NDAR_NO_OPT_step_4,26,1101011,1101011,6.0,-4.0,-3.0,0110100
NDAR_NO_OPT_step_4,27,1110001,1000111,0.0,-2.0,-0.0,0011000
