label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_0,0,0000100,0010000,0.0,0.0,-0.0,0010000
PLAIN_VQA_step_0,1,0011000,0001100,2.0,-2.0,-1.0,0001100
PLAIN_VQA_step_0,2,0011000,0001100,2.0,-2.0,-1.0,0001100
PLAIN_VQA_step_0,3,0111001,1001110,2.0,-2.0,-1.0,1001110
PLAIN_VQA_step_0,4,0010010,0100100,2.0,-2.0,-1.0,0100100
PLAIN_VQA_step_0,5,1011100,0011101,2.0,-2.0,-1.0,0011101
PLAIN_VQA_step_0,6,1100100,0010011,2.0,-2.0,-1.0,0010011
PLAIN_VQA_step_0,7,0100011,1100010,2.0,-2.0,-1.0,1100010
PLAIN_VQA_step_0,8,0011000,0001100,2.0,-2.0,-1.0,0001100
PLAIN_VQA_step_0,9,1101011,1101011,4.0,-4.0,-2.0,1101011
PLAIN_VQA_step_0,10,0000010,0100000,-2.0,2.0,1.0,0100000
PLAIN_VQA_step_0,11,1101010,0101011,8.0,-8.0,-4.0,0101011
PLAIN_VQA_step_0,12,0010100,0010100,4.0,-4.0,-2.0,0010100
PLAIN_VQA_step_0,13,0011011,1101100,2.0,-2.0,-1.0,1101100
PLAIN_VQA_step_0,14,0111001,1001110,2.0,-2.0,-1.0,1001110
PLAIN_VQA_step_0,15,0000100,0010000,0.0,0.0,-0.0,0010000
PLAIN_VQA_step_0,16,1111000,0001111,4.0,-4.0,-2.0,0001111
PLAIN_VQA_step_0,17,0001000,0001000,2.0,-2.0,-1.0,0001000
PLAIN_VQA_step_0,18,1100001,1000011,6.0,-6.0,-3.0,1000011
PLAIN_VQA_step_0,19,0011000,0001100,2.0,-2.0,-1.0,0001100
PLAIN_VQA_step_0,20,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_0,21,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_0,22,0111111,1111110,6.0,-6.0,-3.0,1111110
PLAIN_VQA_step_0,23,0110011,1100110,2.0,-2.0,-1.0,1100110
PLAIN_VQA_step_0,24,0011111,1111100,6.0,-6.0,-3.0,1111100
PLAIN_VQA_step_0,25,1000100,0010001,4.0,-4.0,-2.0,0010001
PLAIN_VQA_step_0,26,1111001,1001111,0.0,0.0,-0.0,1001111
PLAIN_VQA_step_0,27,1111100,0011111,0.0,0.0,-0.0,0011111
PLAIN_VQA_step_0,28,0110110,0110110,6.0,-6.0,-3.0,0110110
PLAIN_VQA_step_0,29,1100100,0010011,2.0,-2.0,-1.0,0010011
PLAIN_VQA_step_0,30,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_0,31,0011110,0111100,6.0,-6.0,-3.0,0111100
PLAIN_VQA_step_0,32,1111101,1011111,-2.0,2.0,1.0,1011111
PLAIN_VQA_step_0,33,1111101,1011111,-2.0,2.0,1.0,1011111
PLAIN_VQA_step_0,34,1111101,1011111,-2.0,2.0,1.0,1011111
PLAIN_VQA_step_0,35,1011000,0001101,4.0,-4.0,-2.0,0001101
PLAIN_VQA_step_0,36,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_0,37,0000010,0100000,-2.0,2.0,1.0,0100000
PLAIN_VQA_step_0,38,0010100,0010100,4.0,-4.0,-2.0,0010100
PLAIN_VQA_step_0,39,1000100,0010001,4.0,-4.0,-2.0,0010001
PLAIN_VQA_step_0,40,0010100,0010100,4.0,-4.0,-2.0,0010100
PLAIN_VQA_step_0,41,1011110,0111101,4.0,-4.0,-2.0,0111101
PLAIN_VQA_step_0,42,0001000,0001000,2.0,-2.0,-1.0,0001000
PLAIN_VQA_step_0,43,1011101,1011101,2.0,-2.0,-1.0,1011101
PLAIN_VQA_step_0,44,1111100,0011111,0.0,0.0,-0.0,0011111
PLAIN_VQA_step_0,45,0000101,1010000,6.0,-6.0,-3.0,1010000
PLAIN_VQA_step_0,46,1001111,1111001,2.0,-2.0,-1.0,1111001
PLAIN_VQA_step_0,47,1000000,0000001,6.0,-6.0,-3.0,0000001
PLAIN_VQA_step_0,48,0101001,1001010,6.0,-6.0,-3.0,1001010
PLAIN_VQA_step_0,49,1000011,1100001,2.0,-2.0,-1.0,1100001
PLAIN_VQA_step_0,50,1101110,0111011,4.0,-4.0,-2.0,0111011
PLAIN_VQA_step_0,51,0000011,1100000,0.0,0.0,-0.0,1100000
PLAIN_VQA_step_0,52,0010101,1010100,8.0,-8.0,-4.0,1010100
PLAIN_VQA_step_0,53,1111100,0011111,0.0,0.0,-0.0,0011111
PLAIN_VQA_step_0,54,0000000,0000000,0.0,0.0,-0.0,0000000
PLAIN_VQA_step_0,55,1111000,0001111,4.0,-4.0,-2.0,0001111
PLAIN_VQA_step_0,56,1011001,1001101,2.0,-2.0,-1.0,1001101
PLAIN_VQA_step_0,57,1111011,1101111,0.0,0.0,-0.0,1101111
PLAIN_VQA_step_0,58,0111110,0111110,8.0,-8.0,-4.0,0111110
PLAIN_VQA_step_0,59,1011111,1111101,2.0,-2.0,-1.0,1111101
PLAIN_VQA_step_0,60,1011000,0001101,4.0,-4.0,-2.0,0001101
PLAIN_VQA_step_0,61,1000000,0000001,6.0,-6.0,-3.0,0000001
PLAIN_VQA_step_0,62,0000111,1110000,4.0,-4.0,-2.0,1110000
PLAIN_VQA_step_0,63,0011001,1001100,2.0,-2.0,-1.0,1001100
PLAIN_VQA_step_0,64,1000010,0100001,2.0,-2.0,-1.0,0100001
PLAIN_VQA_step_0,65,1100001,1000011,6.0,-6.0,-3.0,1000011
PLAIN_VQA_step_0,66,1011111,1111101,2.0,-2.0,-1.0,1111101
PLAIN_VQA_step_0,67,1100101,1010011,4.0,-4.0,-2.0,1010011
PLAIN_VQA_step_0,68,0101100,0011010,2.0,-2.0,-1.0,0011010
PLAIN_VQA_step_0,69,0110010,0100110,4.0,-4.0,-2.0,0100110
PLAIN_VQA_step_0,70,0111101,1011110,2.0,-2.0,-1.0,1011110
PLAIN_VQA_step_0,71,0011001,1001100,2.0,-2.0,-1.0,1001100
PLAIN_VQA_step_0,72,1011001,1001101,2.0,-2.0,-1.0,1001101
PLAIN_VQA_step_0,73,1110101,1010111,2.0,-2.0,-1.0,1010111
PLAIN_VQA_step_0,74,1100000,0000011,6.0,-6.0,-3.0,0000011
PLAIN_VQA_step_0,75,1011000,0001101,4.0,-4.0,-2.0,0001101
PLAIN_VQA_step_0,76,1100101,1010011,4.0,-4.0,-2.0,1010011
PLAIN_VQA_step_0,77,0011000,0001100,2.0,-2.0,-1.0,0001100
PLAIN_VQA_step_0,78,0000100,0010000,0.0,0.0,-0.0,0010000
PLAIN_VQA_step_0,79,0011001,1001100,2.0,-2.0,-1.0,1001100
PLAIN_VQA_step_0,80,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_0,81,0111010,0101110,8.0,-8.0,-4.0,0101110
PLAIN_VQA_step_0,82,1000100,0010001,4.0,-4.0,-2.0,0010001
PLAIN_VQA_step_0,83,0000100,0010000,0.0,0.0,-0.0,0010000
PLAIN_VQA_step_0,84,1100100,0010011,2.0,-2.0,-1.0,0010011
PLAIN_VQA_step_0,85,1111010,0101111,6.0,-6.0,-3.0,0101111
PLAIN_VQA_step_0,86,0011101,1011100,4.0,-4.0,-2.0,1011100
PLAIN_VQA_step_0,87,1111001,1001111,0.0,0.0,-0.0,1001111
PLAIN_VQA_step_0,88,0000100,0010000,0.0,0.0,-0.0,0010000
PLAIN_VQA_step_0,89,0111101,1011110,2.0,-2.0,-1.0,1011110
PLAIN_VQA_step_0,90,0110011,1100110,2.0,-2.0,-1.0,1100110
PLAIN_VQA_step_0,91,1010100,0010101,6.0,-6.0,-3.0,0010101
PLAIN_VQA_step_0,92,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_0,93,1111000,0001111,4.0,-4.0,-2.0,0001111
PLAIN_VQA_step_0,94,0001100,0011000,0.0,0.0,-0.0,0011000
