label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_0,0,1011010,0101101,6.0,-6.0,-3.0,0101101
NDAR_VQA_step_0,1,0000100,0010000,0.0,0.0,-0.0,0010000
NDAR_VQA_step_0,2,1010011,1100101,2.0,-2.0,-1.0,1100101
NDAR_VQA_step_0,3,1011011,1101101,4.0,-4.0,-2.0,1101101
NDAR_VQA_step_0,4,0010100,0010100,-2.0,2.0,1.0,0010100
NDAR_VQA_step_0,5,1000100,0010001,0.0,0.0,-0.0,0010001
NDAR_VQA_step_0,6,1000101,1010001,6.0,-6.0,-3.0,1010001
NDAR_VQA_step_0,7,0111100,0011110,0.0,0.0,-0.0,0011110
NDAR_VQA_step_0,8,0000110,0110000,0.0,0.0,-0.0,0110000
NDAR_VQA_step_0,9,0000010,0100000,2.0,-2.0,-1.0,0100000
NDAR_VQA_step_0,10,1111101,1011111,2.0,-2.0,-1.0,1011111
NDAR_VQA_step_0,11,0100100,0010010,4.0,-4.0,-2.0,0010010
NDAR_VQA_step_0,12,1000100,0010001,0.0,0.0,-0.0,0010001
NDAR_VQA_step_0,13,0010000,0000100,0.0,0.0,-0.0,0000100
NDAR_VQA_step_0,14,1100100,0010011,2.0,-2.0,-1.0,0010011
NDAR_VQA_step_0,15,1000100,0010001,0.0,0.0,-0.0,0010001
NDAR_VQA_step_0,16,1010010,0100101,2.0,-2.0,-1.0,0100101
NDAR_VQA_step_0,17,0010100,0010100,-2.0,2.0,1.0,0010100
NDAR_VQA_step_0,18,1000011,1100001,0.0,0.0,-0.0,1100001
NDAR_VQA_step_0,19,1011000,0001101,2.0,-2.0,-1.0,0001101
NDAR_VQA_step_0,20,0010010,0100100,4.0,-4.0,-2.0,0100100
NDAR_VQA_step_0,21,1010011,1100101,2.0,-2.0,-1.0,1100101
NDAR_VQA_step_0,22,1000010,0100001,-2.0,2.0,1.0,0100001
NDAR_VQA_step_0,23,0000010,0100000,2.0,-2.0,-1.0,0100000
NDAR_VQA_step_0,24,0100011,1100010,4.0,-4.0,-2.0,1100010
NDAR_VQA_step_0,25,1100100,0010011,2.0,-2.0,-1.0,0010011
NDAR_VQA_step_0,26,1000010,0100001,-2.0,2.0,1.0,0100001
NDAR_VQA_step_0,27,0010000,0000100,0.0,0.0,-0.0,0000100
NDAR_VQA_step_0,28,1111110,0111111,2.0,-2.0,-1.0,0111111
NDAR_VQA_step_0,29,1001100,0011001,2.0,-2.0,-1.0,0011001
NDAR_VQA_step_0,30,0110100,0010110,0.0,0.0,-0.0,0010110
NDAR_VQA_step_0,31,1000011,1100001,0.0,0.0,-0.0,1100001
NDAR_VQA_step_0,32,0011010,0101100,6.0,-6.0,-3.0,0101100
NDAR_VQA_step_0,33,0110010,0100110,6.0,-6.0,-3.0,0100110
NDAR_VQA_step_0,34,0100001,1000010,6.0,-6.0,-3.0,1000010
NDAR_VQA_step_0,35,0000101,1010000,4.0,-4.0,-2.0,1010000
NDAR_VQA_step_0,36,1000000,0000001,-2.0,2.0,1.0,0000001
NDAR_VQA_step_0,37,0100100,0010010,4.0,-4.0,-2.0,0010010
NDAR_VQA_step_0,38,0100100,0010010,4.0,-4.0,-2.0,0010010
NDAR_VQA_step_0,39,0111000,0001110,2.0,-2.0,-1.0,0001110
NDAR_VQA_step_0,40,1000101,1010001,6.0,-6.0,-3.0,1010001
NDAR_VQA_step_0,41,1011100,0011101,4.0,-4.0,-2.0,0011101
NDAR_VQA_step_0,42,0110101,1010110,0.0,0.0,-0.0,1010110
NDAR_VQA_step_0,43,0000000,0000000,0.0,0.0,-0.0,0000000
NDAR_VQA_step_0,44,0010100,0010100,-2.0,2.0,1.0,0010100
NDAR_VQA_step_0,45,0000100,0010000,0.0,0.0,-0.0,0010000
NDAR_VQA_step_0,46,1100100,0010011,2.0,-2.0,-1.0,0010011
NDAR_VQA_step_0,47,0100010,0100010,6.0,-6.0,-3.0,0100010
NDAR_VQA_step_0,48,0011010,0101100,6.0,-6.0,-3.0,0101100
NDAR_VQA_step_0,49,0101001,1001010,0.0,0.0,-0.0,1001010
NDAR_VQA_step_0,50,1000110,0110001,-2.0,2.0,1.0,0110001
NDAR_VQA_step_0,51,0101110,0111010,2.0,-2.0,-1.0,0111010
NDAR_VQA_step_0,52,0001000,0001000,-2.0,2.0,1.0,0001000
NDAR_VQA_step_0,53,1101100,0011011,2.0,-2.0,-1.0,0011011
NDAR_VQA_step_0,54,1000100,0010001,0.0,0.0,-0.0,0010001
NDAR_VQA_step_0,55,0110010,0100110,6.0,-6.0,-3.0,0100110
NDAR_VQA_step_0,56,1011101,1011101,6.0,-6.0,-3.0,1011101
NDAR_VQA_step_0,57,1100100,0010011,2.0,-2.0,-1.0,0010011
NDAR_VQA_step_0,58,1101011,1101011,-2.0,2.0,1.0,1101011
NDAR_VQA_step_0,59,1010110,0110101,0.0,0.0,-0.0,0110101
NDAR_VQA_step_0,60,0010011,1100100,2.0,-2.0,-1.0,1100100
NDAR_VQA_step_0,61,0110000,0000110,4.0,-4.0,-2.0,0000110
NDAR_VQA_step_0,62,0101100,0011010,2.0,-2.0,-1.0,0011010
NDAR_VQA_step_0,63,1000010,0100001,-2.0,2.0,1.0,0100001
NDAR_VQA_step_0,64,0100110,0110010,2.0,-2.0,-1.0,0110010
NDAR_VQA_step_0,65,0100010,0100010,6.0,-6.0,-3.0,0100010
NDAR_VQA_step_0,66,0100100,0010010,4.0,-4.0,-2.0,0010010
NDAR_VQA_step_0,67,0101000,0001010,2.0,-2.0,-1.0,0001010
NDAR_VQA_step_0,68,1010010,0100101,2.0,-2.0,-1.0,0100101
NDAR_VQA_step_0,69,0101010,0101010,4.0,-4.0,-2.0,0101010
NDAR_VQA_step_0,70,1111010,0101111,4.0,-4.0,-2.0,0101111
NDAR_VQA_step_0,71,0011110,0111100,4.0,-4.0,-2.0,0111100
NDAR_VQA_step_0,72,0011100,0011100,0.0,0.0,-0.0,0011100
NDAR_VQA_step_0,73,0001100,0011000,0.0,0.0,-0.0,0011000
NDAR_VQA_step_0,74,1000000,0000001,-2.0,2.0,1.0,0000001
NDAR_VQA_step_0,75,0100100,0010010,4.0,-4.0,-2.0,0010010
NDAR_VQA_step_0,76,1100010,0100011,0.0,0.0,-0.0,0100011
NDAR_VQA_step_0,77,1100111,1110011,0.0,0.0,-0.0,1110011
NDAR_VQA_step_0,78,1100100,0010011,2.0,-2.0,-1.0,0010011
NDAR_VQA_step_0,79,1010100,0010101,0.0,0.0,-0.0,0010101
NDAR_VQA_step_0,80,1000100,0010001,0.0,0.0,-0.0,0010001
NDAR_VQA_step_0,81,1000011,1100001,0.0,0.0,-0.0,1100001
NDAR_VQA_step_0,82,1100100,0010011,2.0,-2.0,-1.0,0010011
NDAR_VQA_step_0,83,1111100,0011111,2.0,-2.0,-1.0,0011111
NDAR_VQA_step_0,84,1100100,0010011,2.0,-2.0,-1.0,0010011
NDAR_VQA_step_0,85,1100010,0100011,0.0,0.0,-0.0,0100011
NDAR_VQA_step_0,86,0000011,1100000,2.0,-2.0,-1.0,1100000
NDAR_VQA_step_0,87,0100000,0000010,6.0,-6.0,-3.0,0000010
NDAR_VQA_step_0,88,0100010,0100010,6.0,-6.0,-3.0,0100010
NDAR_VQA_step_0,89,0011100,0011100,0.0,0.0,-0.0,0011100
NDAR_VQA_step_0,90,0000110,0110000,0.0,0.0,-0.0,0110000
NDAR_VQA_step_0,91,0111100,0011110,0.0,0.0,-0.0,0011110
NDAR_VQA_step_0,92,0000100,0010000,0.0,0.0,-0.0,0010000
NDAR_VQA_step_0,93,1101110,0111011,0.0,0.0,-0.0,0111011
NDAR_VQA_step_0,94,0110010,0100110,6.0,-6.0,-3.0,0100110
NDAR_VQA_step_0,95,1111010,0101111,4.0,-4.0,-2.0,0101111
NDAR_VQA_step_0,96,0110010,0100110,6.0,-6.0,-3.0,0100110
NDAR_VQA_step_0,97,1100100,0010011,2.0,-2.0,-1.0,0010011
NDAR_VQA_step_0,98,1000000,0000001,-2.0,2.0,1.0,0000001
NDAR_VQA_step_0,99,1000010,0100001,-2.0,2.0,1.0,0100001
