method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,0000000,1011011,1011011,0000000,-6.0,-0.58,1.0,0.09666666666666666,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,strong_damping
plain_vqa,1,20,0000000,0100100,0100100,0000000,-6.0,-1.1,1.0,0.18333333333333335,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,strong_damping
plain_vqa,2,30,0000000,0100100,0100100,0000000,-6.0,-1.14,1.0,0.18999999999999997,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,strong_damping
plain_vqa,3,40,0000000,0100100,0100100,0000000,-6.0,-1.24,1.0,0.20666666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,strong_damping
plain_vqa,4,50,0000000,0100100,0100100,0000000,-6.0,-1.34,1.0,0.22333333333333336,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,strong_damping
ndar_vqa,0,10,0000000,1011011,1011011,0000000,-6.0,-0.28,1.0,0.04666666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,strong_damping
ndar_vqa,1,20,1011011,1111111,0100100,1011011,-6.0,-1.38,1.0,0.22999999999999998,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,strong_damping
ndar_vqa,2,30,0100100,1111111,1011011,0100100,-6.0,-2.4,1.0,0.39999999999999997,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,strong_damping
ndar_vqa,3,40,1011011,1111111,0100100,1011011,-6.0,-2.72,1.0,0.45333333333333337,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,strong_damping
ndar_vqa,4,50,0100100,1111111,1011011,0100100,-6.0,-2.9,1.0,0.48333333333333334,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,strong_damping
random_search,0,10,0000000,1011011,1011011,0000000,-6.0,-1.54,1.0,0.25666666666666665,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,strong_damping
random_search,1,20,0000000,1011011,1011011,0000000,-6.0,-1.44,1.0,0.24,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,strong_damping
random_search,2,30,0000000,1011011,1011011,0000000,-6.0,-1.38,1.0,0.22999999999999998,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,strong_damping
