method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,0000000,1111010,1111010,0000000,-6.0,-1.04,1.0,0.17333333333333334,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,default_noise
plain_vqa,1,20,0000000,1111010,1111010,0000000,-6.0,-2.08,1.0,0.3466666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,default_noise
plain_vqa,2,30,0000000,1111010,1111010,0000000,-6.0,-2.78,1.0,0.4633333333333333,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,default_noise
plain_vqa,3,40,0000000,1111010,1111010,0000000,-6.0,-3.04,1.0,0.5066666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,default_noise
plain_vqa,4,50,0000000,1111011,1111011,0000000,-6.0,-3.04,1.0,0.5066666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,default_noise
ndar_vqa,0,10,0000000,1111010,1111010,0000000,-6.0,-2.18,1.0,0.36333333333333334,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,default_noise
ndar_vqa,1,20,1111010,1111110,0000100,1111010,-6.0,-1.22,1.0,0.20333333333333334,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,default_noise
ndar_vqa,2,30,0000100,1111110,1111010,0000100,-6.0,-1.68,1.0,0.27999999999999997,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,default_noise
ndar_vqa,3,40,1111010,1111111,0000101,1111010,-6.0,-1.96,1.0,0.32666666666666666,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,default_noise
ndar_vqa,4,50,0000101,1111111,1111010,0000101,-6.0,-2.16,1.0,0.36000000000000004,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,default_noise
