label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_NO_OPT_step_1,0,1000000,0000001,6.0,-6.0,-3.0,0000001
NDAR_NO_OPT_step_1,1,0111101,1011110,2.0,-2.0,-1.0,1011110
NDAR_NO_OPT_step_1,2,0111001,1001110,2.0,-2.0,-1.0,1001110
NDAR_NO_OPT_step_1,3,0001001,1001000,4.0,-4.0,-2.0,1001000
NDAR_NO_OPT_step_1,4,0101000,0001010,6.0,-6.0,-3.0,0001010
NDAR_NO_OPT_step_1,5,0010101,1010100,8.0,-8.0,-4.0,1010100
NDAR_NO_OPT_step_1,6,0000000,0000000,0.0,0.0,-0.0,0000000
NDAR_NO_OPT_step_1,7,0100001,1000010,4.0,-4.0,-2.0,1000010
NDAR_NO_OPT_step_1,8,1100111,1110011,2.0,-2.0,-1.0,1110011
NDAR_NO_OPT_step_1,9,1001001,1001001,6.0,-6.0,-3.0,1001001
NDAR_NO_OPT_step_1,10,1010001,1000101,6.0,-6.0,-3.0,1000101
NDAR_NO_OPT_step_1,11,0111101,1011110,2.0,-2.0,-1.0,1011110
NDAR_NO_OPT_step_1,12,0111101,1011110,2.0,-2.0,-1.0,1011110
NDAR_NO_OPT_step_1,13,0001111,1111000,4.0,-4.0,-2.0,1111000
NDAR_NO_OPT_step_1,14,1000000,0000001,6.0,-6.0,-3.0,0000001
NDAR_NO_OPT_step_1,15,1011001,1001101,2.0,-2.0,-1.0,1001101
NDAR_NO_OPT_step_1,16,0111101,1011110,2.0,-2.0,-1.0,1011110
NDAR_NO_OPT_step_1,17,0000011,1100000,0.0,0.0,-0.0,1100000
NDAR_NO_OPT_step_1,18,0111101,1011110,2.0,-2.0,-1.0,1011110
NDAR_NO_OPT_step_1,19,0111101,1011110,2.0,-2.0,-1.0,1011110
NDAR_NO_OPT_step_1,20,1011100,0011101,2.0,-2.0,-1.0,0011101
NDAR_NO_OPT_step_1,21,0100001,1000010,4.0,-4.0,-2.0,1000010
NDAR_NO_OPT_step_1,22,0111001,1001110,2.0,-2.0,-1.0,1001110
NDAR_NO_OPT_step_1,23,0111101,1011110,2.0,-2.0,-1.0,1011110
NDAR_NO_OPT_step_1,24,0111101,1011110,2.0,-2.0,-1.0,1011110
NDAR_NO_OPT_step_1,25,1001001,1001001,6.0,-6.0,-3.0,1001001
NDAR_NO_OPT_step_1,26,1001001,1001001,6.0,-6.0,-3.0,1001001
NDAR_NO_OPT_step_1,27,1011000,0001101,4.0,-4.0,-2.0,0001101
NDAR_NO_OPT_step_1,28,0011101,1011100,4.0,-4.0,-2.0,1011100
NDAR_NO_OPT_step_1,29,0111001,1001110,2.0,-2.0,-1.0,1001110
NDAR_NO_OPT_step_1,30,0111001,1001110,2.0,-2.0,-1.0,1001110
NDAR_NO_OPT_step_1,31,1001100,0011001,2.0,-2.0,-1.0,0011001
NDAR_NO_OPT_step_1,32,0000001,1000000,4.0,-4.0,-2.0,1000000
NDAR_NO_OPT_step_1,33,0000001,1000000,4.0,-4.0,-2.0,1000000
NDAR_NO_OPT_step_1,34,0111001,1001110,2.0,-2.0,-1.0,1001110
NDAR_NO_OPT_step_1,35,1110101,1010111,2.0,-2.0,-1.0,1010111
NDAR_NO_OPT_step_1,36,0101100,0011010,2.0,-2.0,-1.0,0011010
NDAR_NO_OPT_step_1,37,0101101,1011010,4.0,-4.0,-2.0,1011010
NDAR_NO_OPT_step_1,38,1000001,1000001,8.0,-8.0,-4.0,1000001
NDAR_NO_OPT_step_1,39,0101100,0011010,2.0,-2.0,-1.0,0011010
NDAR_NO_OPT_step_1,40,1011000,0001101,4.0,-4.0,-2.0,0001101
NDAR_NO_OPT_step_1,41,0111001,1001110,2.0,-2.0,-1.0,1001110
NDAR_NO_OPT_step_1,42,0000111,1110000,4.0,-4.0,-2.0,1110000
NDAR_NO_OPT_step_1,43,1100001,1000011,6.0,-6.0,-3.0,1000011
NDAR_NO_OPT_step_1,44,1011001,1001101,2.0,-2.0,-1.0,1001101
NDAR_NO_OPT_step_1,45,0111001,1001110,2.0,-2.0,-1.0,1001110
NDAR_NO_OPT_step_1,46,0101101,1011010,4.0,-4.0,-2.0,1011010
NDAR_NO_OPT_step_1,47,1010010,0100101,4.0,-4.0,-2.0,0100101
NDAR_NO_OPT_step_1,48,0011001,1001100,2.0,-2.0,-1.0,1001100
NDAR_NO_OPT_step_1,49,1101001,1001011,6.0,-6.0,-3.0,1001011
NDAR_NO_OPT_step_1,50,1010101,1010101,8.0,-8.0,-4.0,1010101
NDAR_NO_OPT_step_1,51,0000111,1110000,4.0,-4.0,-2.0,1110000
NDAR_NO_OPT_step_1,52,0100000,0000010,2.0,-2.0,-1.0,0000010
