label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
RANDOM_SEARCH_step_2,0,0001011,1101000,2.0,-2.0,-1.0,1101000
RANDOM_SEARCH_step_2,1,1101100,0011011,2.0,-2.0,-1.0,0011011
RANDOM_SEARCH_step_2,2,0010100,0010100,4.0,-4.0,-2.0,0010100
RANDOM_SEARCH_step_2,3,1111100,0011111,0.0,0.0,-0.0,0011111
RANDOM_SEARCH_step_2,4,1110011,1100111,0.0,0.0,-0.0,1100111
RANDOM_SEARCH_step_2,5,1111100,0011111,0.0,0.0,-0.0,0011111
RANDOM_SEARCH_step_2,6,1011110,0111101,4.0,-4.0,-2.0,0111101
RANDOM_SEARCH_step_2,7,1100100,0010011,2.0,-2.0,-1.0,0010011
RANDOM_SEARCH_step_2,8,1111011,1101111,0.0,0.0,-0.0,1101111
RANDOM_SEARCH_step_2,9,1101100,0011011,2.0,-2.0,-1.0,0011011
RANDOM_SEARCH_step_2,10,0011000,0001100,2.0,-2.0,-1.0,0001100
RANDOM_SEARCH_step_2,11,1111100,0011111,0.0,0.0,-0.0,0011111
RANDOM_SEARCH_step_2,12,1011011,1101101,0.0,0.0,-0.0,1101101
RANDOM_SEARCH_step_2,13,0001100,0011000,0.0,0.0,-0.0,0011000
RANDOM_SEARCH_step_2,14,0101100,0011010,2.0,-2.0,-1.0,0011010
RANDOM_SEARCH_step_2,15,0001100,0011000,0.0,0.0,-0.0,0011000
RANDOM_SEARCH_step_2,16,0001100,0011000,0.0,0.0,-0.0,0011000
RANDOM_SEARCH_step_2,17,0001100,0011000,0.0,0.0,-0.0,0011000
RANDOM_SEARCH_step_2,18,1010001,1000101,6.0,-6.0,-3.0,1000101
RANDOM_SEARCH_step_2,19,1101011,1101011,4.0,-4.0,-2.0,1101011
RANDOM_SEARCH_step_2,20,1101011,1101011,4.0,-4.0,-2.0,1101011
RANDOM_SEARCH_step_2,21,1001100,0011001,2.0,-2.0,-1.0,0011001
RANDOM_SEARCH_step_2,22,0000011,1100000,0.0,0.0,-0.0,1100000
RANDOM_SEARCH_step_2,23,0011100,0011100,2.0,-2.0,-1.0,0011100
RANDOM_SEARCH_step_2,24,0111011,1101110,4.0,-4.0,-2.0,1101110
RANDOM_SEARCH_step_2,25,0001100,0011000,0.0,0.0,-0.0,0011000
RANDOM_SEARCH_step_2,26,0001101,1011000,4.0,-4.0,-2.0,1011000
RANDOM_SEARCH_step_2,27,1100000,0000011,6.0,-6.0,-3.0,0000011
RANDOM_SEARCH_step_2,28,0011100,0011100,2.0,-2.0,-1.0,0011100
RANDOM_SEARCH_step_2,29,1101100,0011011,2.0,-2.0,-1.0,0011011
RANDOM_SEARCH_step_2,30,0010100,0010100,4.0,-4.0,-2.0,0010100
RANDOM_SEARCH_step_2,31,0001101,1011000,4.0,-4.0,-2.0,1011000
RANDOM_SEARCH_step_2,32,1111100,0011111,0.0,0.0,-0.0,0011111
RANDOM_SEARCH_step_2,33,1111100,0011111,0.0,0.0,-0.0,0011111
RANDOM_SEARCH_step_2,34,0001011,1101000,2.0,-2.0,-1.0,1101000
RANDOM_SEARCH_step_2,35,1100100,0010011,2.0,-2.0,-1.0,0010011
RANDOM_SEARCH_step_2,36,1111100,0011111,0.0,0.0,-0.0,0011111
RANDOM_SEARCH_step_2,37,1111100,0011111,0.0,0.0,-0.0,0011111
RANDOM_SEARCH_step_2,38,0111010,0101110,8.0,-8.0,-4.0,0101110
RANDOM_SEARCH_step_2,39,1111100,0011111,0.0,0.0,-0.0,0011111
