label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_2,0,0110100,0010110,-2.0,0.0,0.2,1110010
NDAR_VQA_step_2,1,0010110,0110100,-2.0,2.0,0.2,1010000
NDAR_VQA_step_2,2,1110000,0000111,0.0,2.0,-0.0,1100011
NDAR_VQA_step_2,3,0000010,0100000,-4.0,2.0,0.4,1000100
NDAR_VQA_step_2,4,0000011,1100000,-2.0,4.0,0.2,0000100
NDAR_VQA_step_2,5,0000000,0000000,-10.0,0.0,1.0,1100100
NDAR_VQA_step_2,6,1110000,0000111,0.0,2.0,-0.0,1100011
NDAR_VQA_step_2,7,1110110,0110111,-6.0,2.0,0.6,1010011
NDAR_VQA_step_2,8,1110010,0100111,0.0,2.0,-0.0,1000011
NDAR_VQA_step_2,9,0110011,1100110,0.0,4.0,-0.0,0000010
NDAR_VQA_step_2,10,0110000,0000110,0.0,0.0,-0.0,1100010
NDAR_VQA_step_2,11,0010010,0100100,0.0,6.0,-0.0,1000000
NDAR_VQA_step_2,12,0110000,0000110,0.0,0.0,-0.0,1100010
NDAR_VQA_step_2,13,1110100,0010111,-4.0,4.0,0.4,1110011
NDAR_VQA_step_2,14,0010000,0000100,-4.0,2.0,0.4,1100000
NDAR_VQA_step_2,15,1011111,1111101,-4.0,0.0,0.4,0011001
NDAR_VQA_step_2,16,0010100,0010100,-4.0,0.0,0.4,1110000
NDAR_VQA_step_2,17,1010100,0010101,-4.0,2.0,0.4,1110001
NDAR_VQA_step_2,18,0000001,1000000,-6.0,0.0,0.6,0100100
NDAR_VQA_step_2,19,1110111,1110111,-8.0,4.0,0.8,0010011
NDAR_VQA_step_2,20,0001100,0011000,-4.0,2.0,0.4,1111100
NDAR_VQA_step_2,21,0000011,1100000,-2.0,4.0,0.2,0000100
NDAR_VQA_step_2,22,0000111,1110000,0.0,4.0,-0.0,0010100
NDAR_VQA_step_2,23,0000111,1110000,0.0,4.0,-0.0,0010100
NDAR_VQA_step_2,24,0000101,1010000,-2.0,2.0,0.2,0110100
NDAR_VQA_step_2,25,1010000,0000101,-2.0,2.0,0.2,1100001
NDAR_VQA_step_2,26,1111001,1001111,-4.0,0.0,0.4,0101011
NDAR_VQA_step_2,27,1110000,0000111,0.0,2.0,-0.0,1100011
NDAR_VQA_step_2,28,1110100,0010111,-4.0,4.0,0.4,1110011
NDAR_VQA_step_2,29,1110100,0010111,-4.0,4.0,0.4,1110011
NDAR_VQA_step_2,30,1110000,0000111,0.0,2.0,-0.0,1100011
NDAR_VQA_step_2,31,1110000,0000111,0.0,2.0,-0.0,1100011
NDAR_VQA_step_2,32,0100100,0010010,-4.0,2.0,0.4,1110110
NDAR_VQA_step_2,33,0011001,1001100,-4.0,4.0,0.4,0101000
NDAR_VQA_step_2,34,1110011,1100111,-4.0,2.0,0.4,0000011
NDAR_VQA_step_2,35,1100000,0000011,-2.0,4.0,0.2,1100111
NDAR_VQA_step_2,36,0110001,1000110,0.0,0.0,-0.0,0100010
NDAR_VQA_step_2,37,1110000,0000111,0.0,2.0,-0.0,1100011
NDAR_VQA_step_2,38,0000000,0000000,-10.0,0.0,1.0,1100100
NDAR_VQA_step_2,39,0011100,0011100,-2.0,0.0,0.2,1111000
NDAR_VQA_step_2,40,0010000,0000100,-4.0,2.0,0.4,1100000
NDAR_VQA_step_2,41,0000111,1110000,0.0,4.0,-0.0,0010100
NDAR_VQA_step_2,42,0000100,0010000,-8.0,0.0,0.8,1110100
NDAR_VQA_step_2,43,0000111,1110000,0.0,4.0,-0.0,0010100
NDAR_VQA_step_2,44,0100100,0010010,-4.0,2.0,0.4,1110110
NDAR_VQA_step_2,45,0000100,0010000,-8.0,0.0,0.8,1110100
NDAR_VQA_step_2,46,0010011,1100100,0.0,10.0,-0.0,0000000
NDAR_VQA_step_2,47,1110010,0100111,0.0,2.0,-0.0,1000011
NDAR_VQA_step_2,48,0011001,1001100,-4.0,4.0,0.4,0101000
NDAR_VQA_step_2,49,1110101,1010111,-4.0,4.0,0.4,0110011
NDAR_VQA_step_2,50,1111000,0001111,0.0,4.0,-0.0,1101011
NDAR_VQA_step_2,51,0001000,0001000,-8.0,4.0,0.8,1101100
NDAR_VQA_step_2,52,1100011,1100011,-2.0,0.0,0.2,0000111
NDAR_VQA_step_2,53,0000011,1100000,-2.0,4.0,0.2,0000100
NDAR_VQA_step_2,54,1110100,0010111,-4.0,4.0,0.4,1110011
