label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_4,0,0010011,1100100,-10.0,10.0,1.0,1100100
PLAIN_VQA_step_4,1,1110100,0010111,-4.0,4.0,0.4,0010111
PLAIN_VQA_step_4,2,0101100,0011010,-6.0,6.0,0.6,0011010
PLAIN_VQA_step_4,3,1101010,0101011,-4.0,4.0,0.4,0101011
PLAIN_VQA_step_4,4,1101110,0111011,-4.0,4.0,0.4,0111011
PLAIN_VQA_step_4,5,0001010,0101000,-4.0,4.0,0.4,0101000
PLAIN_VQA_step_4,6,0001000,0001000,-4.0,4.0,0.4,0001000
PLAIN_VQA_step_4,7,1001000,0001001,-4.0,4.0,0.4,0001001
PLAIN_VQA_step_4,8,1111100,0011111,-4.0,4.0,0.4,0011111
PLAIN_VQA_step_4,9,1110100,0010111,-4.0,4.0,0.4,0010111
PLAIN_VQA_step_4,10,1101010,0101011,-4.0,4.0,0.4,0101011
PLAIN_VQA_step_4,11,1110011,1100111,-2.0,2.0,0.2,1100111
PLAIN_VQA_step_4,12,0011100,0011100,0.0,0.0,-0.0,0011100
PLAIN_VQA_step_4,13,0001011,1101000,-4.0,4.0,0.4,1101000
PLAIN_VQA_step_4,14,1010100,0010101,-2.0,2.0,0.2,0010101
PLAIN_VQA_step_4,15,1110100,0010111,-4.0,4.0,0.4,0010111
PLAIN_VQA_step_4,16,0010100,0010100,0.0,0.0,-0.0,0010100
PLAIN_VQA_step_4,17,0010100,0010100,0.0,0.0,-0.0,0010100
PLAIN_VQA_step_4,18,0101110,0111010,-2.0,2.0,0.2,0111010
PLAIN_VQA_step_4,19,0110100,0010110,0.0,0.0,-0.0,0010110
PLAIN_VQA_step_4,20,0010101,1010100,-4.0,4.0,0.4,1010100
PLAIN_VQA_step_4,21,0001011,1101000,-4.0,4.0,0.4,1101000
PLAIN_VQA_step_4,22,1001100,0011001,-4.0,4.0,0.4,0011001
