method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,0000000,0010110,0010110,0000000,-8.0,-4.74,1.0,0.5925,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,1.0,3,default_noise
plain_vqa,1,20,0000000,1101000,1101000,0000000,-8.0,-5.52,1.0,0.69,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,1.0,3,default_noise
plain_vqa,2,30,0000000,1101000,1101000,0000000,-8.0,-5.62,1.0,0.7025,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,1.0,3,default_noise
plain_vqa,3,40,0000000,1101000,1101000,0000000,-8.0,-6.06,1.0,0.7575,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,1.0,3,default_noise
plain_vqa,4,50,0000000,1101001,1101001,0000000,-8.0,-6.22,1.0,0.7775,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,1.0,3,default_noise
ndar_vqa,0,10,0000000,1101000,1101000,0000000,-8.0,-3.14,1.0,0.3925,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-8.0,1.0,3,default_noise
ndar_vqa,1,20,1101000,0000000,1101000,1101000,-8.0,-3.04,1.0,0.38,1.0,-8.0,1.0,8.0,-8.0,1.0,8.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-8.0,1.0,3,default_noise
ndar_vqa,2,30,1101000,0000001,1101001,1101000,-8.0,-3.42,1.0,0.4275,1.0,-8.0,1.0,8.0,-8.0,1.0,8.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-8.0,1.0,3,default_noise
ndar_vqa,3,40,1101001,1111111,0010110,1101001,-8.0,-3.84,1.0,0.48,1.0,-8.0,1.0,8.0,-8.0,1.0,8.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-8.0,1.0,3,default_noise
ndar_vqa,4,50,0010110,1111110,1101000,0010110,-8.0,-3.6,1.0,0.45,1.0,-8.0,1.0,8.0,-8.0,1.0,8.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-8.0,1.0,3,default_noise
random_search,0,10,0000000,0010110,0010110,0000000,-8.0,-3.0,1.0,0.375,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-8.0,1.0,3,default_noise
random_search,1,20,0000000,0010110,0010110,0000000,-8.0,-2.96,1.0,0.37,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-8.0,1.0,3,default_noise
random_search,2,30,0000000,0010111,0010111,0000000,-8.0,-3.56,1.0,0.445,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-8.0,1.0,3,default_noise
random_search,3,40,0000000,0010111,0010111,0000000,-8.0,-3.58,1.0,0.4475,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-8.0,1.0,3,default_noise
random_search,4,50,0000000,0010111,0010111,0000000,-8.0,-3.62,1.0,0.4525,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-8.0,1.0,3,default_noise
ndar_no_opt,0,10,0000000,1101000,1101000,0000000,-8.0,-2.68,1.0,0.335,-0.0,-8.0,1.0,8.0,0.0,-0.0,0.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-8.0,1.0,3,default_noise
ndar_no_opt,1,20,1101000,1111111,0010111,1101000,-8.0,-2.14,1.0,0.2675,1.0,-8.0,1.0,8.0,-8.0,1.0,8.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-8.0,1.0,3,default_noise
ndar_no_opt,2,30,0010111,1111111,1101000,0010111,-8.0,-2.16,1.0,0.27,1.0,-8.0,1.0,8.0,-8.0,1.0,8.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-8.0,1.0,3,default_noise
ndar_no_opt,3,40,1101000,1111111,0010111,1101000,-8.0,-2.14,1.0,0.2675,1.0,-8.0,1.0,8.0,-8.0,1.0,8.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-8.0,1.0,3,default_noise
ndar_no_opt,4,50,0010111,1111111,1101000,0010111,-8.0,-2.08,1.0,0.26,1.0,-8.0,1.0,8.0,-8.0,1.0,8.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-8.0,1.0,3,default_noise
