method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,0000000,0100100,0100100,0000000,-6.0,-0.62,1.0,0.10333333333333333,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,moderate_damping
plain_vqa,1,20,0000000,0100100,0100100,0000000,-6.0,-0.64,1.0,0.10666666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,moderate_damping
plain_vqa,2,30,0000000,0100100,0100100,0000000,-6.0,-1.54,1.0,0.25666666666666665,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,moderate_damping
plain_vqa,3,40,0000000,0100100,0100100,0000000,-6.0,-1.36,1.0,0.22666666666666668,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,moderate_damping
plain_vqa,4,50,0000000,0100100,0100100,0000000,-6.0,-1.58,1.0,0.26333333333333336,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,moderate_damping
ndar_vqa,0,10,0000000,1011011,1011011,0000000,-6.0,-0.76,1.0,0.12666666666666668,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,moderate_damping
ndar_vqa,1,20,1011011,0100001,1111010,1011011,-6.0,-0.36,1.0,0.06,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,moderate_damping
ndar_vqa,2,30,1111010,1111110,0000100,1111010,-6.0,-2.04,1.0,0.34,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,moderate_damping
ndar_vqa,3,40,0000100,1011111,1011011,0000100,-6.0,-2.16,1.0,0.36000000000000004,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,moderate_damping
ndar_vqa,4,50,1011011,1111111,0100100,1011011,-6.0,-0.64,1.0,0.10666666666666667,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,moderate_damping
random_search,0,10,0000000,1011011,1011011,0000000,-6.0,-1.84,1.0,0.3066666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,moderate_damping
random_search,1,20,0000000,1011011,1011011,0000000,-6.0,-1.74,1.0,0.29,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,moderate_damping
random_search,2,30,0000000,1011011,1011011,0000000,-6.0,-1.68,1.0,0.27999999999999997,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,moderate_damping
random_search,3,40,0000000,1011011,1011011,0000000,-6.0,-1.6,1.0,0.26666666666666666,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,moderate_damping
random_search,4,50,0000000,1011011,1011011,0000000,-6.0,-1.62,1.0,0.27,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,moderate_damping
ndar_no_opt,0,10,0000000,0000101,0000101,0000000,-6.0,-0.34,1.0,0.05666666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-6.0,1.0,0,moderate_damping
ndar_no_opt,1,20,0000101,1011110,1011011,0000101,-6.0,-1.06,1.0,0.17666666666666667,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-6.0,1.0,0,moderate_damping
ndar_no_opt,2,30,1011011,1011111,0000100,1011011,-6.0,0.28,1.0,-0.04666666666666667,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-6.0,1.0,0,moderate_damping
ndar_no_opt,3,40,0000100,1011111,1011011,0000100,-6.0,-0.54,1.0,0.09000000000000001,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-6.0,1.0,0,moderate_damping
ndar_no_opt,4,50,1011011,1011111,0000100,1011011,-6.0,0.16,1.0,-0.02666666666666667,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-6.0,1.0,0,moderate_damping
