label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_4,0,0110010,0100110,4.0,-4.0,-2.0,0100110
PLAIN_VQA_step_4,1,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_4,2,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_4,3,0100011,1100010,2.0,-2.0,-1.0,1100010
PLAIN_VQA_step_4,4,0000010,0100000,-2.0,2.0,1.0,0100000
PLAIN_VQA_step_4,5,0100010,0100010,2.0,-2.0,-1.0,0100010
PLAIN_VQA_step_4,6,0000010,0100000,-2.0,2.0,1.0,0100000
PLAIN_VQA_step_4,7,0100010,0100010,2.0,-2.0,-1.0,0100010
PLAIN_VQA_step_4,8,0111100,0011110,2.0,-2.0,-1.0,0011110
PLAIN_VQA_step_4,9,0100110,0110010,2.0,-2.0,-1.0,0110010
PLAIN_VQA_step_4,10,0100001,1000010,4.0,-4.0,-2.0,1000010
PLAIN_VQA_step_4,11,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_4,12,0100000,0000010,2.0,-2.0,-1.0,0000010
PLAIN_VQA_step_4,13,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_4,14,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_4,15,0110000,0000110,2.0,-2.0,-1.0,0000110
PLAIN_VQA_step_4,16,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_4,17,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_4,18,0100110,0110010,2.0,-2.0,-1.0,0110010
PLAIN_VQA_step_4,19,0110010,0100110,4.0,-4.0,-2.0,0100110
PLAIN_VQA_step_4,20,1100111,1110011,2.0,-2.0,-1.0,1110011
PLAIN_VQA_step_4,21,0100100,0010010,0.0,0.0,-0.0,0010010
PLAIN_VQA_step_4,22,0100001,1000010,4.0,-4.0,-2.0,1000010
