label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_4,0,1101000,0001011,-2.0,2.0,0.25,1100011
NDAR_VQA_step_4,1,1101110,0111011,-2.0,4.0,0.25,1010011
NDAR_VQA_step_4,2,0010111,1110100,-2.0,2.0,0.25,0011100
NDAR_VQA_step_4,3,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_4,4,1101000,0001011,-2.0,2.0,0.25,1100011
NDAR_VQA_step_4,5,1101110,0111011,-2.0,4.0,0.25,1010011
NDAR_VQA_step_4,6,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_4,7,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_4,8,1101000,0001011,-2.0,2.0,0.25,1100011
NDAR_VQA_step_4,9,1101101,1011011,-4.0,2.0,0.5,0110011
NDAR_VQA_step_4,10,0001011,1101000,0.0,8.0,-0.0,0000000
NDAR_VQA_step_4,11,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_4,12,1001000,0001001,-6.0,0.0,0.75,1100001
NDAR_VQA_step_4,13,0110000,0000110,-4.0,4.0,0.5,1101110
NDAR_VQA_step_4,14,0001010,0101000,-2.0,2.0,0.25,1000000
NDAR_VQA_step_4,15,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_4,16,1101111,1111011,-6.0,4.0,0.75,0010011
NDAR_VQA_step_4,17,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_4,18,1101001,1001011,-2.0,2.0,0.25,0100011
NDAR_VQA_step_4,19,0010111,1110100,-2.0,2.0,0.25,0011100
NDAR_VQA_step_4,20,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_4,21,1110100,0010111,0.0,8.0,-0.0,1111111
NDAR_VQA_step_4,22,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_4,23,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_4,24,0001110,0111000,-4.0,2.0,0.5,1010000
NDAR_VQA_step_4,25,0001111,1111000,-4.0,6.0,0.5,0010000
NDAR_VQA_step_4,26,1101111,1111011,-6.0,4.0,0.75,0010011
NDAR_VQA_step_4,27,1101001,1001011,-2.0,2.0,0.25,0100011
NDAR_VQA_step_4,28,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_4,29,1001111,1111001,-4.0,4.0,0.5,0010001
NDAR_VQA_step_4,30,1001000,0001001,-6.0,0.0,0.75,1100001
NDAR_VQA_step_4,31,0101000,0001010,2.0,0.0,-0.25,1100010
NDAR_VQA_step_4,32,0010000,0000100,-6.0,4.0,0.75,1101100
NDAR_VQA_step_4,33,0101000,0001010,2.0,0.0,-0.25,1100010
NDAR_VQA_step_4,34,1100111,1110011,-4.0,2.0,0.5,0011011
NDAR_VQA_step_4,35,1001111,1111001,-4.0,4.0,0.5,0010001
NDAR_VQA_step_4,36,1101000,0001011,-2.0,2.0,0.25,1100011
NDAR_VQA_step_4,37,0001110,0111000,-4.0,2.0,0.5,1010000
NDAR_VQA_step_4,38,1101111,1111011,-6.0,4.0,0.75,0010011
NDAR_VQA_step_4,39,1011111,1111101,-4.0,-2.0,0.5,0010101
NDAR_VQA_step_4,40,1100001,1000011,-4.0,0.0,0.5,0101011
NDAR_VQA_step_4,41,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_4,42,1101111,1111011,-6.0,4.0,0.75,0010011
NDAR_VQA_step_4,43,1101111,1111011,-6.0,4.0,0.75,0010011
NDAR_VQA_step_4,44,0001010,0101000,-2.0,2.0,0.25,1000000
NDAR_VQA_step_4,45,0001010,0101000,-2.0,2.0,0.25,1000000
NDAR_VQA_step_4,46,0101000,0001010,2.0,0.0,-0.25,1100010
NDAR_VQA_step_4,47,0010100,0010100,-2.0,6.0,0.25,1111100
NDAR_VQA_step_4,48,0001110,0111000,-4.0,2.0,0.5,1010000
NDAR_VQA_step_4,49,0001000,0001000,-4.0,0.0,0.5,1100000
NDAR_VQA_step_4,50,1101111,1111011,-6.0,4.0,0.75,0010011
NDAR_VQA_step_4,51,1101001,1001011,-2.0,2.0,0.25,0100011
NDAR_VQA_step_4,52,0101000,0001010,2.0,0.0,-0.25,1100010
NDAR_VQA_step_4,53,1111000,0001111,-2.0,4.0,0.25,1100111
