label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_NO_OPT_step_4,0,0000100,0010000,0.0,0.0,-0.0,0000100
NDAR_NO_OPT_step_4,1,0010100,0010100,0.0,2.0,-0.0,0000000
NDAR_NO_OPT_step_4,2,0011000,0001100,0.0,0.0,-0.0,0011000
NDAR_NO_OPT_step_4,3,0000111,1110000,2.0,-2.0,-1.0,1100100
NDAR_NO_OPT_step_4,4,0100000,0000010,0.0,-6.0,-0.0,0010110
NDAR_NO_OPT_step_4,5,1010000,0000101,0.0,0.0,-0.0,0010001
NDAR_NO_OPT_step_4,6,0000000,0000000,-2.0,0.0,1.0,0010100
NDAR_NO_OPT_step_4,7,1000100,0010001,0.0,0.0,-0.0,0000101
NDAR_NO_OPT_step_4,8,1110010,0100111,-2.0,-2.0,1.0,0110011
NDAR_NO_OPT_step_4,9,0101000,0001010,0.0,-2.0,-0.0,0011110
NDAR_NO_OPT_step_4,10,1001000,0001001,4.0,2.0,-2.0,0011101
NDAR_NO_OPT_step_4,11,0000000,0000000,-2.0,0.0,1.0,0010100
NDAR_NO_OPT_step_4,12,1111110,0111111,0.0,-2.0,-0.0,0101011
NDAR_NO_OPT_step_4,13,0110000,0000110,4.0,-4.0,-2.0,0010010
NDAR_NO_OPT_step_4,14,0011000,0001100,0.0,0.0,-0.0,0011000
NDAR_NO_OPT_step_4,15,1100001,1000011,2.0,-4.0,-1.0,1010111
NDAR_NO_OPT_step_4,16,1110100,0010111,2.0,0.0,-1.0,0000011
NDAR_NO_OPT_step_4,17,0110100,0010110,6.0,0.0,-3.0,0000010
NDAR_NO_OPT_step_4,18,0000100,0010000,0.0,0.0,-0.0,0000100
NDAR_NO_OPT_step_4,19,1110100,0010111,2.0,0.0,-1.0,0000011
NDAR_NO_OPT_step_4,20,0011000,0001100,0.0,0.0,-0.0,0011000
NDAR_NO_OPT_step_4,21,1001000,0001001,4.0,2.0,-2.0,0011101
NDAR_NO_OPT_step_4,22,1101000,0001011,2.0,0.0,-1.0,0011111
NDAR_NO_OPT_step_4,23,1111000,0001111,2.0,-2.0,-1.0,0011011
NDAR_NO_OPT_step_4,24,0101000,0001010,0.0,-2.0,-0.0,0011110
NDAR_NO_OPT_step_4,25,1110000,0000111,2.0,-2.0,-1.0,0010011
NDAR_NO_OPT_step_4,26,0011111,1111100,0.0,-2.0,-0.0,1101000
NDAR_NO_OPT_step_4,27,0000000,0000000,-2.0,0.0,1.0,0010100
NDAR_NO_OPT_step_4,28,1101000,0001011,2.0,0.0,-1.0,0011111
NDAR_NO_OPT_step_4,29,1101000,0001011,2.0,0.0,-1.0,0011111
NDAR_NO_OPT_step_4,30,1110011,1100111,0.0,0.0,-0.0,1110011
NDAR_NO_OPT_step_4,31,0001010,0101000,4.0,-2.0,-2.0,0111100
NDAR_NO_OPT_step_4,32,1010100,0010101,-2.0,0.0,1.0,0000001
NDAR_NO_OPT_step_4,33,1110000,0000111,2.0,-2.0,-1.0,0010011
NDAR_NO_OPT_step_4,34,0001000,0001000,0.0,2.0,-0.0,0011100
NDAR_NO_OPT_step_4,35,0110100,0010110,6.0,0.0,-3.0,0000010
NDAR_NO_OPT_step_4,36,0101000,0001010,0.0,-2.0,-0.0,0011110
NDAR_NO_OPT_step_4,37,1000010,0100001,0.0,2.0,-0.0,0110101
NDAR_NO_OPT_step_4,38,1110010,0100111,-2.0,-2.0,1.0,0110011
NDAR_NO_OPT_step_4,39,1100110,0110011,2.0,2.0,-1.0,0100111
NDAR_NO_OPT_step_4,40,1001001,1001001,6.0,0.0,-3.0,1011101
NDAR_NO_OPT_step_4,41,1101000,0001011,2.0,0.0,-1.0,0011111
NDAR_NO_OPT_step_4,42,1110110,0110111,0.0,2.0,-0.0,0100011
NDAR_NO_OPT_step_4,43,1100000,0000011,0.0,-2.0,-0.0,0010111
NDAR_NO_OPT_step_4,44,0111110,0111110,4.0,-2.0,-2.0,0101010
NDAR_NO_OPT_step_4,45,1110110,0110111,0.0,2.0,-0.0,0100011
NDAR_NO_OPT_step_4,46,1110000,0000111,2.0,-2.0,-1.0,0010011
NDAR_NO_OPT_step_4,47,0100001,1000010,0.0,-6.0,-0.0,1010110
NDAR_NO_OPT_step_4,48,1101110,0111011,4.0,0.0,-2.0,0101111
NDAR_NO_OPT_step_4,49,0011010,0101100,2.0,-6.0,-1.0,0111000
NDAR_NO_OPT_step_4,50,1110100,0010111,2.0,0.0,-1.0,0000011
NDAR_NO_OPT_step_4,51,0000100,0010000,0.0,0.0,-0.0,0000100
NDAR_NO_OPT_step_4,52,0101000,0001010,0.0,-2.0,-0.0,0011110
NDAR_NO_OPT_step_4,53,1110100,0010111,2.0,0.0,-1.0,0000011
NDAR_NO_OPT_step_4,54,0000100,0010000,0.0,0.0,-0.0,0000100
NDAR_NO_OPT_step_4,55,0000100,0010000,0.0,0.0,-0.0,0000100
NDAR_NO_OPT_step_4,56,0010010,0100100,0.0,-4.0,-0.0,0110000
NDAR_NO_OPT_step_4,57,1010100,0010101,-2.0,0.0,1.0,0000001
NDAR_NO_OPT_step_4,58,0011000,0001100,0.0,0.0,-0.0,0011000
NDAR_NO_OPT_step_4,59,0010111,1110100,2.0,0.0,-1.0,1100000
NDAR_NO_OPT_step_4,60,0111001,1001110,2.0,2.0,-1.0,1011010
NDAR_NO_OPT_step_4,61,1101000,0001011,2.0,0.0,-1.0,0011111
NDAR_NO_OPT_step_4,62,0000011,1100000,0.0,-2.0,-0.0,1110100
NDAR_NO_OPT_step_4,63,1001000,0001001,4.0,2.0,-2.0,0011101
NDAR_NO_OPT_step_4,64,1101000,0001011,2.0,0.0,-1.0,0011111
NDAR_NO_OPT_step_4,65,1110110,0110111,0.0,2.0,-0.0,0100011
NDAR_NO_OPT_step_4,66,0100100,0010010,4.0,-4.0,-2.0,0000110
NDAR_NO_OPT_step_4,67,1110100,0010111,2.0,0.0,-1.0,0000011
NDAR_NO_OPT_step_4,68,0000110,0110000,4.0,0.0,-2.0,0100100
NDAR_NO_OPT_step_4,69,0000110,0110000,4.0,0.0,-2.0,0100100
NDAR_NO_OPT_step_4,70,0000000,0000000,-2.0,0.0,1.0,0010100
NDAR_NO_OPT_step_4,71,0001000,0001000,0.0,2.0,-0.0,0011100
NDAR_NO_OPT_step_4,72,0011110,0111100,2.0,-4.0,-1.0,0101000
NDAR_NO_OPT_step_4,73,1110000,0000111,2.0,-2.0,-1.0,0010011
NDAR_NO_OPT_step_4,74,1110000,0000111,2.0,-2.0,-1.0,0010011
NDAR_NO_OPT_step_4,75,1110000,0000111,2.0,-2.0,-1.0,0010011
NDAR_NO_OPT_step_4,76,0101000,0001010,0.0,-2.0,-0.0,0011110
NDAR_NO_OPT_step_4,77,1110000,0000111,2.0,-2.0,-1.0,0010011
NDAR_NO_OPT_step_4,78,1101010,0101011,2.0,0.0,-1.0,0111111
NDAR_NO_OPT_step_4,79,1110100,0010111,2.0,0.0,-1.0,0000011
NDAR_NO_OPT_step_4,80,1111111,1111111,-2.0,0.0,1.0,1101011
NDAR_NO_OPT_step_4,81,0010100,0010100,0.0,2.0,-0.0,0000000
NDAR_NO_OPT_step_4,82,1100000,0000011,0.0,-2.0,-0.0,0010111
NDAR_NO_OPT_step_4,83,1001000,0001001,4.0,2.0,-2.0,0011101
NDAR_NO_OPT_step_4,84,0010000,0000100,0.0,0.0,-0.0,0010000
NDAR_NO_OPT_step_4,85,0011111,1111100,0.0,-2.0,-0.0,1101000
