label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
RANDOM_SEARCH_step_1,0,1101111,1111011,0.0,0.0,-0.0,1111011
RANDOM_SEARCH_step_1,1,0010101,1010100,0.0,0.0,-0.0,1010100
RANDOM_SEARCH_step_1,2,0101101,1011010,2.0,-2.0,-1.0,1011010
RANDOM_SEARCH_step_1,3,0001101,1011000,2.0,-2.0,-1.0,1011000
RANDOM_SEARCH_step_1,4,1110011,1100111,0.0,0.0,-0.0,1100111
RANDOM_SEARCH_step_1,5,0001001,1001000,-2.0,2.0,1.0,1001000
RANDOM_SEARCH_step_1,6,1110001,1000111,2.0,-2.0,-1.0,1000111
RANDOM_SEARCH_step_1,7,0001110,0111000,2.0,-2.0,-1.0,0111000
RANDOM_SEARCH_step_1,8,0010011,1100100,2.0,-2.0,-1.0,1100100
RANDOM_SEARCH_step_1,9,0001101,1011000,2.0,-2.0,-1.0,1011000
RANDOM_SEARCH_step_1,10,0010101,1010100,0.0,0.0,-0.0,1010100
RANDOM_SEARCH_step_1,11,0010101,1010100,0.0,0.0,-0.0,1010100
RANDOM_SEARCH_step_1,12,0001101,1011000,2.0,-2.0,-1.0,1011000
RANDOM_SEARCH_step_1,13,0001101,1011000,2.0,-2.0,-1.0,1011000
RANDOM_SEARCH_step_1,14,0001101,1011000,2.0,-2.0,-1.0,1011000
RANDOM_SEARCH_step_1,15,0110001,1000110,2.0,-2.0,-1.0,1000110
RANDOM_SEARCH_step_1,16,0101001,1001010,0.0,0.0,-0.0,1001010
RANDOM_SEARCH_step_1,17,0011101,1011100,0.0,0.0,-0.0,1011100
RANDOM_SEARCH_step_1,18,1110111,1110111,-2.0,2.0,1.0,1110111
RANDOM_SEARCH_step_1,19,1110111,1110111,-2.0,2.0,1.0,1110111
RANDOM_SEARCH_step_1,20,1010111,1110101,2.0,-2.0,-1.0,1110101
RANDOM_SEARCH_step_1,21,0101101,1011010,2.0,-2.0,-1.0,1011010
RANDOM_SEARCH_step_1,22,1001011,1101001,0.0,0.0,-0.0,1101001
RANDOM_SEARCH_step_1,23,0101101,1011010,2.0,-2.0,-1.0,1011010
RANDOM_SEARCH_step_1,24,0001101,1011000,2.0,-2.0,-1.0,1011000
RANDOM_SEARCH_step_1,25,0010001,1000100,0.0,0.0,-0.0,1000100
RANDOM_SEARCH_step_1,26,0101101,1011010,2.0,-2.0,-1.0,1011010
RANDOM_SEARCH_step_1,27,0010000,0000100,0.0,0.0,-0.0,0000100
RANDOM_SEARCH_step_1,28,1110111,1110111,-2.0,2.0,1.0,1110111
RANDOM_SEARCH_step_1,29,0010001,1000100,0.0,0.0,-0.0,1000100
RANDOM_SEARCH_step_1,30,0001011,1101000,0.0,0.0,-0.0,1101000
RANDOM_SEARCH_step_1,31,0001101,1011000,2.0,-2.0,-1.0,1011000
RANDOM_SEARCH_step_1,32,0000101,1010000,4.0,-4.0,-2.0,1010000
RANDOM_SEARCH_step_1,33,0001111,1111000,2.0,-2.0,-1.0,1111000
RANDOM_SEARCH_step_1,34,0001101,1011000,2.0,-2.0,-1.0,1011000
RANDOM_SEARCH_step_1,35,0110011,1100110,2.0,-2.0,-1.0,1100110
