method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,0000000,1011011,1011011,0000000,-6.0,-0.88,1.0,0.14666666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,noiseless
plain_vqa,1,20,0000000,0100110,0100110,0000000,-4.0,-1.18,0.6666666666666666,0.19666666666666666,-0.0,-4.0,0.6666666666666666,4.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,noiseless
plain_vqa,2,30,0000000,0100100,0100100,0000000,-6.0,-2.22,1.0,0.37000000000000005,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,noiseless
plain_vqa,3,40,0000000,0100100,0100100,0000000,-6.0,-2.38,1.0,0.39666666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,noiseless
plain_vqa,4,50,0000000,0100100,0100100,0000000,-6.0,-2.62,1.0,0.4366666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,1.0,0,noiseless
ndar_vqa,0,10,0000000,1011011,1011011,0000000,-6.0,-1.6,1.0,0.26666666666666666,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,noiseless
ndar_vqa,1,20,1011011,1011110,0000101,1011011,-6.0,-0.98,1.0,0.16333333333333333,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,noiseless
ndar_vqa,2,30,0000101,0000001,0000100,0000101,-6.0,-0.04,1.0,0.006666666666666667,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,noiseless
ndar_vqa,3,40,0000100,0000001,0000101,0000100,-6.0,-2.04,1.0,0.34,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,noiseless
ndar_vqa,4,50,0000101,0000001,0000100,0000101,-6.0,-1.94,1.0,0.3233333333333333,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-6.0,1.0,0,noiseless
random_search,0,10,0000000,1011011,1011011,0000000,-6.0,-1.64,1.0,0.2733333333333333,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,noiseless
random_search,1,20,0000000,1011011,1011011,0000000,-6.0,-1.66,1.0,0.27666666666666667,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,noiseless
random_search,2,30,0000000,1011011,1011011,0000000,-6.0,-2.12,1.0,0.35333333333333333,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,noiseless
random_search,3,40,0000000,1011011,1011011,0000000,-6.0,-1.8,1.0,0.3,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,noiseless
random_search,4,50,0000000,1011011,1011011,0000000,-6.0,-1.82,1.0,0.30333333333333334,-0.0,-6.0,1.0,6.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-6.0,1.0,0,noiseless
ndar_no_opt,0,10,0000000,1011001,1011001,0000000,-4.0,-0.48,0.6666666666666666,0.08,-0.0,-4.0,0.6666666666666666,4.0,0.0,-0.0,0.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-4.0,0.6666666666666666,0,noiseless
ndar_no_opt,1,20,1011001,1011101,0000100,1011001,-6.0,-0.08,1.0,0.013333333333333334,0.6666666666666666,-6.0,1.0,6.0,-4.0,0.6666666666666666,4.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-6.0,1.0,0,noiseless
ndar_no_opt,2,30,0000100,0100000,0100100,0000100,-6.0,-1.5,1.0,0.25,1.0,-6.0,1.0,6.0,-6.0,1.0,6.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-6.0,1.0,0,noiseless
ndar_no_opt,3,40,0100100,1100000,1000100,0100100,-4.0,0.52,0.6666666666666666,-0.08666666666666667,1.0,-4.0,0.6666666666666666,4.0,-6.0,1.0,6.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-6.0,1.0,0,noiseless
ndar_no_opt,4,50,1000100,1100000,0100100,1000100,-6.0,-2.06,1.0,0.3433333333333333,0.6666666666666666,-6.0,1.0,6.0,-4.0,0.6666666666666666,4.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-6.0,1.0,0,noiseless
