label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_NO_OPT_step_3,0,0000101,1010000,2.0,0.0,-0.3333333333333333,1110100
NDAR_NO_OPT_step_3,1,0011100,0011100,2.0,-2.0,-0.3333333333333333,0111000
NDAR_NO_OPT_step_3,2,1000101,1010001,4.0,2.0,-0.6666666666666666,1110101
NDAR_NO_OPT_step_3,3,1000101,1010001,4.0,2.0,-0.6666666666666666,1110101
NDAR_NO_OPT_step_3,4,0010011,1100100,0.0,2.0,-0.0,1000000
NDAR_NO_OPT_step_3,5,0000100,0010000,0.0,-2.0,-0.0,0110100
NDAR_NO_OPT_step_3,6,0110101,1010110,-2.0,2.0,0.3333333333333333,1110010
NDAR_NO_OPT_step_3,7,0000101,1010000,2.0,0.0,-0.3333333333333333,1110100
NDAR_NO_OPT_step_3,8,0011101,1011100,0.0,0.0,-0.0,1111000
NDAR_NO_OPT_step_3,9,0000101,1010000,2.0,0.0,-0.3333333333333333,1110100
NDAR_NO_OPT_step_3,10,0000101,1010000,2.0,0.0,-0.3333333333333333,1110100
NDAR_NO_OPT_step_3,11,0000011,1100000,-4.0,0.0,0.6666666666666666,1000100
NDAR_NO_OPT_step_3,12,1000011,1100001,-2.0,-2.0,0.3333333333333333,1000101
NDAR_NO_OPT_step_3,13,1000101,1010001,4.0,2.0,-0.6666666666666666,1110101
NDAR_NO_OPT_step_3,14,0011101,1011100,0.0,0.0,-0.0,1111000
NDAR_NO_OPT_step_3,15,1011101,1011101,-2.0,2.0,0.3333333333333333,1111001
NDAR_NO_OPT_step_3,16,0000001,1000000,-2.0,0.0,0.3333333333333333,1100100
NDAR_NO_OPT_step_3,17,0101011,1101010,0.0,4.0,-0.0,1001110
NDAR_NO_OPT_step_3,18,0010011,1100100,0.0,2.0,-0.0,1000000
NDAR_NO_OPT_step_3,19,0000011,1100000,-4.0,0.0,0.6666666666666666,1000100
NDAR_NO_OPT_step_3,20,0000011,1100000,-4.0,0.0,0.6666666666666666,1000100
NDAR_NO_OPT_step_3,21,1110101,1010111,0.0,0.0,-0.0,1110011
NDAR_NO_OPT_step_3,22,0000101,1010000,2.0,0.0,-0.3333333333333333,1110100
NDAR_NO_OPT_step_3,23,0000101,1010000,2.0,0.0,-0.3333333333333333,1110100
NDAR_NO_OPT_step_3,24,1000011,1100001,-2.0,-2.0,0.3333333333333333,1000101
NDAR_NO_OPT_step_3,25,0000011,1100000,-4.0,0.0,0.6666666666666666,1000100
NDAR_NO_OPT_step_3,26,1000001,1000001,2.0,0.0,-0.3333333333333333,1100101
NDAR_NO_OPT_step_3,27,1000011,1100001,-2.0,-2.0,0.3333333333333333,1000101
NDAR_NO_OPT_step_3,28,0011001,1001100,0.0,0.0,-0.0,1101000
NDAR_NO_OPT_step_3,29,1000101,1010001,4.0,2.0,-0.6666666666666666,1110101
NDAR_NO_OPT_step_3,30,0000101,1010000,2.0,0.0,-0.3333333333333333,1110100
NDAR_NO_OPT_step_3,31,1011011,1101101,0.0,-2.0,-0.0,1001001
NDAR_NO_OPT_step_3,32,1000101,1010001,4.0,2.0,-0.6666666666666666,1110101
NDAR_NO_OPT_step_3,33,1000011,1100001,-2.0,-2.0,0.3333333333333333,1000101
NDAR_NO_OPT_step_3,34,1000101,1010001,4.0,2.0,-0.6666666666666666,1110101
NDAR_NO_OPT_step_3,35,0000101,1010000,2.0,0.0,-0.3333333333333333,1110100
