label,epoch,loss,loss_plus,loss_minus,grad_norm,ck,best_loss_so_far,best_epoch_so_far
NDAR_VQA_step_2,1,3.18,3.12,3.62,8.819171036881967,0.15,3.18,1
NDAR_VQA_step_2,2,3.06,3.16,3.4,4.540179592135404,0.13985797296552485,3.06,2
NDAR_VQA_step_2,3,3.54,3.04,2.78,5.124132552256489,0.13424620340351448,3.06,2
NDAR_VQA_step_2,4,3.16,3.14,3.36,4.463633217911019,0.13040168401350324,3.06,2
NDAR_VQA_step_2,5,3.28,2.6,3.38,16.186327902504015,0.12749562686859503,3.06,2
NDAR_VQA_step_2,6,3.06,3.58,2.84,15.641656956591854,0.1251693459088872,3.06,2
NDAR_VQA_step_2,7,3.46,3.28,3.12,3.4350466992987303,0.12323564912720256,3.06,2
NDAR_VQA_step_2,8,2.86,3.4,3.04,7.833797668783822,0.12158476798279637,2.86,8
NDAR_VQA_step_2,9,3.14,2.94,2.74,4.404192064521525,0.12014695418838521,2.86,8
NDAR_VQA_step_2,10,2.5,2.68,2.68,0.0,0.11887519957207077,2.5,10
