label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_0,0,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,1,1100001,1000011,0.0,0.0,-0.0,1000011
NDAR_VQA_step_0,2,1110001,1000111,-2.0,2.0,0.25,1000111
NDAR_VQA_step_0,3,0000000,0000000,0.0,0.0,-0.0,0000000
NDAR_VQA_step_0,4,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,5,0100000,0000010,2.0,-2.0,-0.25,0000010
NDAR_VQA_step_0,6,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,7,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,8,1110110,0110111,-4.0,4.0,0.5,0110111
NDAR_VQA_step_0,9,0010000,0000100,-4.0,4.0,0.5,0000100
NDAR_VQA_step_0,10,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,11,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,12,0010110,0110100,-2.0,2.0,0.25,0110100
NDAR_VQA_step_0,13,1110011,1100111,-2.0,2.0,0.25,1100111
NDAR_VQA_step_0,14,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,15,1110100,0010111,-8.0,8.0,1.0,0010111
NDAR_VQA_step_0,16,1110010,0100111,-4.0,4.0,0.5,0100111
NDAR_VQA_step_0,17,1110100,0010111,-8.0,8.0,1.0,0010111
NDAR_VQA_step_0,18,1110110,0110111,-4.0,4.0,0.5,0110111
NDAR_VQA_step_0,19,1110110,0110111,-4.0,4.0,0.5,0110111
NDAR_VQA_step_0,20,0110110,0110110,-2.0,2.0,0.25,0110110
NDAR_VQA_step_0,21,1110110,0110111,-4.0,4.0,0.5,0110111
NDAR_VQA_step_0,22,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,23,0110001,1000110,-2.0,2.0,0.25,1000110
NDAR_VQA_step_0,24,0000001,1000000,-2.0,2.0,0.25,1000000
NDAR_VQA_step_0,25,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,26,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,27,0010010,0100100,-2.0,2.0,0.25,0100100
NDAR_VQA_step_0,28,1110110,0110111,-4.0,4.0,0.5,0110111
NDAR_VQA_step_0,29,0010100,0010100,-6.0,6.0,0.75,0010100
NDAR_VQA_step_0,30,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,31,1100001,1000011,0.0,0.0,-0.0,1000011
NDAR_VQA_step_0,32,1110110,0110111,-4.0,4.0,0.5,0110111
NDAR_VQA_step_0,33,1110100,0010111,-8.0,8.0,1.0,0010111
NDAR_VQA_step_0,34,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,35,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,36,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,37,1110010,0100111,-4.0,4.0,0.5,0100111
NDAR_VQA_step_0,38,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,39,1110100,0010111,-8.0,8.0,1.0,0010111
NDAR_VQA_step_0,40,0110000,0000110,-4.0,4.0,0.5,0000110
NDAR_VQA_step_0,41,0000000,0000000,0.0,0.0,-0.0,0000000
NDAR_VQA_step_0,42,1100000,0000011,-2.0,2.0,0.25,0000011
NDAR_VQA_step_0,43,1110001,1000111,-2.0,2.0,0.25,1000111
NDAR_VQA_step_0,44,1110100,0010111,-8.0,8.0,1.0,0010111
NDAR_VQA_step_0,45,1110100,0010111,-8.0,8.0,1.0,0010111
NDAR_VQA_step_0,46,1110001,1000111,-2.0,2.0,0.25,1000111
NDAR_VQA_step_0,47,1110111,1110111,0.0,0.0,-0.0,1110111
NDAR_VQA_step_0,48,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,49,1110111,1110111,0.0,0.0,-0.0,1110111
NDAR_VQA_step_0,50,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,51,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,52,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,53,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,54,1110100,0010111,-8.0,8.0,1.0,0010111
NDAR_VQA_step_0,55,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,56,1100000,0000011,-2.0,2.0,0.25,0000011
NDAR_VQA_step_0,57,1010000,0000101,-4.0,4.0,0.5,0000101
NDAR_VQA_step_0,58,1110000,0000111,-6.0,6.0,0.75,0000111
NDAR_VQA_step_0,59,1010101,1010101,0.0,0.0,-0.0,1010101
NDAR_VQA_step_0,60,0110000,0000110,-4.0,4.0,0.5,0000110
NDAR_VQA_step_0,61,1100000,0000011,-2.0,2.0,0.25,0000011
NDAR_VQA_step_0,62,1110111,1110111,0.0,0.0,-0.0,1110111
NDAR_VQA_step_0,63,1100000,0000011,-2.0,2.0,0.25,0000011
