label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
RANDOM_SEARCH_step_4,0,1100011,1100011,-2.0,2.0,0.25,1100011
RANDOM_SEARCH_step_4,1,0010111,1110100,-2.0,2.0,0.25,1110100
RANDOM_SEARCH_step_4,2,0011111,1111100,-2.0,2.0,0.25,1111100
RANDOM_SEARCH_step_4,3,1100011,1100011,-2.0,2.0,0.25,1100011
RANDOM_SEARCH_step_4,4,0001100,0011000,-2.0,2.0,0.25,0011000
RANDOM_SEARCH_step_4,5,1111011,1101111,-4.0,4.0,0.5,1101111
RANDOM_SEARCH_step_4,6,1111011,1101111,-4.0,4.0,0.5,1101111
RANDOM_SEARCH_step_4,7,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,8,1110011,1100111,-2.0,2.0,0.25,1100111
RANDOM_SEARCH_step_4,9,0010011,1100100,-4.0,4.0,0.5,1100100
RANDOM_SEARCH_step_4,10,0010001,1000100,-4.0,4.0,0.5,1000100
RANDOM_SEARCH_step_4,11,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,12,0010011,1100100,-4.0,4.0,0.5,1100100
RANDOM_SEARCH_step_4,13,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,14,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,15,0010111,1110100,-2.0,2.0,0.25,1110100
RANDOM_SEARCH_step_4,16,0001111,1111000,-6.0,6.0,0.75,1111000
RANDOM_SEARCH_step_4,17,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,18,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,19,0011011,1101100,-6.0,6.0,0.75,1101100
RANDOM_SEARCH_step_4,20,0010011,1100100,-4.0,4.0,0.5,1100100
RANDOM_SEARCH_step_4,21,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,22,0001000,0001000,0.0,0.0,-0.0,0001000
RANDOM_SEARCH_step_4,23,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,24,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,25,1010011,1100101,-4.0,4.0,0.5,1100101
RANDOM_SEARCH_step_4,26,0010111,1110100,-2.0,2.0,0.25,1110100
RANDOM_SEARCH_step_4,27,0010101,1010100,-4.0,4.0,0.5,1010100
RANDOM_SEARCH_step_4,28,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,29,1100011,1100011,-2.0,2.0,0.25,1100011
RANDOM_SEARCH_step_4,30,1001100,0011001,0.0,0.0,-0.0,0011001
RANDOM_SEARCH_step_4,31,0010011,1100100,-4.0,4.0,0.5,1100100
RANDOM_SEARCH_step_4,32,0010011,1100100,-4.0,4.0,0.5,1100100
RANDOM_SEARCH_step_4,33,0010011,1100100,-4.0,4.0,0.5,1100100
RANDOM_SEARCH_step_4,34,0001010,0101000,-2.0,2.0,0.25,0101000
RANDOM_SEARCH_step_4,35,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,36,0010011,1100100,-4.0,4.0,0.5,1100100
RANDOM_SEARCH_step_4,37,0001011,1101000,-8.0,8.0,1.0,1101000
RANDOM_SEARCH_step_4,38,0001111,1111000,-6.0,6.0,0.75,1111000
RANDOM_SEARCH_step_4,39,1111011,1101111,-4.0,4.0,0.5,1101111
RANDOM_SEARCH_step_4,40,0001011,1101000,-8.0,8.0,1.0,1101000
