label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_4,0,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_4,1,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,2,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,3,0010010,0100100,4.0,-4.0,-2.0,0100100
PLAIN_VQA_step_4,4,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,5,0000000,0000000,0.0,0.0,-0.0,0000000
PLAIN_VQA_step_4,6,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,7,0001111,1111000,2.0,-2.0,-1.0,1111000
PLAIN_VQA_step_4,8,0010111,1110100,0.0,0.0,-0.0,1110100
PLAIN_VQA_step_4,9,0010001,1000100,0.0,0.0,-0.0,1000100
PLAIN_VQA_step_4,10,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_4,11,1100000,0000011,2.0,-2.0,-1.0,0000011
PLAIN_VQA_step_4,12,0000000,0000000,0.0,0.0,-0.0,0000000
PLAIN_VQA_step_4,13,0010100,0010100,-2.0,2.0,1.0,0010100
PLAIN_VQA_step_4,14,0111110,0111110,2.0,-2.0,-1.0,0111110
PLAIN_VQA_step_4,15,0010011,1100100,2.0,-2.0,-1.0,1100100
PLAIN_VQA_step_4,16,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_4,17,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,18,1100000,0000011,2.0,-2.0,-1.0,0000011
PLAIN_VQA_step_4,19,1111100,0011111,2.0,-2.0,-1.0,0011111
PLAIN_VQA_step_4,20,0010000,0000100,0.0,0.0,-0.0,0000100
PLAIN_VQA_step_4,21,0010000,0000100,0.0,0.0,-0.0,0000100
PLAIN_VQA_step_4,22,0010000,0000100,0.0,0.0,-0.0,0000100
PLAIN_VQA_step_4,23,0010100,0010100,-2.0,2.0,1.0,0010100
PLAIN_VQA_step_4,24,0011100,0011100,0.0,0.0,-0.0,0011100
PLAIN_VQA_step_4,25,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_4,26,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_4,27,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,28,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,29,0010000,0000100,0.0,0.0,-0.0,0000100
PLAIN_VQA_step_4,30,0001011,1101000,0.0,0.0,-0.0,1101000
PLAIN_VQA_step_4,31,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,32,1100100,0010011,2.0,-2.0,-1.0,0010011
PLAIN_VQA_step_4,33,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_4,34,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,35,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,36,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_4,37,1111100,0011111,2.0,-2.0,-1.0,0011111
PLAIN_VQA_step_4,38,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,39,1111100,0011111,2.0,-2.0,-1.0,0011111
PLAIN_VQA_step_4,40,0010100,0010100,-2.0,2.0,1.0,0010100
PLAIN_VQA_step_4,41,0010000,0000100,0.0,0.0,-0.0,0000100
PLAIN_VQA_step_4,42,0001011,1101000,0.0,0.0,-0.0,1101000
PLAIN_VQA_step_4,43,0011100,0011100,0.0,0.0,-0.0,0011100
PLAIN_VQA_step_4,44,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_4,45,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_4,46,0001100,0011000,0.0,0.0,-0.0,0011000
