label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_NO_OPT_step_0,0,0110111,1110110,6.0,-6.0,-3.0,1110110
NDAR_NO_OPT_step_0,1,0011010,0101100,4.0,-4.0,-2.0,0101100
NDAR_NO_OPT_step_0,2,1111001,1001111,0.0,0.0,-0.0,1001111
NDAR_NO_OPT_step_0,3,1101101,1011011,2.0,-2.0,-1.0,1011011
NDAR_NO_OPT_step_0,4,0001010,0101000,2.0,-2.0,-1.0,0101000
NDAR_NO_OPT_step_0,5,0001100,0011000,0.0,0.0,-0.0,0011000
NDAR_NO_OPT_step_0,6,0010101,1010100,8.0,-8.0,-4.0,1010100
NDAR_NO_OPT_step_0,7,0000000,0000000,0.0,0.0,-0.0,0000000
NDAR_NO_OPT_step_0,8,1100010,0100011,4.0,-4.0,-2.0,0100011
NDAR_NO_OPT_step_0,9,1001110,0111001,2.0,-2.0,-1.0,0111001
NDAR_NO_OPT_step_0,10,0001010,0101000,2.0,-2.0,-1.0,0101000
NDAR_NO_OPT_step_0,11,0010011,1100100,2.0,-2.0,-1.0,1100100
NDAR_NO_OPT_step_0,12,0001110,0111000,2.0,-2.0,-1.0,0111000
NDAR_NO_OPT_step_0,13,1111101,1011111,-2.0,2.0,1.0,1011111
NDAR_NO_OPT_step_0,14,0001010,0101000,2.0,-2.0,-1.0,0101000
NDAR_NO_OPT_step_0,15,1011000,0001101,4.0,-4.0,-2.0,0001101
NDAR_NO_OPT_step_0,16,1011010,0101101,4.0,-4.0,-2.0,0101101
NDAR_NO_OPT_step_0,17,0100100,0010010,0.0,0.0,-0.0,0010010
NDAR_NO_OPT_step_0,18,0000010,0100000,-2.0,2.0,1.0,0100000
NDAR_NO_OPT_step_0,19,1111101,1011111,-2.0,2.0,1.0,1011111
NDAR_NO_OPT_step_0,20,1100101,1010011,4.0,-4.0,-2.0,1010011
NDAR_NO_OPT_step_0,21,1011110,0111101,4.0,-4.0,-2.0,0111101
NDAR_NO_OPT_step_0,22,0100001,1000010,4.0,-4.0,-2.0,1000010
NDAR_NO_OPT_step_0,23,0010101,1010100,8.0,-8.0,-4.0,1010100
NDAR_NO_OPT_step_0,24,0010100,0010100,4.0,-4.0,-2.0,0010100
NDAR_NO_OPT_step_0,25,0010110,0110100,6.0,-6.0,-3.0,0110100
NDAR_NO_OPT_step_0,26,0001000,0001000,2.0,-2.0,-1.0,0001000
NDAR_NO_OPT_step_0,27,0001010,0101000,2.0,-2.0,-1.0,0101000
NDAR_NO_OPT_step_0,28,1010010,0100101,4.0,-4.0,-2.0,0100101
NDAR_NO_OPT_step_0,29,0011101,1011100,4.0,-4.0,-2.0,1011100
