method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,0000000,1110100,1110100,0000000,-8.0,-2.14,0.8,0.21400000000000002,-0.0,-8.0,0.8,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,0.8,2,strong_damping
plain_vqa,1,20,0000000,1110100,1110100,0000000,-8.0,-2.6,0.8,0.26,-0.0,-8.0,0.8,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,0.8,2,strong_damping
plain_vqa,2,30,0000000,0001011,0001011,0000000,-8.0,-2.46,0.8,0.246,-0.0,-8.0,0.8,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,0.8,2,strong_damping
plain_vqa,3,40,0000000,0001011,0001011,0000000,-8.0,-2.5,0.8,0.25,-0.0,-8.0,0.8,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,0.8,2,strong_damping
plain_vqa,4,50,0000000,0001011,0001011,0000000,-8.0,-2.5,0.8,0.25,-0.0,-8.0,0.8,8.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-8.0,0.8,2,strong_damping
ndar_vqa,0,10,0000000,1101100,1101100,0000000,-8.0,-2.04,0.8,0.20400000000000001,-0.0,-8.0,0.8,8.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-8.0,0.8,2,strong_damping
ndar_vqa,1,20,1101100,1110111,0011011,1101100,-10.0,-2.88,1.0,0.288,0.8,-10.0,1.0,10.0,-8.0,0.8,8.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-10.0,1.0,2,strong_damping
ndar_vqa,2,30,0011011,1111111,1100100,0011011,-10.0,-4.38,1.0,0.438,1.0,-10.0,1.0,10.0,-10.0,1.0,10.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-10.0,1.0,2,strong_damping
ndar_vqa,3,40,1100100,1111111,0011011,1100100,-10.0,-4.42,1.0,0.442,1.0,-10.0,1.0,10.0,-10.0,1.0,10.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-10.0,1.0,2,strong_damping
ndar_vqa,4,50,0011011,1111111,1100100,0011011,-10.0,-4.34,1.0,0.434,1.0,-10.0,1.0,10.0,-10.0,1.0,10.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-10.0,1.0,2,strong_damping
random_search,0,10,0000000,0011011,0011011,0000000,-10.0,-3.48,1.0,0.348,-0.0,-10.0,1.0,10.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-10.0,1.0,2,strong_damping
random_search,1,20,0000000,1100100,1100100,0000000,-10.0,-4.94,1.0,0.49400000000000005,-0.0,-10.0,1.0,10.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-10.0,1.0,2,strong_damping
random_search,2,30,0000000,1100100,1100100,0000000,-10.0,-4.94,1.0,0.49400000000000005,-0.0,-10.0,1.0,10.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-10.0,1.0,2,strong_damping
random_search,3,40,0000000,1100100,1100100,0000000,-10.0,-4.84,1.0,0.484,-0.0,-10.0,1.0,10.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-10.0,1.0,2,strong_damping
random_search,4,50,0000000,1100100,1100100,0000000,-10.0,-4.86,1.0,0.48600000000000004,-0.0,-10.0,1.0,10.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-10.0,1.0,2,strong_damping
ndar_no_opt,0,10,0000000,1101100,1101100,0000000,-8.0,-2.16,0.8,0.21600000000000003,-0.0,-8.0,0.8,8.0,0.0,-0.0,0.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-8.0,0.8,2,strong_damping
ndar_no_opt,1,20,1101100,1111111,0010011,1101100,-8.0,-1.84,0.8,0.184,0.8,-8.0,0.8,8.0,-8.0,0.8,8.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-8.0,0.8,2,strong_damping
ndar_no_opt,2,30,0010011,1111111,1101100,0010011,-8.0,-1.86,0.8,0.186,0.8,-8.0,0.8,8.0,-8.0,0.8,8.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-8.0,0.8,2,strong_damping
ndar_no_opt,3,40,1101100,1111111,0010011,1101100,-8.0,-1.8,0.8,0.18,0.8,-8.0,0.8,8.0,-8.0,0.8,8.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-8.0,0.8,2,strong_damping
ndar_no_opt,4,50,0010011,1111111,1101100,0010011,-8.0,-1.78,0.8,0.178,0.8,-8.0,0.8,8.0,-8.0,0.8,8.0,NDAR-style remap loop with fixed circuit parameters and no optimization.,-8.0,0.8,2,strong_damping
