label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_4,0,1110010,0100111,0.0,2.0,-0.0,0111100
NDAR_VQA_step_4,1,0111010,0101110,-2.0,4.0,0.2,0110101
NDAR_VQA_step_4,2,1001011,1101001,-2.0,0.0,0.2,1110010
NDAR_VQA_step_4,3,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,4,1111111,1111111,-10.0,0.0,1.0,1100100
NDAR_VQA_step_4,5,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,6,0111011,1101110,-6.0,4.0,0.6,1110101
NDAR_VQA_step_4,7,0111011,1101110,-6.0,4.0,0.6,1110101
NDAR_VQA_step_4,8,0111011,1101110,-6.0,4.0,0.6,1110101
NDAR_VQA_step_4,9,0000011,1100000,-2.0,4.0,0.2,1111011
NDAR_VQA_step_4,10,0011011,1101100,-4.0,8.0,0.4,1110111
NDAR_VQA_step_4,11,1111111,1111111,-10.0,0.0,1.0,1100100
NDAR_VQA_step_4,12,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,13,1001111,1111001,0.0,0.0,-0.0,1100010
NDAR_VQA_step_4,14,0100111,1110010,0.0,2.0,-0.0,1101001
NDAR_VQA_step_4,15,0100101,1010010,0.0,2.0,-0.0,1001001
NDAR_VQA_step_4,16,0011011,1101100,-4.0,8.0,0.4,1110111
NDAR_VQA_step_4,17,0000011,1100000,-2.0,4.0,0.2,1111011
NDAR_VQA_step_4,18,1111111,1111111,-10.0,0.0,1.0,1100100
NDAR_VQA_step_4,19,1101010,0101011,0.0,4.0,-0.0,0110000
NDAR_VQA_step_4,20,0001111,1111000,0.0,2.0,-0.0,1100011
NDAR_VQA_step_4,21,0101111,1111010,-2.0,2.0,0.2,1100001
NDAR_VQA_step_4,22,1011101,1011101,0.0,0.0,-0.0,1000110
NDAR_VQA_step_4,23,1011011,1101101,-4.0,2.0,0.4,1110110
NDAR_VQA_step_4,24,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,25,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,26,1111111,1111111,-10.0,0.0,1.0,1100100
NDAR_VQA_step_4,27,1110111,1110111,-8.0,4.0,0.8,1101100
NDAR_VQA_step_4,28,0111001,1001110,-4.0,2.0,0.4,1010101
NDAR_VQA_step_4,29,0111000,0001110,-2.0,4.0,0.2,0010101
NDAR_VQA_step_4,30,0111111,1111110,-6.0,2.0,0.6,1100101
NDAR_VQA_step_4,31,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,32,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,33,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,34,0111001,1001110,-4.0,2.0,0.4,1010101
NDAR_VQA_step_4,35,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,36,0011000,0001100,-4.0,4.0,0.4,0010111
NDAR_VQA_step_4,37,0011110,0111100,-2.0,0.0,0.2,0100111
NDAR_VQA_step_4,38,0000011,1100000,-2.0,4.0,0.2,1111011
NDAR_VQA_step_4,39,0000111,1110000,0.0,4.0,-0.0,1101011
NDAR_VQA_step_4,40,0000111,1110000,0.0,4.0,-0.0,1101011
NDAR_VQA_step_4,41,1110111,1110111,-8.0,4.0,0.8,1101100
NDAR_VQA_step_4,42,1101111,1111011,-4.0,2.0,0.4,1100000
NDAR_VQA_step_4,43,0010100,0010100,-4.0,0.0,0.4,0001111
NDAR_VQA_step_4,44,0011011,1101100,-4.0,8.0,0.4,1110111
NDAR_VQA_step_4,45,0010011,1100100,0.0,10.0,-0.0,1111111
NDAR_VQA_step_4,46,1011011,1101101,-4.0,2.0,0.4,1110110
NDAR_VQA_step_4,47,1111101,1011111,-4.0,2.0,0.4,1000100
NDAR_VQA_step_4,48,1111001,1001111,-4.0,0.0,0.4,1010100
NDAR_VQA_step_4,49,0011101,1011100,0.0,2.0,-0.0,1000111
NDAR_VQA_step_4,50,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,51,0000011,1100000,-2.0,4.0,0.2,1111011
NDAR_VQA_step_4,52,1100111,1110011,-4.0,4.0,0.4,1101000
NDAR_VQA_step_4,53,1100111,1110011,-4.0,4.0,0.4,1101000
NDAR_VQA_step_4,54,1011011,1101101,-4.0,2.0,0.4,1110110
NDAR_VQA_step_4,55,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,56,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,57,1011111,1111101,-4.0,0.0,0.4,1100110
NDAR_VQA_step_4,58,1110111,1110111,-8.0,4.0,0.8,1101100
NDAR_VQA_step_4,59,1011110,0111101,-2.0,-2.0,0.2,0100110
NDAR_VQA_step_4,60,1101110,0111011,-2.0,4.0,0.2,0100000
NDAR_VQA_step_4,61,1111111,1111111,-10.0,0.0,1.0,1100100
NDAR_VQA_step_4,62,0010111,1110100,0.0,8.0,-0.0,1101111
NDAR_VQA_step_4,63,0001110,0111000,-2.0,0.0,0.2,0100011
NDAR_VQA_step_4,64,1111010,0101111,-2.0,2.0,0.2,0110100
NDAR_VQA_step_4,65,0011011,1101100,-4.0,8.0,0.4,1110111
NDAR_VQA_step_4,66,0111110,0111110,-4.0,0.0,0.4,0100101
NDAR_VQA_step_4,67,0011111,1111100,-2.0,4.0,0.2,1100111
NDAR_VQA_step_4,68,0000111,1110000,0.0,4.0,-0.0,1101011
NDAR_VQA_step_4,69,1110011,1100111,-4.0,2.0,0.4,1111100
NDAR_VQA_step_4,70,1111111,1111111,-10.0,0.0,1.0,1100100
NDAR_VQA_step_4,71,1000100,0010001,-6.0,4.0,0.6,0001010
NDAR_VQA_step_4,72,1111101,1011111,-4.0,2.0,0.4,1000100
NDAR_VQA_step_4,73,1111111,1111111,-10.0,0.0,1.0,1100100
NDAR_VQA_step_4,74,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,75,1111100,0011111,-2.0,4.0,0.2,0000100
NDAR_VQA_step_4,76,0111111,1111110,-6.0,2.0,0.6,1100101
NDAR_VQA_step_4,77,0011111,1111100,-2.0,4.0,0.2,1100111
NDAR_VQA_step_4,78,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,79,1100011,1100011,-2.0,0.0,0.2,1111000
NDAR_VQA_step_4,80,0011101,1011100,0.0,2.0,-0.0,1000111
NDAR_VQA_step_4,81,0101010,0101010,-2.0,4.0,0.2,0110001
NDAR_VQA_step_4,82,1000100,0010001,-6.0,4.0,0.6,0001010
NDAR_VQA_step_4,83,1110101,1010111,-4.0,4.0,0.4,1001100
NDAR_VQA_step_4,84,0000111,1110000,0.0,4.0,-0.0,1101011
NDAR_VQA_step_4,85,0111010,0101110,-2.0,4.0,0.2,0110101
NDAR_VQA_step_4,86,1100011,1100011,-2.0,0.0,0.2,1111000
NDAR_VQA_step_4,87,0101101,1011010,0.0,4.0,-0.0,1000001
NDAR_VQA_step_4,88,0000111,1110000,0.0,4.0,-0.0,1101011
NDAR_VQA_step_4,89,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,90,1100111,1110011,-4.0,4.0,0.4,1101000
NDAR_VQA_step_4,91,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,92,0101111,1111010,-2.0,2.0,0.2,1100001
NDAR_VQA_step_4,93,0101000,0001010,-4.0,6.0,0.4,0010001
NDAR_VQA_step_4,94,0011001,1001100,-4.0,4.0,0.4,1010111
NDAR_VQA_step_4,95,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,96,1100001,1000011,-2.0,0.0,0.2,1011000
NDAR_VQA_step_4,97,1111011,1101111,-8.0,0.0,0.8,1110100
NDAR_VQA_step_4,98,1111111,1111111,-10.0,0.0,1.0,1100100
NDAR_VQA_step_4,99,1011011,1101101,-4.0,2.0,0.4,1110110
