label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
RANDOM_SEARCH_step_2,0,0000101,1010000,-4.0,4.0,0.5,1010000
RANDOM_SEARCH_step_2,1,0101101,1011010,-4.0,4.0,0.5,1011010
RANDOM_SEARCH_step_2,2,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,3,1000011,1100001,-6.0,6.0,0.75,1100001
RANDOM_SEARCH_step_2,4,0100011,1100010,2.0,-2.0,-0.25,1100010
RANDOM_SEARCH_step_2,5,1100100,0010011,-6.0,6.0,0.75,0010011
RANDOM_SEARCH_step_2,6,1001110,0111001,-2.0,2.0,0.25,0111001
RANDOM_SEARCH_step_2,7,1000011,1100001,-6.0,6.0,0.75,1100001
RANDOM_SEARCH_step_2,8,1000101,1010001,-2.0,2.0,0.25,1010001
RANDOM_SEARCH_step_2,9,1000101,1010001,-2.0,2.0,0.25,1010001
RANDOM_SEARCH_step_2,10,0010011,1100100,-4.0,4.0,0.5,1100100
RANDOM_SEARCH_step_2,11,0000011,1100000,-4.0,4.0,0.5,1100000
RANDOM_SEARCH_step_2,12,1100010,0100011,-2.0,2.0,0.25,0100011
RANDOM_SEARCH_step_2,13,0001100,0011000,-2.0,2.0,0.25,0011000
RANDOM_SEARCH_step_2,14,1100100,0010011,-6.0,6.0,0.75,0010011
RANDOM_SEARCH_step_2,15,1011111,1111101,2.0,-2.0,-0.25,1111101
RANDOM_SEARCH_step_2,16,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,17,1000011,1100001,-6.0,6.0,0.75,1100001
RANDOM_SEARCH_step_2,18,0000100,0010000,-4.0,4.0,0.5,0010000
RANDOM_SEARCH_step_2,19,0100100,0010010,-4.0,4.0,0.5,0010010
RANDOM_SEARCH_step_2,20,1000101,1010001,-2.0,2.0,0.25,1010001
RANDOM_SEARCH_step_2,21,1100100,0010011,-6.0,6.0,0.75,0010011
RANDOM_SEARCH_step_2,22,0100010,0100010,4.0,-4.0,-0.5,0100010
RANDOM_SEARCH_step_2,23,0000100,0010000,-4.0,4.0,0.5,0010000
RANDOM_SEARCH_step_2,24,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,25,0100010,0100010,4.0,-4.0,-0.5,0100010
RANDOM_SEARCH_step_2,26,1000101,1010001,-2.0,2.0,0.25,1010001
RANDOM_SEARCH_step_2,27,0000100,0010000,-4.0,4.0,0.5,0010000
RANDOM_SEARCH_step_2,28,0000101,1010000,-4.0,4.0,0.5,1010000
RANDOM_SEARCH_step_2,29,0010000,0000100,-4.0,4.0,0.5,0000100
RANDOM_SEARCH_step_2,30,1001101,1011001,0.0,0.0,-0.0,1011001
RANDOM_SEARCH_step_2,31,1000000,0000001,-2.0,2.0,0.25,0000001
RANDOM_SEARCH_step_2,32,1100010,0100011,-2.0,2.0,0.25,0100011
RANDOM_SEARCH_step_2,33,1000011,1100001,-6.0,6.0,0.75,1100001
RANDOM_SEARCH_step_2,34,0000100,0010000,-4.0,4.0,0.5,0010000
RANDOM_SEARCH_step_2,35,1011111,1111101,2.0,-2.0,-0.25,1111101
RANDOM_SEARCH_step_2,36,1001010,0101001,-4.0,4.0,0.5,0101001
RANDOM_SEARCH_step_2,37,1110101,1010111,-2.0,2.0,0.25,1010111
RANDOM_SEARCH_step_2,38,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,39,1100101,1010011,-2.0,2.0,0.25,1010011
RANDOM_SEARCH_step_2,40,0110101,1010110,-4.0,4.0,0.5,1010110
RANDOM_SEARCH_step_2,41,1100101,1010011,-2.0,2.0,0.25,1010011
RANDOM_SEARCH_step_2,42,0100101,1010010,-2.0,2.0,0.25,1010010
RANDOM_SEARCH_step_2,43,1000000,0000001,-2.0,2.0,0.25,0000001
RANDOM_SEARCH_step_2,44,1100101,1010011,-2.0,2.0,0.25,1010011
RANDOM_SEARCH_step_2,45,0101010,0101010,0.0,0.0,-0.0,0101010
RANDOM_SEARCH_step_2,46,1000101,1010001,-2.0,2.0,0.25,1010001
RANDOM_SEARCH_step_2,47,1011100,0011101,2.0,-2.0,-0.25,0011101
RANDOM_SEARCH_step_2,48,1100011,1100011,-2.0,2.0,0.25,1100011
RANDOM_SEARCH_step_2,49,0010100,0010100,-6.0,6.0,0.75,0010100
RANDOM_SEARCH_step_2,50,0011100,0011100,-2.0,2.0,0.25,0011100
RANDOM_SEARCH_step_2,51,0100111,1110010,0.0,0.0,-0.0,1110010
RANDOM_SEARCH_step_2,52,1100100,0010011,-6.0,6.0,0.75,0010011
RANDOM_SEARCH_step_2,53,0011010,0101100,-2.0,2.0,0.25,0101100
RANDOM_SEARCH_step_2,54,1000011,1100001,-6.0,6.0,0.75,1100001
RANDOM_SEARCH_step_2,55,1001110,0111001,-2.0,2.0,0.25,0111001
RANDOM_SEARCH_step_2,56,1010100,0010101,-4.0,4.0,0.5,0010101
RANDOM_SEARCH_step_2,57,0011100,0011100,-2.0,2.0,0.25,0011100
RANDOM_SEARCH_step_2,58,1011101,1011101,4.0,-4.0,-0.5,1011101
RANDOM_SEARCH_step_2,59,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,60,0010101,1010100,-4.0,4.0,0.5,1010100
RANDOM_SEARCH_step_2,61,0011110,0111100,0.0,0.0,-0.0,0111100
RANDOM_SEARCH_step_2,62,0100110,0110010,0.0,0.0,-0.0,0110010
RANDOM_SEARCH_step_2,63,1100100,0010011,-6.0,6.0,0.75,0010011
RANDOM_SEARCH_step_2,64,0100110,0110010,0.0,0.0,-0.0,0110010
RANDOM_SEARCH_step_2,65,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,66,1000011,1100001,-6.0,6.0,0.75,1100001
RANDOM_SEARCH_step_2,67,0010100,0010100,-6.0,6.0,0.75,0010100
RANDOM_SEARCH_step_2,68,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,69,0000100,0010000,-4.0,4.0,0.5,0010000
RANDOM_SEARCH_step_2,70,1000110,0110001,-4.0,4.0,0.5,0110001
RANDOM_SEARCH_step_2,71,1000101,1010001,-2.0,2.0,0.25,1010001
RANDOM_SEARCH_step_2,72,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,73,0010100,0010100,-6.0,6.0,0.75,0010100
RANDOM_SEARCH_step_2,74,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,75,0000011,1100000,-4.0,4.0,0.5,1100000
RANDOM_SEARCH_step_2,76,1000011,1100001,-6.0,6.0,0.75,1100001
RANDOM_SEARCH_step_2,77,0000101,1010000,-4.0,4.0,0.5,1010000
RANDOM_SEARCH_step_2,78,0010011,1100100,-4.0,4.0,0.5,1100100
RANDOM_SEARCH_step_2,79,0111011,1101110,-4.0,4.0,0.5,1101110
RANDOM_SEARCH_step_2,80,0001100,0011000,-2.0,2.0,0.25,0011000
RANDOM_SEARCH_step_2,81,0000010,0100000,0.0,0.0,-0.0,0100000
RANDOM_SEARCH_step_2,82,1110011,1100111,-2.0,2.0,0.25,1100111
RANDOM_SEARCH_step_2,83,0100001,1000010,2.0,-2.0,-0.25,1000010
RANDOM_SEARCH_step_2,84,1000011,1100001,-6.0,6.0,0.75,1100001
RANDOM_SEARCH_step_2,85,0010100,0010100,-6.0,6.0,0.75,0010100
RANDOM_SEARCH_step_2,86,1000010,0100001,-4.0,4.0,0.5,0100001
RANDOM_SEARCH_step_2,87,0010010,0100100,-2.0,2.0,0.25,0100100
RANDOM_SEARCH_step_2,88,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,89,0110011,1100110,0.0,0.0,-0.0,1100110
RANDOM_SEARCH_step_2,90,1001110,0111001,-2.0,2.0,0.25,0111001
RANDOM_SEARCH_step_2,91,0000100,0010000,-4.0,4.0,0.5,0010000
RANDOM_SEARCH_step_2,92,0000101,1010000,-4.0,4.0,0.5,1010000
RANDOM_SEARCH_step_2,93,0000101,1010000,-4.0,4.0,0.5,1010000
RANDOM_SEARCH_step_2,94,0011000,0001100,-2.0,2.0,0.25,0001100
RANDOM_SEARCH_step_2,95,0000100,0010000,-4.0,4.0,0.5,0010000
RANDOM_SEARCH_step_2,96,1000100,0010001,-4.0,4.0,0.5,0010001
RANDOM_SEARCH_step_2,97,0011000,0001100,-2.0,2.0,0.25,0001100
RANDOM_SEARCH_step_2,98,1011100,0011101,2.0,-2.0,-0.25,0011101
RANDOM_SEARCH_step_2,99,1000011,1100001,-6.0,6.0,0.75,1100001
