label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_2,0,1110110,0110111,-2.0,2.0,1.0,0110111
PLAIN_VQA_step_2,1,1011110,0111101,6.0,-6.0,-3.0,0111101
PLAIN_VQA_step_2,2,0110000,0000110,4.0,-4.0,-2.0,0000110
PLAIN_VQA_step_2,3,0010010,0100100,4.0,-4.0,-2.0,0100100
PLAIN_VQA_step_2,4,1001000,0001001,-2.0,2.0,1.0,0001001
PLAIN_VQA_step_2,5,1010000,0000101,0.0,0.0,-0.0,0000101
PLAIN_VQA_step_2,6,0101110,0111010,2.0,-2.0,-1.0,0111010
PLAIN_VQA_step_2,7,0010010,0100100,4.0,-4.0,-2.0,0100100
PLAIN_VQA_step_2,8,1110010,0100111,2.0,-2.0,-1.0,0100111
PLAIN_VQA_step_2,9,0010010,0100100,4.0,-4.0,-2.0,0100100
PLAIN_VQA_step_2,10,1110000,0000111,2.0,-2.0,-1.0,0000111
PLAIN_VQA_step_2,11,1010010,0100101,2.0,-2.0,-1.0,0100101
PLAIN_VQA_step_2,12,0110000,0000110,4.0,-4.0,-2.0,0000110
PLAIN_VQA_step_2,13,0010100,0010100,-2.0,2.0,1.0,0010100
PLAIN_VQA_step_2,14,0011000,0001100,0.0,0.0,-0.0,0001100
PLAIN_VQA_step_2,15,1011100,0011101,4.0,-4.0,-2.0,0011101
PLAIN_VQA_step_2,16,0010100,0010100,-2.0,2.0,1.0,0010100
PLAIN_VQA_step_2,17,0010000,0000100,0.0,0.0,-0.0,0000100
PLAIN_VQA_step_2,18,1001000,0001001,-2.0,2.0,1.0,0001001
PLAIN_VQA_step_2,19,1010111,1110101,2.0,-2.0,-1.0,1110101
PLAIN_VQA_step_2,20,0001110,0111000,2.0,-2.0,-1.0,0111000
PLAIN_VQA_step_2,21,0000010,0100000,2.0,-2.0,-1.0,0100000
PLAIN_VQA_step_2,22,0010001,1000100,0.0,0.0,-0.0,1000100
PLAIN_VQA_step_2,23,0000110,0110000,0.0,0.0,-0.0,0110000
PLAIN_VQA_step_2,24,0001101,1011000,2.0,-2.0,-1.0,1011000
PLAIN_VQA_step_2,25,1001000,0001001,-2.0,2.0,1.0,0001001
PLAIN_VQA_step_2,26,0011000,0001100,0.0,0.0,-0.0,0001100
PLAIN_VQA_step_2,27,1001000,0001001,-2.0,2.0,1.0,0001001
PLAIN_VQA_step_2,28,1010100,0010101,0.0,0.0,-0.0,0010101
PLAIN_VQA_step_2,29,1110100,0010111,0.0,0.0,-0.0,0010111
PLAIN_VQA_step_2,30,0010000,0000100,0.0,0.0,-0.0,0000100
PLAIN_VQA_step_2,31,0010000,0000100,0.0,0.0,-0.0,0000100
PLAIN_VQA_step_2,32,0110100,0010110,0.0,0.0,-0.0,0010110
PLAIN_VQA_step_2,33,1001000,0001001,-2.0,2.0,1.0,0001001
PLAIN_VQA_step_2,34,1010000,0000101,0.0,0.0,-0.0,0000101
PLAIN_VQA_step_2,35,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_2,36,0111000,0001110,2.0,-2.0,-1.0,0001110
PLAIN_VQA_step_2,37,1011110,0111101,6.0,-6.0,-3.0,0111101
PLAIN_VQA_step_2,38,1000000,0000001,-2.0,2.0,1.0,0000001
PLAIN_VQA_step_2,39,1001110,0111001,2.0,-2.0,-1.0,0111001
PLAIN_VQA_step_2,40,1010110,0110101,0.0,0.0,-0.0,0110101
PLAIN_VQA_step_2,41,1010001,1000101,2.0,-2.0,-1.0,1000101
PLAIN_VQA_step_2,42,1000100,0010001,0.0,0.0,-0.0,0010001
PLAIN_VQA_step_2,43,0100100,0010010,4.0,-4.0,-2.0,0010010
PLAIN_VQA_step_2,44,0101110,0111010,2.0,-2.0,-1.0,0111010
PLAIN_VQA_step_2,45,1010000,0000101,0.0,0.0,-0.0,0000101
PLAIN_VQA_step_2,46,0001001,1001000,-2.0,2.0,1.0,1001000
PLAIN_VQA_step_2,47,1000110,0110001,-2.0,2.0,1.0,0110001
PLAIN_VQA_step_2,48,1001001,1001001,0.0,0.0,-0.0,1001001
PLAIN_VQA_step_2,49,1110111,1110111,-2.0,2.0,1.0,1110111
PLAIN_VQA_step_2,50,0111000,0001110,2.0,-2.0,-1.0,0001110
PLAIN_VQA_step_2,51,0001100,0011000,0.0,0.0,-0.0,0011000
PLAIN_VQA_step_2,52,0101001,1001010,0.0,0.0,-0.0,1001010
PLAIN_VQA_step_2,53,0000001,1000000,2.0,-2.0,-1.0,1000000
PLAIN_VQA_step_2,54,0110100,0010110,0.0,0.0,-0.0,0010110
PLAIN_VQA_step_2,55,1010100,0010101,0.0,0.0,-0.0,0010101
PLAIN_VQA_step_2,56,0001110,0111000,2.0,-2.0,-1.0,0111000
PLAIN_VQA_step_2,57,0100010,0100010,6.0,-6.0,-3.0,0100010
PLAIN_VQA_step_2,58,0101110,0111010,2.0,-2.0,-1.0,0111010
PLAIN_VQA_step_2,59,0010100,0010100,-2.0,2.0,1.0,0010100
PLAIN_VQA_step_2,60,0110000,0000110,4.0,-4.0,-2.0,0000110
PLAIN_VQA_step_2,61,1010000,0000101,0.0,0.0,-0.0,0000101
PLAIN_VQA_step_2,62,0110110,0110110,0.0,0.0,-0.0,0110110
PLAIN_VQA_step_2,63,1001110,0111001,2.0,-2.0,-1.0,0111001
PLAIN_VQA_step_2,64,0000110,0110000,0.0,0.0,-0.0,0110000
PLAIN_VQA_step_2,65,0000000,0000000,0.0,0.0,-0.0,0000000
PLAIN_VQA_step_2,66,1101000,0001011,0.0,0.0,-0.0,0001011
PLAIN_VQA_step_2,67,1010000,0000101,0.0,0.0,-0.0,0000101
PLAIN_VQA_step_2,68,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_2,69,0011110,0111100,4.0,-4.0,-2.0,0111100
PLAIN_VQA_step_2,70,1010111,1110101,2.0,-2.0,-1.0,1110101
PLAIN_VQA_step_2,71,1010100,0010101,0.0,0.0,-0.0,0010101
PLAIN_VQA_step_2,72,1011110,0111101,6.0,-6.0,-3.0,0111101
PLAIN_VQA_step_2,73,1010110,0110101,0.0,0.0,-0.0,0110101
PLAIN_VQA_step_2,74,0001101,1011000,2.0,-2.0,-1.0,1011000
PLAIN_VQA_step_2,75,1010100,0010101,0.0,0.0,-0.0,0010101
PLAIN_VQA_step_2,76,0001110,0111000,2.0,-2.0,-1.0,0111000
PLAIN_VQA_step_2,77,1110100,0010111,0.0,0.0,-0.0,0010111
PLAIN_VQA_step_2,78,1110100,0010111,0.0,0.0,-0.0,0010111
PLAIN_VQA_step_2,79,1001000,0001001,-2.0,2.0,1.0,0001001
PLAIN_VQA_step_2,80,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_2,81,1110010,0100111,2.0,-2.0,-1.0,0100111
PLAIN_VQA_step_2,82,0010100,0010100,-2.0,2.0,1.0,0010100
PLAIN_VQA_step_2,83,1100000,0000011,2.0,-2.0,-1.0,0000011
PLAIN_VQA_step_2,84,1010100,0010101,0.0,0.0,-0.0,0010101
PLAIN_VQA_step_2,85,0010000,0000100,0.0,0.0,-0.0,0000100
PLAIN_VQA_step_2,86,0010110,0110100,0.0,0.0,-0.0,0110100
PLAIN_VQA_step_2,87,0010110,0110100,0.0,0.0,-0.0,0110100
PLAIN_VQA_step_2,88,1010010,0100101,2.0,-2.0,-1.0,0100101
PLAIN_VQA_step_2,89,0100110,0110010,2.0,-2.0,-1.0,0110010
PLAIN_VQA_step_2,90,0010100,0010100,-2.0,2.0,1.0,0010100
PLAIN_VQA_step_2,91,1001001,1001001,0.0,0.0,-0.0,1001001
PLAIN_VQA_step_2,92,1110000,0000111,2.0,-2.0,-1.0,0000111
PLAIN_VQA_step_2,93,0001001,1001000,-2.0,2.0,1.0,1001000
PLAIN_VQA_step_2,94,0100100,0010010,4.0,-4.0,-2.0,0010010
PLAIN_VQA_step_2,95,0101010,0101010,4.0,-4.0,-2.0,0101010
PLAIN_VQA_step_2,96,0001000,0001000,-2.0,2.0,1.0,0001000
PLAIN_VQA_step_2,97,1111001,1001111,0.0,0.0,-0.0,1001111
PLAIN_VQA_step_2,98,0110000,0000110,4.0,-4.0,-2.0,0000110
PLAIN_VQA_step_2,99,1001000,0001001,-2.0,2.0,1.0,0001001
