method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,00000000000000000000,10100001011101110111,10100001011101110111,00000000000000000000,-12.0,5.88,0.6,-0.294,-0.0,-12.0,0.6,12.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-12.0,0.6,0,strong_damping
plain_vqa,1,20,00000000000000000000,10110111010000010111,10110111010000010111,00000000000000000000,-13.0,5.98,0.65,-0.29900000000000004,-0.0,-13.0,0.65,13.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-13.0,0.65,0,strong_damping
plain_vqa,2,30,00000000000000000000,00110111011101000111,00110111011101000111,00000000000000000000,-10.0,5.12,0.5,-0.256,-0.0,-10.0,0.5,10.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-13.0,0.65,0,strong_damping
plain_vqa,3,40,00000000000000000000,00110101011101000111,00110101011101000111,00000000000000000000,-11.0,5.52,0.55,-0.27599999999999997,-0.0,-11.0,0.55,11.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-13.0,0.65,0,strong_damping
plain_vqa,4,50,00000000000000000000,10100101011101110111,10100101011101110111,00000000000000000000,-13.0,5.32,0.65,-0.266,-0.0,-13.0,0.65,13.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-13.0,0.65,0,strong_damping
plain_vqa,5,60,00000000000000000000,10100101011101110111,10100101011101110111,00000000000000000000,-13.0,5.37,0.65,-0.2685,-0.0,-13.0,0.65,13.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-13.0,0.65,0,strong_damping
ndar_vqa,0,10,00000000000000000000,11100101111001000111,11100101111001000111,00000000000000000000,-10.0,6.89,0.5,-0.3445,-0.0,-10.0,0.5,10.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-10.0,0.5,0,strong_damping
ndar_vqa,1,20,11100101111001000111,00100100001111010111,11000001110110010000,11100101111001000111,-12.0,6.43,0.6,-0.3215,0.5,-12.0,0.6,12.0,-10.0,0.5,10.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-12.0,0.6,0,strong_damping
ndar_vqa,2,30,11000001110110010000,01101111001110001111,10101110111000011111,11000001110110010000,-5.0,7.14,0.25,-0.357,0.6,-5.0,0.25,5.0,-12.0,0.6,12.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-12.0,0.6,0,strong_damping
ndar_vqa,3,40,10101110111000011111,00000000001010100101,10101110110010111010,10101110111000011111,-12.0,6.89,0.6,-0.3445,0.25,-12.0,0.6,12.0,-5.0,0.25,5.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-12.0,0.6,0,strong_damping
