method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,00000000000000000000,00111111110101000100,00111111110101000100,00000000000000000000,-1.0,13.57,0.08333333333333333,-1.1308333333333334,-0.0,-1.0,0.08333333333333333,1.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-1.0,0.08333333333333333,1,default_noise
plain_vqa,1,20,00000000000000000000,00111111010101001110,00111111010101001110,00000000000000000000,-6.0,12.02,0.5,-1.0016666666666667,-0.0,-6.0,0.5,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,0.5,1,default_noise
plain_vqa,2,30,00000000000000000000,00111111011101111110,00111111011101111110,00000000000000000000,-7.0,10.8,0.5833333333333334,-0.9,-0.0,-7.0,0.5833333333333334,7.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-7.0,0.5833333333333334,1,default_noise
plain_vqa,3,40,00000000000000000000,00111111101101111110,00111111101101111110,00000000000000000000,-5.0,9.55,0.4166666666666667,-0.7958333333333334,-0.0,-5.0,0.4166666666666667,5.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-7.0,0.5833333333333334,1,default_noise
plain_vqa,4,50,00000000000000000000,00111111101101111110,00111111101101111110,00000000000000000000,-5.0,9.82,0.4166666666666667,-0.8183333333333334,-0.0,-5.0,0.4166666666666667,5.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-7.0,0.5833333333333334,1,default_noise
plain_vqa,5,60,00000000000000000000,00111111101101111110,00111111101101111110,00000000000000000000,-5.0,9.78,0.4166666666666667,-0.815,-0.0,-5.0,0.4166666666666667,5.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-7.0,0.5833333333333334,1,default_noise
ndar_vqa,0,10,00000000000000000000,00010100101001110110,00010100101001110110,00000000000000000000,-1.0,15.07,0.08333333333333333,-1.2558333333333334,-0.0,-1.0,0.08333333333333333,1.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-1.0,0.08333333333333333,1,default_noise
ndar_vqa,1,20,00010100101001110110,00010000101001110011,00000100000000000101,00010100101001110110,3.0,16.57,-0.25,-1.3808333333333334,0.08333333333333333,3.0,-0.25,-3.0,-1.0,0.08333333333333333,1.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-1.0,0.08333333333333333,1,default_noise
ndar_vqa,2,30,00000100000000000101,00000100101010101111,00000000101010101010,00000100000000000101,-2.0,15.63,0.16666666666666666,-1.3025,-0.25,-2.0,0.16666666666666666,2.0,3.0,-0.25,-3.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,0.16666666666666666,1,default_noise
ndar_vqa,3,40,00000000101010101010,00000100001010101011,00000100100000000001,00000000101010101010,1.0,18.3,-0.08333333333333333,-1.5250000000000001,0.16666666666666666,1.0,-0.08333333333333333,-1.0,-2.0,0.16666666666666666,2.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,0.16666666666666666,1,default_noise
ndar_vqa,4,50,00000100100000000001,00100001101101010111,00100101001101010110,00000100100000000001,-1.0,15.42,0.08333333333333333,-1.285,-0.08333333333333333,-1.0,0.08333333333333333,1.0,1.0,-0.08333333333333333,-1.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,0.16666666666666666,1,default_noise
ndar_vqa,5,60,00100101001101010110,00011110111000111000,00111011110101101110,00100101001101010110,1.0,14.87,-0.08333333333333333,-1.2391666666666665,0.08333333333333333,1.0,-0.08333333333333333,-1.0,-1.0,0.08333333333333333,1.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-2.0,0.16666666666666666,1,default_noise
random_search,0,10,00000000000000000000,10111110010101110111,10111110010101110111,00000000000000000000,-4.0,15.15,0.3333333333333333,-1.2625,-0.0,-4.0,0.3333333333333333,4.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-4.0,0.3333333333333333,1,default_noise
random_search,1,20,00000000000000000000,10111110010101110111,10111110010101110111,00000000000000000000,-4.0,15.08,0.3333333333333333,-1.2566666666666666,-0.0,-4.0,0.3333333333333333,4.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-4.0,0.3333333333333333,1,default_noise
random_search,2,30,00000000000000000000,10111110010101110111,10111110010101110111,00000000000000000000,-4.0,14.96,0.3333333333333333,-1.2466666666666668,-0.0,-4.0,0.3333333333333333,4.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-4.0,0.3333333333333333,1,default_noise
random_search,3,40,00000000000000000000,10111110010101110111,10111110010101110111,00000000000000000000,-4.0,15.06,0.3333333333333333,-1.2550000000000001,-0.0,-4.0,0.3333333333333333,4.0,0.0,-0.0,0.0,Random-parameter search on original Hamiltonian; keep the best parameter vector found so far.,-4.0,0.3333333333333333,1,default_noise
