label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_NO_OPT_step_1,0,11000011001111101001,10010111110011000011,11.0,-25.0,-0.9166666666666666,11010011101001100000
NDAR_NO_OPT_step_1,1,01111110110111001100,00110011101101111110,15.0,-9.0,-1.25,01110111110111011101
NDAR_NO_OPT_step_1,2,10110010110110000100,00100001101101001101,25.0,-11.0,-2.0833333333333335,01100101110111101110
NDAR_NO_OPT_step_1,3,01110110001111101000,00010111110001101110,17.0,-15.0,-1.4166666666666667,01010011101011001101
NDAR_NO_OPT_step_1,4,01110110011101111001,10011110111001101110,23.0,-5.0,-1.9166666666666667,11011010100011001101
NDAR_NO_OPT_step_1,5,01001110110100000110,01100000101101110010,21.0,-23.0,-1.75,00100100110111010001
NDAR_NO_OPT_step_1,6,01110010010011111001,10011111001001001110,13.0,-7.0,-1.0833333333333333,11011011010011101101
NDAR_NO_OPT_step_1,7,11110001011011100010,01000111011010001111,15.0,-33.0,-1.25,00000011000000101100
NDAR_NO_OPT_step_1,8,01110001011111011100,00111011111010001110,16.0,-18.0,-1.3333333333333333,01111111100000101101
NDAR_NO_OPT_step_1,9,00110001111101001010,01010010111110001100,24.0,-14.0,-2.0,00010110100100101111
NDAR_NO_OPT_step_1,10,10000001111001101110,01110110011110000001,22.0,-20.0,-1.8333333333333333,00110010000100100010
NDAR_NO_OPT_step_1,11,11110101010011101010,01010111001010101111,12.0,-30.0,-1.0,00010011010000001100
NDAR_NO_OPT_step_1,12,11110010111100000101,10100000111101001111,21.0,-31.0,-1.75,11100100100111101100
NDAR_NO_OPT_step_1,13,00000110110111101000,00010111101101100000,15.0,-9.0,-1.25,01010011110111000011
NDAR_NO_OPT_step_1,14,11100010010000001000,00010000001001000111,10.0,-12.0,-0.8333333333333334,01010100010011100100
NDAR_NO_OPT_step_1,15,10011101011001001011,11010010011010111001,15.0,-17.0,-1.25,10010110000000011010
NDAR_NO_OPT_step_1,16,00110010011100101010,01010100111001001100,19.0,-17.0,-1.5833333333333333,00010000100011101111
NDAR_NO_OPT_step_1,17,01110001110101101010,01010110101110001110,21.0,-23.0,-1.75,00010010110100101101
NDAR_NO_OPT_step_1,18,11111101101111110101,10101111110110111111,10.0,-12.0,-0.8333333333333334,11101011101100011100
NDAR_NO_OPT_step_1,19,01110010111011110000,00001111011101001110,27.0,-5.0,-2.25,01001011000111101101
NDAR_NO_OPT_step_1,20,00100010011111001010,01010011111001000100,21.0,-7.0,-1.75,00010111100011100111
NDAR_NO_OPT_step_1,21,11010010110001000101,10100010001101001011,15.0,-29.0,-1.25,11100110010111101000
NDAR_NO_OPT_step_1,22,01001001111100001011,11010000111110010010,16.0,-14.0,-1.3333333333333333,10010100100100110001
NDAR_NO_OPT_step_1,23,10001010111011100000,00000111011101010001,27.0,-17.0,-2.25,01000011000111110010
NDAR_NO_OPT_step_1,24,01001001010111101100,00110111101010010010,10.0,-24.0,-0.8333333333333334,01110011110000110001
NDAR_NO_OPT_step_1,25,01000010101111101010,01010111110101000010,12.0,-14.0,-1.0,00010011101111100001
NDAR_NO_OPT_step_1,26,11000101011000100010,01000100011010100011,0.0,-2.0,-0.0,00000000000000000000
NDAR_NO_OPT_step_1,27,01101001001100001001,10010000110010010110,6.0,-20.0,-0.5,11010100101000110101
NDAR_NO_OPT_step_1,28,10000010101100110010,01001100110101000001,18.0,-20.0,-1.5,00001000101111100010
NDAR_NO_OPT_step_1,29,01111110100111000100,00100011100101111110,13.0,-19.0,-1.0833333333333333,01100111111111011101
NDAR_NO_OPT_step_1,30,01111110111100011001,10011000111101111110,17.0,-11.0,-1.4166666666666667,11011100100111011101
NDAR_NO_OPT_step_1,31,01110101001001111110,01111110010010101110,28.0,-22.0,-2.3333333333333335,00111010001000001101
NDAR_NO_OPT_step_1,32,10110010111100101000,00010100111101001101,18.0,-20.0,-1.5,01010000100111101110
NDAR_NO_OPT_step_1,33,00110010010100000101,10100000101001001100,19.0,-21.0,-1.5833333333333333,11100100110011101111
NDAR_NO_OPT_step_1,34,10011100110100100100,00100100101100111001,11.0,-17.0,-0.9166666666666666,01100000110110011010
NDAR_NO_OPT_step_1,35,01101010011011111000,00011111011001010110,21.0,-7.0,-1.75,01011011000011110101
NDAR_NO_OPT_step_1,36,00100010001100101000,00010100110001000100,6.0,-20.0,-0.5,01010000101011100111
NDAR_NO_OPT_step_1,37,10110011110110001000,00010001101111001101,16.0,-14.0,-1.3333333333333333,01010101110101101110
NDAR_NO_OPT_step_1,38,11110001110100010000,00001000101110001111,29.0,-19.0,-2.4166666666666665,01001100110100101100
NDAR_NO_OPT_step_1,39,00110110011111101100,00110111111001101100,32.0,-10.0,-2.6666666666666665,01110011100011001111
NDAR_NO_OPT_step_1,40,00101110111000001000,00010000011101110100,14.0,-24.0,-1.1666666666666667,01010100000111010111
NDAR_NO_OPT_step_1,41,00111101111111000000,00000011111110111100,35.0,-17.0,-2.9166666666666665,01000111100100011111
