label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_1,0,11000000010111111111,11111111101000000011,-14.0,-2.0,0.4827586206896552,00110000011100000010
NDAR_VQA_step_1,1,11101001001011000011,11000011010010010111,4.0,4.0,-0.13793103448275862,00001100100110010110
NDAR_VQA_step_1,2,01100001101001101000,00010110010110000110,-10.0,-6.0,0.3448275862068966,11011001100010000111
NDAR_VQA_step_1,3,10001011111011111101,10111111011111010001,-10.0,-6.0,0.3448275862068966,01110000101011010000
NDAR_VQA_step_1,4,00101010101011101111,11110111010101010100,10.0,-6.0,-0.3448275862068966,00111000100001010101
NDAR_VQA_step_1,5,01000010110001001011,11010010001101000010,8.0,8.0,-0.27586206896551724,00011101111001000011
NDAR_VQA_step_1,6,01001011000011011000,00011011000011010010,0.0,0.0,-0.0,11010100110111010011
NDAR_VQA_step_1,7,10110011000000100011,11000100000011001101,-2.0,-2.0,0.06896551724137931,00001011110111001100
NDAR_VQA_step_1,8,01010011101000011011,11011000010111001010,4.0,0.0,-0.13793103448275862,00010111100011001011
NDAR_VQA_step_1,9,10011110101101110011,11001110110101111001,7.0,13.0,-0.2413793103448276,00000001000001111000
NDAR_VQA_step_1,10,10010010100011111101,10111111000101001001,-11.0,3.0,0.3793103448275862,01110000110001001000
NDAR_VQA_step_1,11,00000010101101000001,10000010110101000000,-4.0,12.0,0.13793103448275862,01001101000001000001
NDAR_VQA_step_1,12,01101000001100110011,11001100110000010110,-3.0,-5.0,0.10344827586206896,00000011000100010111
NDAR_VQA_step_1,13,11100010011011111111,11111111011001000111,-10.0,-2.0,0.3448275862068966,00110000101101000110
NDAR_VQA_step_1,14,10000010010101010011,11001010101001000001,-2.0,-6.0,0.06896551724137931,00000101011101000000
NDAR_VQA_step_1,15,01111000100100101111,11110100100100011110,-5.0,1.0,0.1724137931034483,00111011010000011111
NDAR_VQA_step_1,16,11011000011001000011,11000010011000011011,-5.0,-7.0,0.1724137931034483,00001101101100011010
NDAR_VQA_step_1,17,10101000010110111000,00011101101000010101,1.0,-5.0,-0.034482758620689655,11010010011100010100
NDAR_VQA_step_1,18,01101100011011000000,00000011011000110110,8.0,8.0,-0.27586206896551724,11001100101100110111
NDAR_VQA_step_1,19,10001001011010010011,11001001011010010001,-1.0,-11.0,0.034482758620689655,00000110101110010000
NDAR_VQA_step_1,20,01001000100101001100,00110010100100010010,3.0,9.0,-0.10344827586206896,11111101010000010011
NDAR_VQA_step_1,21,01100000001000001101,10110000010000000110,2.0,14.0,-0.06896551724137931,01111111100100000111
NDAR_VQA_step_1,22,00110000101011100011,11000111010100001100,9.0,-5.0,-0.3103448275862069,00001000100000001101
NDAR_VQA_step_1,23,01110100100101011111,11111010100100101110,-2.0,-2.0,0.06896551724137931,00110101010000101111
NDAR_VQA_step_1,24,10110000001011111010,01011111010000001101,0.0,4.0,-0.0,10010000100100001100
NDAR_VQA_step_1,25,01000011010111111100,00111111101011000010,-5.0,-3.0,0.1724137931034483,11110000011111000011
NDAR_VQA_step_1,26,11111000010110001111,11110001101000011111,-2.0,2.0,0.06896551724137931,00111110011100011110
NDAR_VQA_step_1,27,00001011000101011111,11111010100011010000,16.0,4.0,-0.5517241379310345,00110101010111010001
NDAR_VQA_step_1,28,01100110000001110001,10001110000001100110,2.0,-10.0,-0.06896551724137931,01000001110101100111
NDAR_VQA_step_1,29,10111000011000000111,11100000011000011101,-3.0,-1.0,0.10344827586206896,00101111101100011100
NDAR_VQA_step_1,30,00110001011011111000,00011111011010001100,-2.0,2.0,0.06896551724137931,11010000101110001101
NDAR_VQA_step_1,31,10001011001000111101,10111100010011010001,-10.0,-10.0,0.3448275862068966,01110011100111010000
NDAR_VQA_step_1,32,00111001101000000000,00000000010110011100,-8.0,0.0,0.27586206896551724,11001111100010011101
NDAR_VQA_step_1,33,01010000010110111101,10111101101000001010,0.0,4.0,-0.0,01110010011100001011
NDAR_VQA_step_1,34,10000000000101111011,11011110100000000001,-4.0,4.0,0.13793103448275862,00010001010100000000
NDAR_VQA_step_1,35,10110010000111001100,00110011100001001101,1.0,-1.0,-0.034482758620689655,11111100010101001100
NDAR_VQA_step_1,36,11010000010110001110,01110001101000001011,-1.0,5.0,0.034482758620689655,10111110011100001010
NDAR_VQA_step_1,37,00000000010000111101,10111100001000000000,4.0,4.0,-0.13793103448275862,01110011111100000001
NDAR_VQA_step_1,38,10110000001011000111,11100011010000001101,-9.0,1.0,0.3103448275862069,00101100100100001100
NDAR_VQA_step_1,39,10000010101000000011,11000000010101000001,-12.0,8.0,0.41379310344827586,00001111100001000000
NDAR_VQA_step_1,40,00101010100101110011,11001110100101010100,2.0,2.0,-0.06896551724137931,00000001010001010101
NDAR_VQA_step_1,41,10111011101000010001,10001000010111011101,-12.0,-4.0,0.41379310344827586,01000111100011011100
NDAR_VQA_step_1,42,00110000001101111110,01111110110000001100,-4.0,4.0,0.13793103448275862,10110001000100001101
