label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_0,0,10010101111001010010,01001010011110101001,-12.0,12.0,0.34285714285714286,01001010011110101001
PLAIN_VQA_step_0,1,11111011000111111101,10111111100011011111,-3.0,3.0,0.08571428571428572,10111111100011011111
PLAIN_VQA_step_0,2,11011011011100110001,10001100111011011011,-4.0,4.0,0.11428571428571428,10001100111011011011
PLAIN_VQA_step_0,3,11101000001001010011,11001010010000010111,-11.0,11.0,0.3142857142857143,11001010010000010111
PLAIN_VQA_step_0,4,01000101111000000101,10100000011110100010,4.0,-4.0,-0.11428571428571428,10100000011110100010
PLAIN_VQA_step_0,5,00001100111000000110,01100000011100110000,-7.0,7.0,0.2,01100000011100110000
PLAIN_VQA_step_0,6,00100101001001010000,00001010010010100100,-2.0,2.0,0.05714285714285714,00001010010010100100
PLAIN_VQA_step_0,7,11101000111000110010,01001100011100010111,-2.0,2.0,0.05714285714285714,01001100011100010111
PLAIN_VQA_step_0,8,00111001110001010010,01001010001110011100,-17.0,17.0,0.4857142857142857,01001010001110011100
PLAIN_VQA_step_0,9,11110111100100111001,10011100100111101111,1.0,-1.0,-0.02857142857142857,10011100100111101111
PLAIN_VQA_step_0,10,00111011001110111001,10011101110011011100,4.0,-4.0,-0.11428571428571428,10011101110011011100
PLAIN_VQA_step_0,11,00101100001111100010,01000111110000110100,3.0,-3.0,-0.08571428571428572,01000111110000110100
PLAIN_VQA_step_0,12,00000000001000111110,01111100010000000000,-8.0,8.0,0.22857142857142856,01111100010000000000
PLAIN_VQA_step_0,13,11011001001000110110,01101100010010011011,-6.0,6.0,0.17142857142857143,01101100010010011011
PLAIN_VQA_step_0,14,11111010111000111111,11111100011101011111,1.0,-1.0,-0.02857142857142857,11111100011101011111
PLAIN_VQA_step_0,15,10001111001011110001,10001111010011110001,-9.0,9.0,0.2571428571428571,10001111010011110001
PLAIN_VQA_step_0,16,10001000001001100010,01000110010000010001,-6.0,6.0,0.17142857142857143,01000110010000010001
PLAIN_VQA_step_0,17,11010101110110110111,11101101101110101011,0.0,0.0,-0.0,11101101101110101011
PLAIN_VQA_step_0,18,11111000110110111111,11111101101100011111,-1.0,1.0,0.02857142857142857,11111101101100011111
PLAIN_VQA_step_0,19,10101001010100000001,10000000101010010101,-11.0,11.0,0.3142857142857143,10000000101010010101
PLAIN_VQA_step_0,20,00000011100101111111,11111110100111000000,3.0,-3.0,-0.08571428571428572,11111110100111000000
PLAIN_VQA_step_0,21,11110001110011010110,01101011001110001111,2.0,-2.0,-0.05714285714285714,01101011001110001111
PLAIN_VQA_step_0,22,11101001110000110110,01101100001110010111,-1.0,1.0,0.02857142857142857,01101100001110010111
PLAIN_VQA_step_0,23,00000100110100111000,00011100101100100000,-9.0,9.0,0.2571428571428571,00011100101100100000
PLAIN_VQA_step_0,24,10111100110110111001,10011101101100111101,-1.0,1.0,0.02857142857142857,10011101101100111101
PLAIN_VQA_step_0,25,00000000111001010001,10001010011100000000,-6.0,6.0,0.17142857142857143,10001010011100000000
PLAIN_VQA_step_0,26,11011000110100110001,10001100101100011011,-4.0,4.0,0.11428571428571428,10001100101100011011
PLAIN_VQA_step_0,27,11101011110111010011,11001011101111010111,-10.0,10.0,0.2857142857142857,11001011101111010111
PLAIN_VQA_step_0,28,00100101111100001111,11110000111110100100,-9.0,9.0,0.2571428571428571,11110000111110100100
PLAIN_VQA_step_0,29,10000000111010000110,01100001011100000001,3.0,-3.0,-0.08571428571428572,01100001011100000001
PLAIN_VQA_step_0,30,01010100111110111001,10011101111100101010,-20.0,20.0,0.5714285714285714,10011101111100101010
PLAIN_VQA_step_0,31,00110100001111110001,10001111110000101100,-2.0,2.0,0.05714285714285714,10001111110000101100
PLAIN_VQA_step_0,32,00011101001101010100,00101010110010111000,13.0,-13.0,-0.37142857142857144,00101010110010111000
PLAIN_VQA_step_0,33,10000011001000111010,01011100010011000001,-14.0,14.0,0.4,01011100010011000001
PLAIN_VQA_step_0,34,10010101001010001111,11110001010010101001,-4.0,4.0,0.11428571428571428,11110001010010101001
PLAIN_VQA_step_0,35,01101001111110001111,11110001111110010110,-1.0,1.0,0.02857142857142857,11110001111110010110
PLAIN_VQA_step_0,36,11011000110110000010,01000001101100011011,-5.0,5.0,0.14285714285714285,01000001101100011011
PLAIN_VQA_step_0,37,11100101001100110110,01101100110010100111,-9.0,9.0,0.2571428571428571,01101100110010100111
PLAIN_VQA_step_0,38,11010100110111110010,01001111101100101011,-12.0,12.0,0.34285714285714286,01001111101100101011
PLAIN_VQA_step_0,39,00010101001110111111,11111101110010101000,0.0,0.0,-0.0,11111101110010101000
PLAIN_VQA_step_0,40,11101101011000110111,11101100011010110111,-15.0,15.0,0.42857142857142855,11101100011010110111
PLAIN_VQA_step_0,41,00001000010110100110,01100101101000010000,-3.0,3.0,0.08571428571428572,01100101101000010000
PLAIN_VQA_step_0,42,11100101000100000000,00000000100010100111,-2.0,2.0,0.05714285714285714,00000000100010100111
PLAIN_VQA_step_0,43,10011001100000001001,10010000000110011001,-13.0,13.0,0.37142857142857144,10010000000110011001
PLAIN_VQA_step_0,44,11100100001000111001,10011100010000100111,-13.0,13.0,0.37142857142857144,10011100010000100111
PLAIN_VQA_step_0,45,01100100111110000110,01100001111100100110,-12.0,12.0,0.34285714285714286,01100001111100100110
PLAIN_VQA_step_0,46,00111000000001110010,01001110000000011100,-5.0,5.0,0.14285714285714285,01001110000000011100
PLAIN_VQA_step_0,47,10001000001000110001,10001100010000010001,-4.0,4.0,0.11428571428571428,10001100010000010001
PLAIN_VQA_step_0,48,11110101110000110111,11101100001110101111,3.0,-3.0,-0.08571428571428572,11101100001110101111
PLAIN_VQA_step_0,49,10010100110000000010,01000000001100101001,-6.0,6.0,0.17142857142857143,01000000001100101001
PLAIN_VQA_step_0,50,11011000101001010011,11001010010100011011,-6.0,6.0,0.17142857142857143,11001010010100011011
PLAIN_VQA_step_0,51,00110100111100110111,11101100111100101100,-10.0,10.0,0.2857142857142857,11101100111100101100
PLAIN_VQA_step_0,52,11111011100110111000,00011101100111011111,1.0,-1.0,-0.02857142857142857,00011101100111011111
PLAIN_VQA_step_0,53,11110111111101011000,00011010111111101111,-12.0,12.0,0.34285714285714286,00011010111111101111
