label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_3,0,00110100000100111101,10111100100000101100,4.0,-3.0,-0.2,00001100010101101100
NDAR_VQA_step_3,1,01101100000000110101,10101100000000110110,17.0,6.0,-0.85,00011100110101110110
NDAR_VQA_step_3,2,10001100110000000110,01100000001100110001,8.0,-11.0,-0.4,11010000111001110001
NDAR_VQA_step_3,3,10000100010000110011,11001100001000100001,-8.0,-11.0,0.4,01111100111101100001
NDAR_VQA_step_3,4,10110100010100101011,11010100101000101101,-3.0,-6.0,0.15,01100100011101101101
NDAR_VQA_step_3,5,10001111011000110011,11001100011011110001,16.0,-7.0,-0.8,01111100101110110001
NDAR_VQA_step_3,6,10000100000100001101,10110000100000100001,3.0,-20.0,-0.15,00000000010101100001
NDAR_VQA_step_3,7,00000100011001100111,11100110011000100000,-1.0,-12.0,0.05,01010110101101100000
NDAR_VQA_step_3,8,11101100000100111101,10111100100000110111,8.0,1.0,-0.4,00001100010101110111
NDAR_VQA_step_3,9,01001110000000001100,00110000000001110010,-1.0,-16.0,0.05,10000000110100110010
NDAR_VQA_step_3,10,11110100010100000110,01100000101000101111,10.0,-17.0,-0.5,11010000011101101111
NDAR_VQA_step_3,11,11110100001101101110,01110110110000101111,13.0,-10.0,-0.65,11000110000101101111
NDAR_VQA_step_3,12,11010001100010111011,11011101000110001011,0.0,-11.0,-0.0,01101101110011001011
NDAR_VQA_step_3,13,11001110000010111101,10111101000001110011,8.0,-15.0,-0.4,00001101110100110011
NDAR_VQA_step_3,14,01000111111111110010,01001111111111100010,2.0,-9.0,-0.1,11111111001010100010
NDAR_VQA_step_3,15,10001100000100001001,10010000100000110001,-5.0,-16.0,0.25,00100000010101110001
NDAR_VQA_step_3,16,01101100011100000010,01000000111000110110,-3.0,-18.0,0.15,11110000001101110110
NDAR_VQA_step_3,17,00000100001101011011,11011010110000100000,-3.0,-6.0,0.15,01101010000101100000
NDAR_VQA_step_3,18,11001110000111010011,11001011100001110011,2.0,-13.0,-0.1,01111011010100110011
NDAR_VQA_step_3,19,11001110000011100100,00100111000001110011,-2.0,-13.0,0.1,10010111110100110011
NDAR_VQA_step_3,20,11100110011001100101,10100110011001100111,10.0,3.0,-0.5,00010110101100100111
NDAR_VQA_step_3,21,11101100010100101010,01010100101000110111,-9.0,-16.0,0.45,11100100011101110111
