label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_2,0,00100000001001111001,10011110010000000100,-1.0,1.0,0.023809523809523808,10011110010000000100
PLAIN_VQA_step_2,1,01000101010110001010,01010001101010100010,-4.0,4.0,0.09523809523809523,01010001101010100010
PLAIN_VQA_step_2,2,00101110111011110010,01001111011101110100,-4.0,4.0,0.09523809523809523,01001111011101110100
PLAIN_VQA_step_2,3,10010010010110101001,10010101101001001001,-25.0,25.0,0.5952380952380952,10010101101001001001
PLAIN_VQA_step_2,4,00100011010000101010,01010100001011000100,-21.0,21.0,0.5,01010100001011000100
PLAIN_VQA_step_2,5,10010011010101110010,01001110101011001001,-24.0,24.0,0.5714285714285714,01001110101011001001
PLAIN_VQA_step_2,6,11111111101010100001,10000101010111111111,-17.0,17.0,0.40476190476190477,10000101010111111111
PLAIN_VQA_step_2,7,10001110010010001011,11010001001001110001,-13.0,13.0,0.30952380952380953,11010001001001110001
PLAIN_VQA_step_2,8,11010101101010000101,10100001010110101011,-18.0,18.0,0.42857142857142855,10100001010110101011
PLAIN_VQA_step_2,9,10101110111010001010,01010001011101110101,-15.0,15.0,0.35714285714285715,01010001011101110101
PLAIN_VQA_step_2,10,11010100010000111010,01011100001000101011,-5.0,5.0,0.11904761904761904,01011100001000101011
PLAIN_VQA_step_2,11,11100101100001110000,00001110000110100111,-11.0,11.0,0.2619047619047619,00001110000110100111
PLAIN_VQA_step_2,12,10011101101010111100,00111101010110111001,-18.0,18.0,0.42857142857142855,00111101010110111001
PLAIN_VQA_step_2,13,11000011011110101001,10010101111011000011,-13.0,13.0,0.30952380952380953,10010101111011000011
PLAIN_VQA_step_2,14,00101000001101001000,00010010110000010100,0.0,0.0,-0.0,00010010110000010100
PLAIN_VQA_step_2,15,00101110110101001100,00110010101101110100,-6.0,6.0,0.14285714285714285,00110010101101110100
PLAIN_VQA_step_2,16,10011000110010111110,01111101001100011001,-15.0,15.0,0.35714285714285715,01111101001100011001
PLAIN_VQA_step_2,17,00010010111001110011,11001110011101001000,-12.0,12.0,0.2857142857142857,11001110011101001000
PLAIN_VQA_step_2,18,10001111010100000111,11100000101011110001,-12.0,12.0,0.2857142857142857,11100000101011110001
PLAIN_VQA_step_2,19,00101101001010110010,01001101010010110100,-19.0,19.0,0.4523809523809524,01001101010010110100
PLAIN_VQA_step_2,20,01101100011001101010,01010110011000110110,-4.0,4.0,0.09523809523809523,01010110011000110110
PLAIN_VQA_step_2,21,01001101100001001010,01010010000110110010,-6.0,6.0,0.14285714285714285,01010010000110110010
PLAIN_VQA_step_2,22,00111101000010001000,00010001000010111100,-5.0,5.0,0.11904761904761904,00010001000010111100
PLAIN_VQA_step_2,23,00101101110110011111,11111001101110110100,-19.0,19.0,0.4523809523809524,11111001101110110100
PLAIN_VQA_step_2,24,00101011011010000010,01000001011011010100,-12.0,12.0,0.2857142857142857,01000001011011010100
PLAIN_VQA_step_2,25,11100011010110111011,11011101101011000111,-17.0,17.0,0.40476190476190477,11011101101011000111
PLAIN_VQA_step_2,26,00101100110010111000,00011101001100110100,-5.0,5.0,0.11904761904761904,00011101001100110100
PLAIN_VQA_step_2,27,11101000010010001000,00010001001000010111,-3.0,3.0,0.07142857142857142,00010001001000010111
PLAIN_VQA_step_2,28,00011111011101111011,11011110111011111000,-6.0,6.0,0.14285714285714285,11011110111011111000
PLAIN_VQA_step_2,29,11111100110110110011,11001101101100111111,-10.0,10.0,0.23809523809523808,11001101101100111111
PLAIN_VQA_step_2,30,11101101101100101010,01010100110110110111,-10.0,10.0,0.23809523809523808,01010100110110110111
PLAIN_VQA_step_2,31,10100000111010010001,10001001011100000101,-18.0,18.0,0.42857142857142855,10001001011100000101
PLAIN_VQA_step_2,32,11101111010101000000,00000010101011110111,-10.0,10.0,0.23809523809523808,00000010101011110111
PLAIN_VQA_step_2,33,01101101010010110001,10001101001010110110,-4.0,4.0,0.09523809523809523,10001101001010110110
