label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
RANDOM_SEARCH_step_0,0,00010110110110100100,00100101101101101000,-11.0,11.0,0.2619047619047619,00100101101101101000
RANDOM_SEARCH_step_0,1,11100000011101100101,10100110111000000111,4.0,-4.0,-0.09523809523809523,10100110111000000111
RANDOM_SEARCH_step_0,2,00011010100101010101,10101010100101011000,-19.0,19.0,0.4523809523809524,10101010100101011000
RANDOM_SEARCH_step_0,3,00010011110101110100,00101110101111001000,-22.0,22.0,0.5238095238095238,00101110101111001000
RANDOM_SEARCH_step_0,4,00001100001001100100,00100110010000110000,-8.0,8.0,0.19047619047619047,00100110010000110000
RANDOM_SEARCH_step_0,5,11110100101101101001,10010110110100101111,-18.0,18.0,0.42857142857142855,10010110110100101111
RANDOM_SEARCH_step_0,6,10110111110100100101,10100100101111101101,0.0,0.0,-0.0,10100100101111101101
RANDOM_SEARCH_step_0,7,01110100010010011011,11011001001000101110,-2.0,2.0,0.047619047619047616,11011001001000101110
RANDOM_SEARCH_step_0,8,01010111010000111101,10111100001011101010,-11.0,11.0,0.2619047619047619,10111100001011101010
RANDOM_SEARCH_step_0,9,00010100011100000111,11100000111000101000,-16.0,16.0,0.38095238095238093,11100000111000101000
RANDOM_SEARCH_step_0,10,00000000110100100101,10100100101100000000,-16.0,16.0,0.38095238095238093,10100100101100000000
RANDOM_SEARCH_step_0,11,01101100111001100101,10100110011100110110,-7.0,7.0,0.16666666666666666,10100110011100110110
RANDOM_SEARCH_step_0,12,00110100110001100100,00100110001100101100,-2.0,2.0,0.047619047619047616,00100110001100101100
RANDOM_SEARCH_step_0,13,11000011110101111010,01011110101111000011,-20.0,20.0,0.47619047619047616,01011110101111000011
RANDOM_SEARCH_step_0,14,00010111010110010001,10001001101011101000,-3.0,3.0,0.07142857142857142,10001001101011101000
RANDOM_SEARCH_step_0,15,00000111010101010101,10101010101011100000,-17.0,17.0,0.40476190476190477,10101010101011100000
RANDOM_SEARCH_step_0,16,10110100000010101000,00010101000000101101,-1.0,1.0,0.023809523809523808,00010101000000101101
RANDOM_SEARCH_step_0,17,11110111100001101001,10010110000111101111,-10.0,10.0,0.23809523809523808,10010110000111101111
RANDOM_SEARCH_step_0,18,00001111001100100001,10000100110011110000,-6.0,6.0,0.14285714285714285,10000100110011110000
RANDOM_SEARCH_step_0,19,11000001111010011110,01111001011110000011,-7.0,7.0,0.16666666666666666,01111001011110000011
RANDOM_SEARCH_step_0,20,01011100110100011111,11111000101100111010,0.0,0.0,-0.0,11111000101100111010
RANDOM_SEARCH_step_0,21,00011010010100111010,01011100101001011000,-23.0,23.0,0.5476190476190477,01011100101001011000
RANDOM_SEARCH_step_0,22,01110100111111100101,10100111111100101110,-11.0,11.0,0.2619047619047619,10100111111100101110
RANDOM_SEARCH_step_0,23,11010111101001011111,11111010010111101011,-2.0,2.0,0.047619047619047616,11111010010111101011
RANDOM_SEARCH_step_0,24,00010111011001100111,11100110011011101000,-3.0,3.0,0.07142857142857142,11100110011011101000
RANDOM_SEARCH_step_0,25,00000000111101100101,10100110111100000000,-2.0,2.0,0.047619047619047616,10100110111100000000
RANDOM_SEARCH_step_0,26,00100000011001011101,10111010011000000100,0.0,0.0,-0.0,10111010011000000100
RANDOM_SEARCH_step_0,27,11010100000110000110,01100001100000101011,-4.0,4.0,0.09523809523809523,01100001100000101011
RANDOM_SEARCH_step_0,28,00001100110100111010,01011100101100110000,-5.0,5.0,0.11904761904761904,01011100101100110000
RANDOM_SEARCH_step_0,29,00001010010101010010,01001010101001010000,-21.0,21.0,0.5,01001010101001010000
RANDOM_SEARCH_step_0,30,01000110101110011001,10011001110101100010,-6.0,6.0,0.14285714285714285,10011001110101100010
RANDOM_SEARCH_step_0,31,11001101000101100100,00100110100010110011,-17.0,17.0,0.40476190476190477,00100110100010110011
RANDOM_SEARCH_step_0,32,00001101110000000110,01100000001110110000,-5.0,5.0,0.11904761904761904,01100000001110110000
RANDOM_SEARCH_step_0,33,01100100010100010100,00101000101000100110,-5.0,5.0,0.11904761904761904,00101000101000100110
RANDOM_SEARCH_step_0,34,00000110010110111000,00011101101001100000,-14.0,14.0,0.3333333333333333,00011101101001100000
RANDOM_SEARCH_step_0,35,00010111111100101100,00110100111111101000,-11.0,11.0,0.2619047619047619,00110100111111101000
RANDOM_SEARCH_step_0,36,10000010010101101110,01110110101001000001,-25.0,25.0,0.5952380952380952,01110110101001000001
RANDOM_SEARCH_step_0,37,00101101110011011100,00111011001110110100,-7.0,7.0,0.16666666666666666,00111011001110110100
RANDOM_SEARCH_step_0,38,00010111010001110000,00001110001011101000,-12.0,12.0,0.2857142857142857,00001110001011101000
RANDOM_SEARCH_step_0,39,00101010111011111110,01111111011101010100,1.0,-1.0,-0.023809523809523808,01111111011101010100
RANDOM_SEARCH_step_0,40,01110100011001011100,00111010011000101110,-2.0,2.0,0.047619047619047616,00111010011000101110
RANDOM_SEARCH_step_0,41,00111010000000101011,11010100000001011100,0.0,0.0,-0.0,11010100000001011100
RANDOM_SEARCH_step_0,42,00011011110000111001,10011100001111011000,-4.0,4.0,0.09523809523809523,10011100001111011000
RANDOM_SEARCH_step_0,43,11110000100100011010,01011000100100001111,-1.0,1.0,0.023809523809523808,01011000100100001111
RANDOM_SEARCH_step_0,44,10000000110100110101,10101100101100000001,-20.0,20.0,0.47619047619047616,10101100101100000001
RANDOM_SEARCH_step_0,45,00101100010100100010,01000100101000110100,-3.0,3.0,0.07142857142857142,01000100101000110100
RANDOM_SEARCH_step_0,46,11000010110100100000,00000100101101000011,-17.0,17.0,0.40476190476190477,00000100101101000011
RANDOM_SEARCH_step_0,47,00010111001101110011,11001110110011101000,-7.0,7.0,0.16666666666666666,11001110110011101000
RANDOM_SEARCH_step_0,48,00001010011110111100,00111101111001010000,-16.0,16.0,0.38095238095238093,00111101111001010000
RANDOM_SEARCH_step_0,49,11000100010101101100,00110110101000100011,-17.0,17.0,0.40476190476190477,00110110101000100011
RANDOM_SEARCH_step_0,50,00010100111011100100,00100111011100101000,-9.0,9.0,0.21428571428571427,00100111011100101000
RANDOM_SEARCH_step_0,51,00010111000000111001,10011100000011101000,2.0,-2.0,-0.047619047619047616,10011100000011101000
RANDOM_SEARCH_step_0,52,01111111110110001000,00010001101111111110,-4.0,4.0,0.09523809523809523,00010001101111111110
RANDOM_SEARCH_step_0,53,11000011110110101110,01110101101111000011,-14.0,14.0,0.3333333333333333,01110101101111000011
RANDOM_SEARCH_step_0,54,10111010001111110000,00001111110001011101,-9.0,9.0,0.21428571428571427,00001111110001011101
RANDOM_SEARCH_step_0,55,01010101010110110101,10101101101010101010,-15.0,15.0,0.35714285714285715,10101101101010101010
RANDOM_SEARCH_step_0,56,11110101110110101100,00110101101110101111,-13.0,13.0,0.30952380952380953,00110101101110101111
RANDOM_SEARCH_step_0,57,00010111010101100011,11000110101011101000,-22.0,22.0,0.5238095238095238,11000110101011101000
RANDOM_SEARCH_step_0,58,01110000011100111011,11011100111000001110,-21.0,21.0,0.5,11011100111000001110
RANDOM_SEARCH_step_0,59,00001100001111110000,00001111110000110000,-12.0,12.0,0.2857142857142857,00001111110000110000
RANDOM_SEARCH_step_0,60,11000100110101101101,10110110101100100011,-17.0,17.0,0.40476190476190477,10110110101100100011
RANDOM_SEARCH_step_0,61,11001000011001101001,10010110011000010011,-7.0,7.0,0.16666666666666666,10010110011000010011
RANDOM_SEARCH_step_0,62,00011100110101100101,10100110101100111000,-12.0,12.0,0.2857142857142857,10100110101100111000
RANDOM_SEARCH_step_0,63,11000001110100101100,00110100101110000011,-13.0,13.0,0.30952380952380953,00110100101110000011
RANDOM_SEARCH_step_0,64,11001100011100101001,10010100111000110011,-10.0,10.0,0.23809523809523808,10010100111000110011
RANDOM_SEARCH_step_0,65,11110100010111111010,01011111101000101111,-9.0,9.0,0.21428571428571427,01011111101000101111
RANDOM_SEARCH_step_0,66,01010111001100100000,00000100110011101010,-18.0,18.0,0.42857142857142855,00000100110011101010
RANDOM_SEARCH_step_0,67,00010100100101111010,01011110100100101000,1.0,-1.0,-0.023809523809523808,01011110100100101000
RANDOM_SEARCH_step_0,68,00011001111001100101,10100110011110011000,2.0,-2.0,-0.047619047619047616,10100110011110011000
RANDOM_SEARCH_step_0,69,01010100010010111010,01011101001000101010,-1.0,1.0,0.023809523809523808,01011101001000101010
RANDOM_SEARCH_step_0,70,11111010010101010110,01101010101001011111,-6.0,6.0,0.14285714285714285,01101010101001011111
RANDOM_SEARCH_step_0,71,00000000010000101000,00010100001000000000,-9.0,9.0,0.21428571428571427,00010100001000000000
RANDOM_SEARCH_step_0,72,00010111110011100000,00000111001111101000,-5.0,5.0,0.11904761904761904,00000111001111101000
RANDOM_SEARCH_step_0,73,00010100110110100011,11000101101100101000,-9.0,9.0,0.21428571428571427,11000101101100101000
RANDOM_SEARCH_step_0,74,00111001001110101001,10010101110010011100,-6.0,6.0,0.14285714285714285,10010101110010011100
RANDOM_SEARCH_step_0,75,00001011011001110010,01001110011011010000,-13.0,13.0,0.30952380952380953,01001110011011010000
RANDOM_SEARCH_step_0,76,01011001010100101101,10110100101010011010,-12.0,12.0,0.2857142857142857,10110100101010011010
RANDOM_SEARCH_step_0,77,11011001110001101110,01110110001110011011,-12.0,12.0,0.2857142857142857,01110110001110011011
RANDOM_SEARCH_step_0,78,11010111111001101001,10010110011111101011,-13.0,13.0,0.30952380952380953,10010110011111101011
RANDOM_SEARCH_step_0,79,00000000111101100101,10100110111100000000,-2.0,2.0,0.047619047619047616,10100110111100000000
RANDOM_SEARCH_step_0,80,01101011100110011000,00011001100111010110,-14.0,14.0,0.3333333333333333,00011001100111010110
RANDOM_SEARCH_step_0,81,10010001110111100011,11000111101110001001,-9.0,9.0,0.21428571428571427,11000111101110001001
RANDOM_SEARCH_step_0,82,01010110011100000101,10100000111001101010,-15.0,15.0,0.35714285714285715,10100000111001101010
RANDOM_SEARCH_step_0,83,01010111001101101100,00110110110011101010,-25.0,25.0,0.5952380952380952,00110110110011101010
RANDOM_SEARCH_step_0,84,00110111110101110110,01101110101111101100,-5.0,5.0,0.11904761904761904,01101110101111101100
RANDOM_SEARCH_step_0,85,00010100010101110110,01101110101000101000,-23.0,23.0,0.5476190476190477,01101110101000101000
RANDOM_SEARCH_step_0,86,00110011111001111010,01011110011111001100,-6.0,6.0,0.14285714285714285,01011110011111001100
RANDOM_SEARCH_step_0,87,00001100100100101001,10010100100100110000,-7.0,7.0,0.16666666666666666,10010100100100110000
RANDOM_SEARCH_step_0,88,00000101010000010110,01101000001010100000,-8.0,8.0,0.19047619047619047,01101000001010100000
RANDOM_SEARCH_step_0,89,00011011010000101000,00010100001011011000,-13.0,13.0,0.30952380952380953,00010100001011011000
RANDOM_SEARCH_step_0,90,00011010110110010001,10001001101101011000,-9.0,9.0,0.21428571428571427,10001001101101011000
RANDOM_SEARCH_step_0,91,10011001110101101110,01110110101110011001,-12.0,12.0,0.2857142857142857,01110110101110011001
RANDOM_SEARCH_step_0,92,10110111011101111101,10111110111011101101,-3.0,3.0,0.07142857142857142,10111110111011101101
RANDOM_SEARCH_step_0,93,01100000010110010110,01101001101000000110,-4.0,4.0,0.09523809523809523,01101001101000000110
RANDOM_SEARCH_step_0,94,10010100101100111101,10111100110100101001,-15.0,15.0,0.35714285714285715,10111100110100101001
RANDOM_SEARCH_step_0,95,00010100100101100011,11000110100100101000,-10.0,10.0,0.23809523809523808,11000110100100101000
RANDOM_SEARCH_step_0,96,00011100001110101000,00010101110000111000,-6.0,6.0,0.14285714285714285,00010101110000111000
RANDOM_SEARCH_step_0,97,00010111001000111110,01111100010011101000,-8.0,8.0,0.19047619047619047,01111100010011101000
RANDOM_SEARCH_step_0,98,00010100010110100101,10100101101000101000,-22.0,22.0,0.5238095238095238,10100101101000101000
RANDOM_SEARCH_step_0,99,00010100100101111101,10111110100100101000,-12.0,12.0,0.2857142857142857,10111110100100101000
