label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_NO_OPT_step_5,0,11010010010011001101,10110011001001001011,3.0,-10.0,-0.10344827586206896,01010100100010100010
NDAR_NO_OPT_step_5,1,00101011010100110100,00101100101011010100,8.0,-5.0,-0.27586206896551724,11001011000000111101
NDAR_NO_OPT_step_5,2,01010010110011000100,00100011001101001010,3.0,-6.0,-0.10344827586206896,11000100100110100011
NDAR_NO_OPT_step_5,3,10011000011011001110,01110011011000011001,9.0,-8.0,-0.3103448275862069,10010100110011110000
NDAR_NO_OPT_step_5,4,01101011111011011100,00111011011111010110,-4.0,-1.0,0.13793103448275862,11011100110100111111
NDAR_NO_OPT_step_5,5,01011100011011000100,00100011011000111010,2.0,5.0,-0.06896551724137931,11000100110011010011
NDAR_NO_OPT_step_5,6,01110011110000010111,11101000001111001110,6.0,-3.0,-0.20689655172413793,00001111100100100111
NDAR_NO_OPT_step_5,7,10010101110111101001,10010111101110101001,-7.0,-4.0,0.2413793103448276,01110000000101000000
NDAR_NO_OPT_step_5,8,01010100101101110010,01001110110100101010,-5.0,10.0,0.1724137931034483,10101001011111000011
NDAR_NO_OPT_step_5,9,01010100100110010100,00101001100100101010,-15.0,8.0,0.5172413793103449,11001110001111000011
NDAR_NO_OPT_step_5,10,01110011011010011100,00111001011011001110,-2.0,1.0,0.06896551724137931,11011110110000100111
NDAR_NO_OPT_step_5,11,11111111110001001110,01110010001111111111,-1.0,10.0,0.034482758620689655,10010101100100010110
NDAR_NO_OPT_step_5,12,11110100011111010100,00101011111000101111,1.0,8.0,-0.034482758620689655,11001100010011000110
NDAR_NO_OPT_step_5,13,10001100010100001110,01110000101000110001,-1.0,-6.0,0.034482758620689655,10010111000011011000
NDAR_NO_OPT_step_5,14,01010011010011111100,00111111001011001010,0.0,-9.0,-0.0,11011000100000100011
NDAR_NO_OPT_step_5,15,00010110010111010110,01101011101001101000,7.0,-2.0,-0.2413793103448276,10001100000010000001
NDAR_NO_OPT_step_5,16,01001010110110010010,01001001101101010010,2.0,-3.0,-0.06896551724137931,10101110000110111011
NDAR_NO_OPT_step_5,17,10110010110000111011,11011100001101001101,-4.0,11.0,0.13793103448275862,00111011100110100100
NDAR_NO_OPT_step_5,18,10111011100000001100,00110000000111011101,0.0,-1.0,-0.0,11010111101100110100
NDAR_NO_OPT_step_5,19,00000101010011101010,01010111001010100000,1.0,-4.0,-0.034482758620689655,10110000100001001001
NDAR_NO_OPT_step_5,20,01100101110000001110,01110000001110100110,4.0,15.0,-0.13793103448275862,10010111100101001111
NDAR_NO_OPT_step_5,21,00110101010011011100,00111011001010101100,-1.0,6.0,0.034482758620689655,11011100100001000101
NDAR_NO_OPT_step_5,22,10011111011111101000,00010111111011111001,-6.0,5.0,0.20689655172413793,11110000010000010000
NDAR_NO_OPT_step_5,23,11010111010101101010,01010110101011101011,-1.0,6.0,0.034482758620689655,10110001000000000010
NDAR_NO_OPT_step_5,24,00010100110111101000,00010111101100101000,-4.0,-5.0,0.13793103448275862,11110000000111000001
NDAR_NO_OPT_step_5,25,00001101100000001101,10110000000110110000,-12.0,-1.0,0.41379310344827586,01010111101101011001
NDAR_NO_OPT_step_5,26,11110000110001000100,00100010001100001111,1.0,4.0,-0.034482758620689655,11000101100111100110
NDAR_NO_OPT_step_5,27,11010111110011001010,01010011001111101011,-3.0,0.0,0.10344827586206896,10110100100100000010
NDAR_NO_OPT_step_5,28,00110111010010101110,01110101001011101100,6.0,-3.0,-0.20689655172413793,10010010100000000101
NDAR_NO_OPT_step_5,29,00111101110011110100,00101111001110111100,3.0,2.0,-0.10344827586206896,11001000100101010101
NDAR_NO_OPT_step_5,30,10100101010010100101,10100101001010100101,6.0,5.0,-0.20689655172413793,01000010100001001100
NDAR_NO_OPT_step_5,31,11101110101100110101,10101100110101110111,8.0,-9.0,-0.27586206896551724,01001011011110011110
NDAR_NO_OPT_step_5,32,00011000100001101010,01010110000100011000,-2.0,5.0,0.06896551724137931,10110001101111110001
NDAR_NO_OPT_step_5,33,01000011011100000100,00100000111011000010,-4.0,3.0,0.13793103448275862,11000111010000101011
NDAR_NO_OPT_step_5,34,10010011011011001001,10010011011011001001,-5.0,-6.0,0.1724137931034483,01110100110000100000
NDAR_NO_OPT_step_5,35,10010101110000000101,10100000001110101001,-19.0,0.0,0.6551724137931034,01000111100101000000
NDAR_NO_OPT_step_5,36,11100101101000011010,01011000010110100111,9.0,12.0,-0.3103448275862069,10111111111101001110
NDAR_NO_OPT_step_5,37,10110000010001101000,00010110001000001101,-10.0,-3.0,0.3448275862068966,11110001100011100100
NDAR_NO_OPT_step_5,38,10010111100011111001,10011111000111101001,-7.0,0.0,0.2413793103448276,01111000101100000000
NDAR_NO_OPT_step_5,39,00010100100000111010,01011100000100101000,-8.0,3.0,0.27586206896551724,10111011101111000001
NDAR_NO_OPT_step_5,40,10110110001111010000,00001011110001101101,7.0,-2.0,-0.2413793103448276,11101100011010000100
NDAR_NO_OPT_step_5,41,00111011110110011001,10011001101111011100,9.0,4.0,-0.3103448275862069,01111110000100110101
NDAR_NO_OPT_step_5,42,11110010010011011010,01011011001001001111,2.0,-11.0,-0.06896551724137931,10111100100010100110
NDAR_NO_OPT_step_5,43,10001111111011110110,01101111011111110001,-9.0,-6.0,0.3103448275862069,10001000110100011000
NDAR_NO_OPT_step_5,44,00010011010100110001,10001100101011001000,9.0,-4.0,-0.3103448275862069,01101011000000100001
NDAR_NO_OPT_step_5,45,01010001111000001111,11110000011110001010,7.0,-2.0,-0.2413793103448276,00010111110101100011
NDAR_NO_OPT_step_5,46,00110000111110100110,01100101111100001100,1.0,0.0,-0.034482758620689655,10000010010111100101
NDAR_NO_OPT_step_5,47,00110111010010100111,11100101001011101100,4.0,3.0,-0.13793103448275862,00000010100000000101
NDAR_NO_OPT_step_5,48,00110101101100010110,01101000110110101100,-15.0,8.0,0.5172413793103449,10001111011101000101
NDAR_NO_OPT_step_5,49,01110111110001100100,00100110001111101110,-10.0,-7.0,0.3448275862068966,11000001100100000111
NDAR_NO_OPT_step_5,50,00010110011000001001,10010000011001101000,-4.0,3.0,0.13793103448275862,01110111110010000001
NDAR_NO_OPT_step_5,51,10100101101011111110,01111111010110100101,-4.0,-9.0,0.13793103448275862,10011000111101001100
NDAR_NO_OPT_step_5,52,11110110011011010000,00001011011001101111,0.0,3.0,-0.0,11101100110010000110
NDAR_NO_OPT_step_5,53,11000010011110110111,11101101111001000011,-9.0,-6.0,0.3103448275862069,00001010010010101010
NDAR_NO_OPT_step_5,54,10010110011100001010,01010000111001101001,4.0,-1.0,-0.13793103448275862,10110111010010000000
NDAR_NO_OPT_step_5,55,00001101101111100100,00100111110110110000,-3.0,4.0,0.10344827586206896,11000000011101011001
NDAR_NO_OPT_step_5,56,01111111100100001100,00110000100111111110,-12.0,7.0,0.41379310344827586,11010111001100010111
NDAR_NO_OPT_step_5,57,01001100010000000001,10000000001000110010,-16.0,-9.0,0.5517241379310345,01100111100011011011
NDAR_NO_OPT_step_5,58,10110100110100111100,00111100101100101101,4.0,-5.0,-0.13793103448275862,11011011000111000100
NDAR_NO_OPT_step_5,59,01111000110101111001,10011110101100011110,-1.0,-6.0,0.034482758620689655,01111001000111110111
NDAR_NO_OPT_step_5,60,11001101001111010100,00101011110010110011,0.0,3.0,-0.0,11001100011001011010
NDAR_NO_OPT_step_5,61,11000101100000001011,11010000000110100011,5.0,4.0,-0.1724137931034483,00110111101101001010
NDAR_NO_OPT_step_5,62,11100100101110100100,00100101110100100111,11.0,-6.0,-0.3793103448275862,11000010011111001110
NDAR_NO_OPT_step_5,63,00000100010010110010,01001101001000100000,1.0,-8.0,-0.034482758620689655,10101010100011001001
NDAR_NO_OPT_step_5,64,10110011000101001111,11110010100011001101,4.0,-1.0,-0.13793103448275862,00010101001000100100
NDAR_NO_OPT_step_5,65,00010011101110101010,01010101110111001000,3.0,-10.0,-0.10344827586206896,10110010011100100001
NDAR_NO_OPT_step_5,66,11111010010001101110,01110110001001011111,1.0,0.0,-0.034482758620689655,10010001100010110110
NDAR_NO_OPT_step_5,67,10001011001011100001,10000111010011010001,-8.0,11.0,0.27586206896551724,01100000111000111000
NDAR_NO_OPT_step_5,68,11010011010101010110,01101010101011001011,2.0,1.0,-0.06896551724137931,10001101000000100010
NDAR_NO_OPT_step_5,69,10001100010110000100,00100001101000110001,-6.0,-11.0,0.20689655172413793,11000110000011011000
NDAR_NO_OPT_step_5,70,11100100111001011101,10111010011100100111,9.0,12.0,-0.3103448275862069,01011101110111001110
NDAR_NO_OPT_step_5,71,00101111010000011100,00111000001011110100,-6.0,9.0,0.20689655172413793,11011111100000011101
NDAR_NO_OPT_step_5,72,00101100010000010100,00101000001000110100,-13.0,-2.0,0.4482758620689655,11001111100011011101
