label,epoch,loss,loss_plus,loss_minus,grad_norm,ck,best_loss_so_far,best_epoch_so_far
NDAR_VQA_step_4,1,14.02,13.7,14.34,23.369495786887114,0.15,14.02,1
NDAR_VQA_step_4,2,14.05,13.88,13.85,1.1748830886606683,0.13985797296552485,14.02,1
NDAR_VQA_step_4,3,13.85,13.53,13.33,8.159970913424356,0.13424620340351448,13.85,3
NDAR_VQA_step_4,4,13.64,14.1,13.17,39.062530697614086,0.13040168401350324,13.64,4
NDAR_VQA_step_4,5,13.64,13.44,13.59,6.444015817927046,0.12749562686859503,13.64,4
NDAR_VQA_step_4,6,13.08,13.84,12.64,52.51022638439241,0.1251693459088872,13.08,6
NDAR_VQA_step_4,7,12.92,13.59,13.03,24.88927793014627,0.12323564912720256,12.92,7
NDAR_VQA_step_4,8,12.85,13.65,12.64,45.499102581541514,0.12158476798279637,12.85,8
NDAR_VQA_step_4,9,12.96,13.56,12.62,42.8524557724185,0.12014695418838521,12.85,8
NDAR_VQA_step_4,10,12.93,12.93,13.24,14.28338235711313,0.11887519957207077,12.85,8
