method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,00000000000000000000,00010111111100101010,00010111111100101010,00000000000000000000,-31.0,-5.87,0.8857142857142857,0.1677142857142857,-0.0,-31.0,0.8857142857142857,31.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-31.0,0.8857142857142857,9,moderate_damping
plain_vqa,1,20,00000000000000000000,00010111011100101010,00010111011100101010,00000000000000000000,-28.0,-9.05,0.8,0.2585714285714286,-0.0,-28.0,0.8,28.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-31.0,0.8857142857142857,9,moderate_damping
plain_vqa,2,30,00000000000000000000,00010111011100101010,00010111011100101010,00000000000000000000,-28.0,-9.98,0.8,0.28514285714285714,-0.0,-28.0,0.8,28.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-31.0,0.8857142857142857,9,moderate_damping
plain_vqa,3,40,00000000000000000000,00010000101000011001,00010000101000011001,00000000000000000000,-26.0,-10.66,0.7428571428571429,0.30457142857142855,-0.0,-26.0,0.7428571428571429,26.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-31.0,0.8857142857142857,9,moderate_damping
plain_vqa,4,50,00000000000000000000,00010000101000011001,00010000101000011001,00000000000000000000,-26.0,-10.27,0.7428571428571429,0.2934285714285714,-0.0,-26.0,0.7428571428571429,26.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-31.0,0.8857142857142857,9,moderate_damping
plain_vqa,5,60,00000000000000000000,10000000100011011001,10000000100011011001,00000000000000000000,-27.0,-11.22,0.7714285714285715,0.32057142857142856,-0.0,-27.0,0.7714285714285715,27.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-31.0,0.8857142857142857,9,moderate_damping
ndar_vqa,0,10,00000000000000000000,00110000101100101001,00110000101100101001,00000000000000000000,-22.0,-8.82,0.6285714285714286,0.252,-0.0,-22.0,0.6285714285714286,22.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-22.0,0.6285714285714286,9,moderate_damping
ndar_vqa,1,20,00110000101100101001,00000111110000001000,00110111011100100001,00110000101100101001,-26.0,-6.42,0.7428571428571429,0.1834285714285714,0.6285714285714286,-26.0,0.7428571428571429,26.0,-22.0,0.6285714285714286,22.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-26.0,0.7428571428571429,9,moderate_damping
ndar_vqa,2,30,00110111011100100001,00000011100101001100,00110100111001101101,00110111011100100001,-25.0,-6.88,0.7142857142857143,0.19657142857142856,0.7428571428571429,-25.0,0.7142857142857143,25.0,-26.0,0.7428571428571429,26.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-26.0,0.7428571428571429,9,moderate_damping
ndar_vqa,3,40,00110100111001101101,00000011000101001100,00110111111100100001,00110100111001101101,-29.0,-5.98,0.8285714285714286,0.17085714285714287,0.7142857142857143,-29.0,0.8285714285714286,29.0,-25.0,0.7142857142857143,25.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-29.0,0.8285714285714286,9,moderate_damping
