method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,00000000000000000000,01100011010101110111,01100011010101110111,00000000000000000000,-6.0,6.4,0.3,-0.32,-0.0,-6.0,0.3,6.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-6.0,0.3,0,noiseless
plain_vqa,1,20,00000000000000000000,01000011010010111011,01000011010010111011,00000000000000000000,-10.0,5.18,0.5,-0.259,-0.0,-10.0,0.5,10.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-10.0,0.5,0,noiseless
plain_vqa,2,30,00000000000000000000,01100101011001110111,01100101011001110111,00000000000000000000,-10.0,5.57,0.5,-0.2785,-0.0,-10.0,0.5,10.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-10.0,0.5,0,noiseless
plain_vqa,3,40,00000000000000000000,01100101010101100111,01100101010101100111,00000000000000000000,-9.0,5.2,0.45,-0.26,-0.0,-9.0,0.45,9.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-10.0,0.5,0,noiseless
plain_vqa,4,50,00000000000000000000,10011111001010000111,10011111001010000111,00000000000000000000,-7.0,5.78,0.35,-0.28900000000000003,-0.0,-7.0,0.35,7.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-10.0,0.5,0,noiseless
plain_vqa,5,60,00000000000000000000,01111101001101101111,01111101001101101111,00000000000000000000,-10.0,5.61,0.5,-0.2805,-0.0,-10.0,0.5,10.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-10.0,0.5,0,noiseless
ndar_vqa,0,10,00000000000000000000,10010111000010110111,10010111000010110111,00000000000000000000,-9.0,7.21,0.45,-0.3605,-0.0,-9.0,0.45,9.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-9.0,0.45,0,noiseless
ndar_vqa,1,20,10010111000010110111,10010101000000101111,00000010000010011000,10010111000010110111,-14.0,4.98,0.7,-0.24900000000000003,0.45,-14.0,0.7,14.0,-9.0,0.45,9.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-14.0,0.7,0,noiseless
ndar_vqa,2,30,00000010000010011000,11010111110000001111,11010101110010010111,00000010000010011000,-12.0,3.55,0.6,-0.1775,0.7,-12.0,0.6,12.0,-14.0,0.7,14.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-14.0,0.7,0,noiseless
ndar_vqa,3,40,11010101110010010111,00000101010000010011,11010000100010000100,11010101110010010111,-14.0,3.35,0.7,-0.1675,0.6,-14.0,0.7,14.0,-12.0,0.6,12.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-14.0,0.7,0,noiseless
