label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
RANDOM_SEARCH_step_5,0,00110101001010001100,00110001010010101100,18.0,-18.0,-0.9,00110001010010101100
RANDOM_SEARCH_step_5,1,01110101111001011111,11111010011110101110,20.0,-20.0,-1.0,11111010011110101110
RANDOM_SEARCH_step_5,2,00001101110110110101,10101101101110110000,9.0,-9.0,-0.45,10101101101110110000
RANDOM_SEARCH_step_5,3,01110101111111001000,00010011111110101110,10.0,-10.0,-0.5,00010011111110101110
RANDOM_SEARCH_step_5,4,01101101010010111001,10011101001010110110,1.0,-1.0,-0.05,10011101001010110110
RANDOM_SEARCH_step_5,5,01101101010001110001,10001110001010110110,0.0,0.0,-0.0,10001110001010110110
RANDOM_SEARCH_step_5,6,11110111100111101000,00010111100111101111,7.0,-7.0,-0.35,00010111100111101111
RANDOM_SEARCH_step_5,7,01111011101100110111,11101100110111011110,14.0,-14.0,-0.7,11101100110111011110
RANDOM_SEARCH_step_5,8,01110110100010111011,11011101000101101110,12.0,-12.0,-0.6,11011101000101101110
RANDOM_SEARCH_step_5,9,01011110010100010101,10101000101001111010,0.0,0.0,-0.0,10101000101001111010
RANDOM_SEARCH_step_5,10,00110101001010110111,11101101010010101100,9.0,-9.0,-0.45,11101101010010101100
RANDOM_SEARCH_step_5,11,01110111100010001011,11010001000111101110,1.0,-1.0,-0.05,11010001000111101110
RANDOM_SEARCH_step_5,12,00000101110010000101,10100001001110100000,5.0,-5.0,-0.25,10100001001110100000
RANDOM_SEARCH_step_5,13,01010111100100010111,11101000100111101010,-3.0,3.0,0.15,11101000100111101010
RANDOM_SEARCH_step_5,14,10100101001010110111,11101101010010100101,3.0,-3.0,-0.15,11101101010010100101
RANDOM_SEARCH_step_5,15,11110100111000010001,10001000011100101111,14.0,-14.0,-0.7,10001000011100101111
RANDOM_SEARCH_step_5,16,10000111010111011011,11011011101011100001,4.0,-4.0,-0.2,11011011101011100001
RANDOM_SEARCH_step_5,17,01000011101001000101,10100010010111000010,8.0,-8.0,-0.4,10100010010111000010
RANDOM_SEARCH_step_5,18,11101111011010011010,01011001011011110111,9.0,-9.0,-0.45,01011001011011110111
RANDOM_SEARCH_step_5,19,01010101010110101011,11010101101010101010,-5.0,5.0,0.25,11010101101010101010
RANDOM_SEARCH_step_5,20,00000101111010000001,10000001011110100000,5.0,-5.0,-0.25,10000001011110100000
RANDOM_SEARCH_step_5,21,01000001111100100101,10100100111110000010,9.0,-9.0,-0.45,10100100111110000010
RANDOM_SEARCH_step_5,22,10011011110110111011,11011101101111011001,8.0,-8.0,-0.4,11011101101111011001
RANDOM_SEARCH_step_5,23,11011011100100111111,11111100100111011011,14.0,-14.0,-0.7,11111100100111011011
RANDOM_SEARCH_step_5,24,10100101110100010011,11001000101110100101,12.0,-12.0,-0.6,11001000101110100101
RANDOM_SEARCH_step_5,25,01110101000110111101,10111101100010101110,0.0,0.0,-0.0,10111101100010101110
RANDOM_SEARCH_step_5,26,01001101001010110101,10101101010010110010,-6.0,6.0,0.3,10101101010010110010
RANDOM_SEARCH_step_5,27,01110111101000110011,11001100010111101110,10.0,-10.0,-0.5,11001100010111101110
RANDOM_SEARCH_step_5,28,01010101001001010111,11101010010010101010,6.0,-6.0,-0.3,11101010010010101010
