label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_2,0,10000010011011001100,00110011011001000001,-14.0,14.0,0.3333333333333333,00110011011001000001
PLAIN_VQA_step_2,1,00011010010100111010,01011100101001011000,-23.0,23.0,0.5476190476190477,01011100101001011000
PLAIN_VQA_step_2,2,11001100010010110110,01101101001000110011,0.0,0.0,-0.0,01101101001000110011
PLAIN_VQA_step_2,3,11011111000111101000,00010111100011111011,-20.0,20.0,0.47619047619047616,00010111100011111011
PLAIN_VQA_step_2,4,11111000110000001011,11010000001100011111,-16.0,16.0,0.38095238095238093,11010000001100011111
PLAIN_VQA_step_2,5,11100110111001100110,01100110011101100111,0.0,0.0,-0.0,01100110011101100111
PLAIN_VQA_step_2,6,00100010010101111011,11011110101001000100,-26.0,26.0,0.6190476190476191,11011110101001000100
PLAIN_VQA_step_2,7,00011100010111100010,01000111101000111000,-11.0,11.0,0.2619047619047619,01000111101000111000
PLAIN_VQA_step_2,8,10000010100001101001,10010110000101000001,-15.0,15.0,0.35714285714285715,10010110000101000001
PLAIN_VQA_step_2,9,00100011011000000110,01100000011011000100,-5.0,5.0,0.11904761904761904,01100000011011000100
PLAIN_VQA_step_2,10,11001010111000010011,11001000011101010011,-18.0,18.0,0.42857142857142855,11001000011101010011
PLAIN_VQA_step_2,11,01010100010111001000,00010011101000101010,-8.0,8.0,0.19047619047619047,00010011101000101010
PLAIN_VQA_step_2,12,11001011010011001011,11010011001011010011,-17.0,17.0,0.40476190476190477,11010011001011010011
PLAIN_VQA_step_2,13,10001010010111101000,00010111101001010001,-19.0,19.0,0.4523809523809524,00010111101001010001
PLAIN_VQA_step_2,14,11001101111100100110,01100100111110110011,-4.0,4.0,0.09523809523809523,01100100111110110011
PLAIN_VQA_step_2,15,10110110011010001011,11010001011001101101,-15.0,15.0,0.35714285714285715,11010001011001101101
PLAIN_VQA_step_2,16,00011100000110110000,00001101100000111000,-7.0,7.0,0.16666666666666666,00001101100000111000
PLAIN_VQA_step_2,17,01100011100010001011,11010001000111000110,-21.0,21.0,0.5,11010001000111000110
PLAIN_VQA_step_2,18,01000110000100101011,11010100100001100010,-12.0,12.0,0.2857142857142857,11010100100001100010
PLAIN_VQA_step_2,19,00100100011000011011,11011000011000100100,-10.0,10.0,0.23809523809523808,11011000011000100100
PLAIN_VQA_step_2,20,11001000110010001001,10010001001100010011,-8.0,8.0,0.19047619047619047,10010001001100010011
PLAIN_VQA_step_2,21,11010011010101101011,11010110101011001011,-32.0,32.0,0.7619047619047619,11010110101011001011
PLAIN_VQA_step_2,22,11111100010101100010,01000110101000111111,-13.0,13.0,0.30952380952380953,01000110101000111111
PLAIN_VQA_step_2,23,01100110001001111011,11011110010001100110,-9.0,9.0,0.21428571428571427,11011110010001100110
PLAIN_VQA_step_2,24,10011100011010001011,11010001011000111001,-16.0,16.0,0.38095238095238093,11010001011000111001
PLAIN_VQA_step_2,25,10100001011000001011,11010000011010000101,-16.0,16.0,0.38095238095238093,11010000011010000101
PLAIN_VQA_step_2,26,11111100011001101011,11010110011000111111,-17.0,17.0,0.40476190476190477,11010110011000111111
PLAIN_VQA_step_2,27,00110010101101101011,11010110110101001100,-3.0,3.0,0.07142857142857142,11010110110101001100
PLAIN_VQA_step_2,28,01100111011011110111,11101111011011100110,4.0,-4.0,-0.09523809523809523,11101111011011100110
PLAIN_VQA_step_2,29,10010110010101101011,11010110101001101001,-31.0,31.0,0.7380952380952381,11010110101001101001
PLAIN_VQA_step_2,30,11110111001101110001,10001110110011101111,-7.0,7.0,0.16666666666666666,10001110110011101111
PLAIN_VQA_step_2,31,00011110100011101011,11010111000101111000,9.0,-9.0,-0.21428571428571427,11010111000101111000
PLAIN_VQA_step_2,32,10001110011011001011,11010011011001110001,-15.0,15.0,0.35714285714285715,11010011011001110001
PLAIN_VQA_step_2,33,11100001100101101010,01010110100110000111,-2.0,2.0,0.047619047619047616,01010110100110000111
PLAIN_VQA_step_2,34,01000100111100010110,01101000111100100010,-5.0,5.0,0.11904761904761904,01101000111100100010
PLAIN_VQA_step_2,35,10001111011111001011,11010011111011110001,-15.0,15.0,0.35714285714285715,11010011111011110001
PLAIN_VQA_step_2,36,10100111001100010110,01101000110011100101,-2.0,2.0,0.047619047619047616,01101000110011100101
PLAIN_VQA_step_2,37,00100101010100111001,10011100101010100100,-13.0,13.0,0.30952380952380953,10011100101010100100
PLAIN_VQA_step_2,38,01111100101100011001,10011000110100111110,-13.0,13.0,0.30952380952380953,10011000110100111110
PLAIN_VQA_step_2,39,00010111000100101011,11010100100011101000,-17.0,17.0,0.40476190476190477,11010100100011101000
PLAIN_VQA_step_2,40,00100011011010110101,10101101011011000100,2.0,-2.0,-0.047619047619047616,10101101011011000100
PLAIN_VQA_step_2,41,00100101011101001011,11010010111010100100,-4.0,4.0,0.09523809523809523,11010010111010100100
PLAIN_VQA_step_2,42,11001100101101111001,10011110110100110011,-16.0,16.0,0.38095238095238093,10011110110100110011
PLAIN_VQA_step_2,43,11010010100011101011,11010111000101001011,-9.0,9.0,0.21428571428571427,11010111000101001011
PLAIN_VQA_step_2,44,11010110011010001000,00010001011001101011,-7.0,7.0,0.16666666666666666,00010001011001101011
PLAIN_VQA_step_2,45,00100100011010001011,11010001011000100100,-14.0,14.0,0.3333333333333333,11010001011000100100
PLAIN_VQA_step_2,46,11010100010100111011,11011100101000101011,-17.0,17.0,0.40476190476190477,11011100101000101011
PLAIN_VQA_step_2,47,00100100111101111011,11011110111100100100,-8.0,8.0,0.19047619047619047,11011110111100100100
PLAIN_VQA_step_2,48,00001111000111010110,01101011100011110000,-18.0,18.0,0.42857142857142855,01101011100011110000
PLAIN_VQA_step_2,49,00011100010101011011,11011010101000111000,-6.0,6.0,0.14285714285714285,11011010101000111000
PLAIN_VQA_step_2,50,10110001000100001011,11010000100010001101,-8.0,8.0,0.19047619047619047,11010000100010001101
