method,step,cumulative_budget_units,gauge_before,best_bitstring_current_frame,best_bitstring_original,attractor_bitstring_original,min_energy_current_frame,expected_energy_current_frame,best_ratio_current_frame,expected_ratio_current_frame,zero_ratio_current_frame,best_energy_original,best_ar_original,best_cut_original,attractor_energy_original,attractor_ar_original,attractor_cut_original,note,cum_best_energy_original,cum_best_ar_original,instance_idx,noise
plain_vqa,0,10,00000000000000000000,11010000100101000011,11010000100101000011,00000000000000000000,-16.0,-0.43,0.5517241379310345,0.014827586206896552,-0.0,-16.0,0.5517241379310345,16.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-16.0,0.5517241379310345,4,noiseless
plain_vqa,1,20,00000000000000000000,11010111101111000001,11010111101111000001,00000000000000000000,-22.0,-1.86,0.7586206896551724,0.06413793103448276,-0.0,-22.0,0.7586206896551724,22.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-22.0,0.7586206896551724,4,noiseless
plain_vqa,2,30,00000000000000000000,11011101010100000011,11011101010100000011,00000000000000000000,-18.0,-2.23,0.6206896551724138,0.07689655172413792,-0.0,-18.0,0.6206896551724138,18.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-22.0,0.7586206896551724,4,noiseless
plain_vqa,3,40,00000000000000000000,11010111101111010011,11010111101111010011,00000000000000000000,-18.0,-2.04,0.6206896551724138,0.0703448275862069,-0.0,-18.0,0.6206896551724138,18.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-22.0,0.7586206896551724,4,noiseless
plain_vqa,4,50,00000000000000000000,11011101101111000011,11011101101111000011,00000000000000000000,-23.0,-4.74,0.7931034482758621,0.16344827586206898,-0.0,-23.0,0.7931034482758621,23.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-23.0,0.7931034482758621,4,noiseless
plain_vqa,5,60,00000000000000000000,11011001001111000011,11011001001111000011,00000000000000000000,-21.0,-4.17,0.7241379310344828,0.14379310344827587,-0.0,-21.0,0.7241379310344828,21.0,0.0,-0.0,0.0,Budget-matched cumulative optimization on original Hamiltonian.,-23.0,0.7931034482758621,4,noiseless
ndar_vqa,0,10,00000000000000000000,11000110101111010000,11000110101111010000,00000000000000000000,-12.0,0.67,0.41379310344827586,-0.02310344827586207,-0.0,-12.0,0.41379310344827586,12.0,0.0,-0.0,0.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-12.0,0.41379310344827586,4,noiseless
ndar_vqa,1,20,11000110101111010000,01001001011111010000,10001111110000000000,11000110101111010000,-15.0,-0.97,0.5172413793103449,0.033448275862068964,0.41379310344827586,-15.0,0.5172413793103449,15.0,-12.0,0.41379310344827586,12.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-15.0,0.5172413793103449,4,noiseless
ndar_vqa,2,30,10001111110000000000,01001000110011000011,11000111000011000011,10001111110000000000,-13.0,0.25,0.4482758620689655,-0.008620689655172414,0.5172413793103449,-13.0,0.4482758620689655,13.0,-15.0,0.5172413793103449,15.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-15.0,0.5172413793103449,4,noiseless
ndar_vqa,3,40,11000111000011000011,10001001110010011011,01001110110001011000,11000111000011000011,-17.0,-1.37,0.5862068965517241,0.04724137931034483,0.4482758620689655,-17.0,0.5862068965517241,17.0,-13.0,0.4482758620689655,13.0,"NDAR outer step: optimize current transformed Hamiltonian, then remap using best sampled bitstring.",-17.0,0.5862068965517241,4,noiseless
