label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_3,0,11111101110100001011,11010000101110111111,0.0,9.0,-0.0,00010111101101111100
NDAR_VQA_step_3,1,01100100111000001010,01010000011100100110,-5.0,16.0,0.1724137931034483,10010111011111100101
NDAR_VQA_step_3,2,11001000100110010010,01001001100100010011,-11.0,-2.0,0.3793103448275862,10001110100111010000
NDAR_VQA_step_3,3,11001001111011000010,01000011011110010011,-5.0,0.0,0.1724137931034483,10000100011101010000
NDAR_VQA_step_3,4,10110010011011111000,00011111011001001101,-8.0,1.0,0.27586206896551724,11011000011010001110
NDAR_VQA_step_3,5,10001000101001110011,11001110010100010001,0.0,5.0,-0.0,00001001010111010010
NDAR_VQA_step_3,6,00000000001001110001,10001110010000000000,0.0,9.0,-0.0,01001001010011000011
NDAR_VQA_step_3,7,00101000001100110010,01001100110000010100,0.0,-3.0,-0.0,10001011110011010111
NDAR_VQA_step_3,8,11101000011010101100,00110101011000010111,1.0,2.0,-0.034482758620689655,11110010011011010100
NDAR_VQA_step_3,9,11011001001110010001,10001001110010011011,-17.0,-8.0,0.5862068965517241,01001110110001011000
NDAR_VQA_step_3,10,10001000011110101010,01010101111000010001,6.0,-9.0,-0.20689655172413793,10010010111011010010
NDAR_VQA_step_3,11,00100010101001111010,01011110010101000100,-14.0,-5.0,0.4827586206896552,10011001010110000111
NDAR_VQA_step_3,12,00100100011011101011,11010111011000100100,-7.0,6.0,0.2413793103448276,00010000011011100111
NDAR_VQA_step_3,13,01001000000000111011,11011100000000010010,0.0,13.0,-0.0,00011011000011010001
NDAR_VQA_step_3,14,00110000100101000111,11100010100100001100,-3.0,-2.0,0.10344827586206896,00100101100111001111
NDAR_VQA_step_3,15,00101010100100110010,01001100100101010100,-3.0,-2.0,0.10344827586206896,10001011100110010111
NDAR_VQA_step_3,16,11001000101011110010,01001111010100010011,1.0,6.0,-0.034482758620689655,10001000010111010000
NDAR_VQA_step_3,17,00000010011011101010,01010111011001000000,3.0,0.0,-0.10344827586206896,10010000011010000011
NDAR_VQA_step_3,18,11011000010011101111,11110111001000011011,-5.0,-4.0,0.1724137931034483,00110000001011011000
NDAR_VQA_step_3,19,11001000011000100011,11000100011000010011,-5.0,-4.0,0.1724137931034483,00000011011011010000
NDAR_VQA_step_3,20,00101010010101010011,11001010101001010100,2.0,-17.0,-0.06896551724137931,00001101101010010111
NDAR_VQA_step_3,21,01000000011110001011,11010001111000000010,7.0,4.0,-0.2413793103448276,00010110111011000001
