label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
PLAIN_VQA_step_4,0,11101011110000001101,10110000001111010111,-5.0,5.0,0.25,10110000001111010111
PLAIN_VQA_step_4,1,01110010001000001101,10110000010001001110,4.0,-4.0,-0.2,10110000010001001110
PLAIN_VQA_step_4,2,11010010100110010101,10101001100101001011,14.0,-14.0,-0.7,10101001100101001011
PLAIN_VQA_step_4,3,10001110000000111110,01111100000001110001,17.0,-17.0,-0.85,01111100000001110001
PLAIN_VQA_step_4,4,01110100100011100100,00100111000100101110,7.0,-7.0,-0.35,00100111000100101110
PLAIN_VQA_step_4,5,00010111000010101101,10110101000011101000,25.0,-25.0,-1.25,10110101000011101000
PLAIN_VQA_step_4,6,11111000110111110111,11101111101100011111,7.0,-7.0,-0.35,11101111101100011111
PLAIN_VQA_step_4,7,11101011100010000110,01100001000111010111,-4.0,4.0,0.2,01100001000111010111
PLAIN_VQA_step_4,8,11001010000011000011,11000011000001010011,10.0,-10.0,-0.5,11000011000001010011
PLAIN_VQA_step_4,9,01000001110010010101,10101001001110000010,4.0,-4.0,-0.2,10101001001110000010
PLAIN_VQA_step_4,10,11100001001011111001,10011111010010000111,1.0,-1.0,-0.05,10011111010010000111
PLAIN_VQA_step_4,11,11011010110110010010,01001001101101011011,7.0,-7.0,-0.35,01001001101101011011
PLAIN_VQA_step_4,12,00101101110101011110,01111010101110110100,18.0,-18.0,-0.9,01111010101110110100
PLAIN_VQA_step_4,13,11110101101100111101,10111100110110101111,10.0,-10.0,-0.5,10111100110110101111
PLAIN_VQA_step_4,14,00101100001110001101,10110001110000110100,3.0,-3.0,-0.15,10110001110000110100
PLAIN_VQA_step_4,15,01010000101100100110,01100100110100001010,4.0,-4.0,-0.2,01100100110100001010
PLAIN_VQA_step_4,16,01100111100110100100,00100101100111100110,8.0,-8.0,-0.4,00100101100111100110
PLAIN_VQA_step_4,17,11101110000000110010,01001100000001110111,9.0,-9.0,-0.45,01001100000001110111
PLAIN_VQA_step_4,18,11100100111010011101,10111001011100100111,-4.0,4.0,0.2,10111001011100100111
PLAIN_VQA_step_4,19,11100010111010101100,00110101011101000111,-11.0,11.0,0.55,00110101011101000111
PLAIN_VQA_step_4,20,11101110011010000101,10100001011001110111,-7.0,7.0,0.35,10100001011001110111
PLAIN_VQA_step_4,21,11000011110001001101,10110010001111000011,8.0,-8.0,-0.4,10110010001111000011
PLAIN_VQA_step_4,22,11010110110110101101,10110101101101101011,5.0,-5.0,-0.25,10110101101101101011
PLAIN_VQA_step_4,23,11001010111001010000,00001010011101010011,5.0,-5.0,-0.25,00001010011101010011
PLAIN_VQA_step_4,24,11000010100001001101,10110010000101000011,4.0,-4.0,-0.2,10110010000101000011
PLAIN_VQA_step_4,25,00001110111111101100,00110111111101110000,2.0,-2.0,-0.1,00110111111101110000
PLAIN_VQA_step_4,26,00010100100011110110,01101111000100101000,7.0,-7.0,-0.35,01101111000100101000
