label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_NO_OPT_step_4,0,01000101011111010101,10101011111010100010,13.0,-21.0,-0.8666666666666667,10000100110111111001
NDAR_NO_OPT_step_4,1,01101101110100001000,00010000101110110110,11.0,-19.0,-0.7333333333333333,00111111100011101101
NDAR_NO_OPT_step_4,2,10001011001001011100,00111010010011010001,21.0,-21.0,-1.4,00010101011110001010
NDAR_NO_OPT_step_4,3,01100011110001100000,00000110001111000110,26.0,-18.0,-1.7333333333333334,00101001000010011101
NDAR_NO_OPT_step_4,4,10110001010010010010,01001001001010001101,14.0,-18.0,-0.9333333333333333,01100110000111010110
NDAR_NO_OPT_step_4,5,01111011000110011001,10011001100011011110,15.0,-11.0,-1.0,10110110101110000101
NDAR_NO_OPT_step_4,6,00111111101101111001,10011110110111111100,24.0,-8.0,-1.6,10110001111010100111
NDAR_NO_OPT_step_4,7,10000100101111100000,00000111110100100001,14.0,-2.0,-0.9333333333333333,00101000111001111010
NDAR_NO_OPT_step_4,8,01000011010010000110,01100001001011000010,25.0,-5.0,-1.6666666666666667,01001110000110011001
NDAR_NO_OPT_step_4,9,01011011010110011100,00111001101011011010,13.0,-17.0,-0.8666666666666667,00010110100110000001
NDAR_NO_OPT_step_4,10,00010010111010010111,11101001011101001000,12.0,0.0,-0.8,11000110010000010011
NDAR_NO_OPT_step_4,11,10001111001011100001,10000111010011110001,14.0,-18.0,-0.9333333333333333,10101000011110101010
NDAR_NO_OPT_step_4,12,10001100001101100000,00000110110000110001,3.0,-3.0,-0.2,00101001111101101010
NDAR_NO_OPT_step_4,13,01011101010111110011,11001111101010111010,15.0,-11.0,-1.0,11100000100111100001
NDAR_NO_OPT_step_4,14,01011011110110101101,10110101101111011010,15.0,-19.0,-1.0,10011010100010000001
NDAR_NO_OPT_step_4,15,11101001011101100001,10000110111010010111,19.0,-3.0,-1.2666666666666666,10101001110111001100
NDAR_NO_OPT_step_4,16,00000001110101101011,11010110101110000000,11.0,-19.0,-0.7333333333333333,11111001100011011011
NDAR_NO_OPT_step_4,17,10000001000001010101,10101010000010000001,14.0,-22.0,-0.9333333333333333,10000101001111011010
NDAR_NO_OPT_step_4,18,01100011110000010110,01101000001111000110,15.0,-15.0,-1.0,01000111000010011101
NDAR_NO_OPT_step_4,19,10001110000101100000,00000110100001110001,7.0,-11.0,-0.4666666666666667,00101001101100101010
NDAR_NO_OPT_step_4,20,10111111110110010001,10001001101111111101,11.0,-7.0,-0.7333333333333333,10100110100010100110
NDAR_NO_OPT_step_4,21,01010100111001010001,10001010011100101010,19.0,-15.0,-1.2666666666666666,10100101010001110001
NDAR_NO_OPT_step_4,22,01010001001101100001,10000110110010001010,30.0,-18.0,-2.0,10101001111111010001
NDAR_NO_OPT_step_4,23,10000111110110000011,11000001101111100001,8.0,-20.0,-0.5333333333333333,11101110100010111010
NDAR_NO_OPT_step_4,24,10010011011100001111,11110000111011001001,11.0,-19.0,-0.7333333333333333,11011111110110010010
NDAR_NO_OPT_step_4,25,00000011110011100000,00000111001111000000,19.0,-11.0,-1.2666666666666666,00101000000010011011
NDAR_NO_OPT_step_4,26,01011111111011001001,10010011011111111010,23.0,-7.0,-1.5333333333333334,10111100010010100001
NDAR_NO_OPT_step_4,27,10111111011101111101,10111110111011111101,2.0,-14.0,-0.13333333333333333,10010001110110100110
NDAR_NO_OPT_step_4,28,00011101010101000101,10100010101010111000,13.0,-13.0,-0.8666666666666667,10001101100111100011
NDAR_NO_OPT_step_4,29,10000011001010010000,00001001010011000001,10.0,-10.0,-0.6666666666666666,00100110011110011010
NDAR_NO_OPT_step_4,30,10001011101011101111,11110111010111010001,19.0,-19.0,-1.2666666666666666,11011000011010001010
NDAR_NO_OPT_step_4,31,01100001111110000011,11000001111110000110,18.0,-14.0,-1.2,11101110110011011101
NDAR_NO_OPT_step_4,32,01011000000111010000,00001011100000011010,3.0,-15.0,-0.2,00100100101101000001
NDAR_NO_OPT_step_4,33,10110101011100010111,11101000111010101101,16.0,-16.0,-1.0666666666666667,11000111110111110110
NDAR_NO_OPT_step_4,34,11001100010111110000,00001111101000110011,4.0,0.0,-0.26666666666666666,00100000100101101000
NDAR_NO_OPT_step_4,35,00001001011010110011,11001101011010010000,13.0,-5.0,-0.8666666666666667,11100010010111001011
NDAR_NO_OPT_step_4,36,01101111011101110011,11001110111011110110,14.0,-22.0,-0.9333333333333333,11100001110110101101
NDAR_NO_OPT_step_4,37,11001000010111000100,00100011101000010011,14.0,-10.0,-0.9333333333333333,00001100100101001000
NDAR_NO_OPT_step_4,38,10100011000110000001,10000001100011000101,15.0,-3.0,-1.0,10101110101110011110
NDAR_NO_OPT_step_4,39,10010001100100001101,10110000100110001001,16.0,-24.0,-1.0666666666666667,10011111101011010010
NDAR_NO_OPT_step_4,40,10100101101001001101,10110010010110100101,30.0,-10.0,-2.0,10011101011011111110
NDAR_NO_OPT_step_4,41,01001101111100000110,01100000111110110010,22.0,-14.0,-1.4666666666666666,01001111110011101001
NDAR_NO_OPT_step_4,42,01011001100101100000,00000110100110011010,16.0,-16.0,-1.0666666666666667,00101001101011000001
NDAR_NO_OPT_step_4,43,10000011000010010110,01101001000011000001,15.0,-15.0,-1.0,01000110001110011010
NDAR_NO_OPT_step_4,44,00111111100000100101,10100100000111111100,16.0,-16.0,-1.0666666666666667,10001011001010100111
NDAR_NO_OPT_step_4,45,00010100110010000000,00000001001100101000,15.0,-15.0,-1.0,00101110000001110011
NDAR_NO_OPT_step_4,46,10000011100000010001,10001000000111000001,6.0,-14.0,-0.4,10100111001010011010
NDAR_NO_OPT_step_4,47,11001111111101011011,11011010111111110011,19.0,-19.0,-1.2666666666666666,11110101110010101000
NDAR_NO_OPT_step_4,48,11101111100110100000,00000101100111110111,15.0,-19.0,-1.0,00101010101010101100
NDAR_NO_OPT_step_4,49,10000111011101011100,00111010111011100001,17.0,-17.0,-1.1333333333333333,00010101110110111010
NDAR_NO_OPT_step_4,50,10110101000010010110,01101001000010101101,29.0,-21.0,-1.9333333333333333,01000110001111110110
NDAR_NO_OPT_step_4,51,01000111111010110101,10101101011111100010,12.0,-8.0,-0.8,10000010010010111001
NDAR_NO_OPT_step_4,52,11101111010000011101,10111000001011110111,12.0,-24.0,-0.8,10010111000110101100
NDAR_NO_OPT_step_4,53,01110101101101011101,10111010110110101110,15.0,-7.0,-1.0,10010101111011110101
NDAR_NO_OPT_step_4,54,01011011110010000101,10100001001111011010,16.0,-12.0,-1.0666666666666667,10001110000010000001
NDAR_NO_OPT_step_4,55,11101111010001011000,00011010001011110111,25.0,-21.0,-1.6666666666666667,00110101000110101100
NDAR_NO_OPT_step_4,56,11101111000001110011,11001110000011110111,20.0,-20.0,-1.3333333333333333,11100001001110101100
NDAR_NO_OPT_step_4,57,00110110010110101111,11110101101001101100,14.0,-18.0,-0.9333333333333333,11011010100100110111
NDAR_NO_OPT_step_4,58,00000011011011110011,11001111011011000000,14.0,-2.0,-0.9333333333333333,11100000010110011011
NDAR_NO_OPT_step_4,59,11101101101110011000,00011001110110110111,18.0,-6.0,-1.2,00110110111011101100
NDAR_NO_OPT_step_4,60,01011000001000010100,00101000010000011010,6.0,-22.0,-0.4,00000111011101000001
NDAR_NO_OPT_step_4,61,10110100101011101000,00010111010100101101,20.0,-16.0,-1.3333333333333333,00111000011001110110
NDAR_NO_OPT_step_4,62,11101101110110011101,10111001101110110111,6.0,-26.0,-0.4,10010110100011101100
NDAR_NO_OPT_step_4,63,01100111101001001010,01010010010111100110,16.0,-8.0,-1.0666666666666667,01111101011010111101
NDAR_NO_OPT_step_4,64,01000011010011010110,01101011001011000010,27.0,-3.0,-1.8,01000100000110011001
NDAR_NO_OPT_step_4,65,01010101100011000011,11000011000110101010,9.0,-9.0,-0.6,11101100001011110001
NDAR_NO_OPT_step_4,66,10111111100100101010,01010100100111111101,26.0,-10.0,-1.7333333333333334,01111011101010100110
