label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
NDAR_VQA_step_4,0,01011100101110100110,01100101110100111010,24.0,-11.0,-1.6,10011010011001000001
NDAR_VQA_step_4,1,11000101101111100101,10100111110110100011,3.0,-12.0,-0.2,01011000011011011000
NDAR_VQA_step_4,2,00010111011110110110,01101101111011101000,11.0,-8.0,-0.7333333333333333,10010010010110010011
NDAR_VQA_step_4,3,01101110110000100110,01100100001101110110,7.0,-24.0,-0.4666666666666667,10011011100000001101
NDAR_VQA_step_4,4,10000000000100001100,00110000100000000001,5.0,-2.0,-0.3333333333333333,11001111001101111010
NDAR_VQA_step_4,5,10001010010010000110,01100001001001010001,18.0,-17.0,-1.2,10011110100100101010
NDAR_VQA_step_4,6,00100101000111001010,01010011100010100100,15.0,-16.0,-1.0,10101100001111011111
NDAR_VQA_step_4,7,01000001111110010011,11001001111110000010,29.0,-22.0,-1.9333333333333333,00110110010011111001
NDAR_VQA_step_4,8,11110110100010110110,01101101000101101111,3.0,-8.0,-0.2,10010010101000010100
NDAR_VQA_step_4,9,00010110001100110110,01101100110001101000,10.0,-5.0,-0.6666666666666666,10010011011100010011
NDAR_VQA_step_4,10,00101111111011010010,01001011011111110100,25.0,-22.0,-1.6666666666666667,10110100110010001111
NDAR_VQA_step_4,11,11100001111110110001,10001101111110000111,7.0,-16.0,-0.4666666666666667,01110010010011111100
NDAR_VQA_step_4,12,10000110100001000110,01100010000101100001,24.0,-23.0,-1.6,10011101101000011010
NDAR_VQA_step_4,13,00010001101010111010,01011101010110001000,22.0,-21.0,-1.4666666666666666,10100010111011110011
NDAR_VQA_step_4,14,00100101011111010110,01101011111010100100,14.0,-25.0,-0.9333333333333333,10010100010111011111
NDAR_VQA_step_4,15,00110000001110110101,10101101110000001100,20.0,-23.0,-1.3333333333333333,01010010011101110111
NDAR_VQA_step_4,16,00000011010011011110,01111011001011000000,8.0,1.0,-0.5333333333333333,10000100100110111011
NDAR_VQA_step_4,17,01011110010011001111,11110011001001111010,3.0,-12.0,-0.2,00001100100100000001
NDAR_VQA_step_4,18,00010001100011010110,01101011000110001000,21.0,-22.0,-1.4,10010100101011110011
NDAR_VQA_step_4,19,00101001011110110100,00101101111010010100,7.0,-20.0,-0.4666666666666667,11010010010111101111
NDAR_VQA_step_4,20,00110101011101010000,00001010111010101100,12.0,-15.0,-0.8,11110101010111010111
NDAR_VQA_step_4,21,00111101001110101010,01010101110010111100,16.0,-11.0,-1.0666666666666667,10101010011111000111
NDAR_VQA_step_4,22,10010100010010100110,01100101001000101001,19.0,-8.0,-1.2666666666666666,10011010100101010010
NDAR_VQA_step_4,23,00110110000100011000,00011000100001101100,6.0,-1.0,-0.4,11100111001100010111
NDAR_VQA_step_4,24,01111111111110110110,01101101111111111110,7.0,-16.0,-0.4666666666666667,10010010010010000101
