label,shot,bitstring_qiskit,bitstring_q0_first,hamiltonian_value,cut_value,approx_ratio,bitstring_original
RANDOM_SEARCH_step_0,0,01101111001111001100,00110011110011110110,16.0,-16.0,-1.0666666666666667,00110011110011110110
RANDOM_SEARCH_step_0,1,11111111010101111100,00111110101011111111,9.0,-9.0,-0.6,00111110101011111111
RANDOM_SEARCH_step_0,2,11100100010001000000,00000010001000100111,16.0,-16.0,-1.0666666666666667,00000010001000100111
RANDOM_SEARCH_step_0,3,11010011011111010100,00101011111011001011,16.0,-16.0,-1.0666666666666667,00101011111011001011
RANDOM_SEARCH_step_0,4,11100010100000010000,00001000000101000111,14.0,-14.0,-0.9333333333333333,00001000000101000111
RANDOM_SEARCH_step_0,5,11110101001000010100,00101000010010101111,11.0,-11.0,-0.7333333333333333,00101000010010101111
RANDOM_SEARCH_step_0,6,00110100001111000000,00000011110000101100,7.0,-7.0,-0.4666666666666667,00000011110000101100
RANDOM_SEARCH_step_0,7,11000000101010001001,10010001010100000011,11.0,-11.0,-0.7333333333333333,10010001010100000011
RANDOM_SEARCH_step_0,8,10111100000011000100,00100011000000111101,20.0,-20.0,-1.3333333333333333,00100011000000111101
RANDOM_SEARCH_step_0,9,11100010100101010111,11101010100101000111,25.0,-25.0,-1.6666666666666667,11101010100101000111
RANDOM_SEARCH_step_0,10,10010111110001010100,00101010001111101001,6.0,-6.0,-0.4,00101010001111101001
RANDOM_SEARCH_step_0,11,11101110000010111100,00111101000001110111,25.0,-25.0,-1.6666666666666667,00111101000001110111
RANDOM_SEARCH_step_0,12,01100001110010110010,01001101001110000110,23.0,-23.0,-1.5333333333333334,01001101001110000110
RANDOM_SEARCH_step_0,13,00101011001001101110,01110110010011010100,2.0,-2.0,-0.13333333333333333,01110110010011010100
RANDOM_SEARCH_step_0,14,00000000101101101010,01010110110100000000,17.0,-17.0,-1.1333333333333333,01010110110100000000
RANDOM_SEARCH_step_0,15,01100101111011100010,01000111011110100110,15.0,-15.0,-1.0,01000111011110100110
RANDOM_SEARCH_step_0,16,11110000100100011010,01011000100100001111,15.0,-15.0,-1.0,01011000100100001111
RANDOM_SEARCH_step_0,17,11111011011001001011,11010010011011011111,-1.0,1.0,0.06666666666666667,11010010011011011111
RANDOM_SEARCH_step_0,18,00101000000110111000,00011101100000010100,5.0,-5.0,-0.3333333333333333,00011101100000010100
RANDOM_SEARCH_step_0,19,01101111000001000111,11100010000011110110,8.0,-8.0,-0.5333333333333333,11100010000011110110
RANDOM_SEARCH_step_0,20,11100000110010000100,00100001001100000111,11.0,-11.0,-0.7333333333333333,00100001001100000111
RANDOM_SEARCH_step_0,21,11101111110010011100,00111001001111110111,23.0,-23.0,-1.5333333333333334,00111001001111110111
RANDOM_SEARCH_step_0,22,11001101001001001000,00010010010010110011,8.0,-8.0,-0.5333333333333333,00010010010010110011
RANDOM_SEARCH_step_0,23,00100110011010001110,01110001011001100100,15.0,-15.0,-1.0,01110001011001100100
RANDOM_SEARCH_step_0,24,00011001001110011010,01011001110010011000,15.0,-15.0,-1.0,01011001110010011000
RANDOM_SEARCH_step_0,25,00101000101011111000,00011111010100010100,9.0,-9.0,-0.6,00011111010100010100
RANDOM_SEARCH_step_0,26,01011011110000001011,11010000001111011010,6.0,-6.0,-0.4,11010000001111011010
RANDOM_SEARCH_step_0,27,01101100110010101000,00010101001100110110,29.0,-29.0,-1.9333333333333333,00010101001100110110
