label,epoch,loss,loss_plus,loss_minus,grad_norm,ck,best_loss_so_far,best_epoch_so_far
NDAR_VQA_step_0,1,5.15,5.76,6.13,13.510489751794102,0.15,5.15,1
NDAR_VQA_step_0,2,5.2,5.18,6.24,41.51253579934206,0.13985797296552485,5.15,1
NDAR_VQA_step_0,3,4.67,5.69,6.08,15.911943281177543,0.13424620340351448,4.67,3
NDAR_VQA_step_0,4,4.55,5.71,5.05,27.721795978951953,0.13040168401350324,4.55,4
NDAR_VQA_step_0,5,4.54,6.47,5.18,55.41853603417248,0.12749562686859503,4.54,5
NDAR_VQA_step_0,6,4.8,5.24,5.77,23.19201665310664,0.1251693459088872,4.54,5
NDAR_VQA_step_0,7,5.2,5.12,5.0,5.33341669931706,0.12323564912720256,4.54,5
NDAR_VQA_step_0,8,5.28,4.59,6.52,86.94382968551994,0.12158476798279637,4.54,5
NDAR_VQA_step_0,9,5.3,5.27,5.15,5.470526268819341,0.12014695418838521,4.54,5
NDAR_VQA_step_0,10,4.55,5.16,6.22,48.83995257593511,0.11887519957207077,4.54,5
